#{"t_start": 1770401560.4630423, "env_id": "CrossingEnv-v0"}
r,l,t
0.0,101,1.218699
0.0,52,1.27295
0.0,12,1.285682
0.0,73,1.36084
0.0,88,1.450827
0.0,180,1.632921
0.0,47,1.684638
0.136111,311,1.9941
0.0,19,2.01394
0.0,17,2.031526
0.0,17,2.049025
0.0,94,2.143806
0.0,29,2.17325
0.0,324,2.494251
0.0,124,2.61766
0.0,86,2.70419
0.0,88,2.791881
0.0,134,2.925415
0.0,79,3.004377
0.0,56,3.060312
0.0,13,3.073864
0.0,115,4.896129
0.0,23,4.919979
0.0,30,4.950857
0.0,35,4.98783
0.0,37,5.02577
0.0,26,5.052662
0.0,67,5.121251
0.0,28,5.150233
0.0,143,5.296589
0.0,67,5.365597
0.0,46,5.412775
0.0,106,5.521496
0.0,84,5.6069
0.0,97,5.706409
0.0,17,5.724127
0.0,264,5.99607
0.0,64,6.061442
0.0,80,6.144164
0.0,26,6.171138
0.0,46,6.220154
0.0,23,6.244728
0.0,38,6.285367
0.0,76,6.363053
0.0,324,6.695361
0.0,59,6.76246
0.0,76,6.840581
0.0,62,6.904121
0.0,134,8.72958
0.0,32,8.762497
0.0,188,8.953346
0.0,147,9.103675
0.0,89,9.193411
0.0,191,9.404121
0.0,20,9.424571
0.0,8,9.433276
0.0,324,9.759828
0.0,146,9.909118
0.0,324,10.238891
0.0,44,10.284025
0.0,7,10.292249
0.0,91,10.385062
0.0,49,10.435463
0.0,40,10.476759
0.0,38,10.516464
0.0,98,10.615438
0.0,214,12.5366
0.0,9,12.546599
0.0,114,12.662685
0.0,93,12.756957
0.0,215,12.976917
0.0,128,13.105975
0.0,85,13.191986
0.0,119,13.313082
0.0,13,13.327159
0.0,44,13.3715
0.0,193,13.566463
0.0,34,13.601209
0.0,230,13.83229
0.413889,211,14.045681
0.0,34,14.080121
0.0,308,14.407433
0.0,44,14.452435
0.0,107,14.561591
0.0,10,14.573693
0.0,235,16.538723
0.0,9,16.548509
0.0,78,16.629101
0.0,25,16.655218
0.0,22,16.678099
0.0,119,16.798585
0.0,213,17.035582
0.0,26,17.062653
0.0,11,17.074476
0.0,167,17.245639
0.0,111,17.359137
0.0,105,17.465089
0.0,172,17.64054
0.0,140,17.78262
0.0,79,17.863172
0.0,63,17.928063
0.0,38,17.96789
0.0,27,17.996457
0.0,18,18.015473
0.0,229,18.24689
0.0,102,18.349805
0.0,16,18.366711
0.0,33,18.401056
0.0,50,20.19857
0.0,6,20.205461
0.0,25,20.231267
0.0,26,20.258038
0.0,180,20.479309
0.0,23,20.515445
0.0,28,20.549872
0.0,59,20.611047
0.319444,245,20.860143
0.0,155,21.018285
0.0,22,21.041308
0.0,75,21.116889
0.0,35,21.152397
0.0,50,21.203731
0.0,37,21.243259
0.0,52,21.299529
0.0,67,21.367642
0.0,75,21.444646
0.0,10,21.455352
0.0,324,21.78456
0.0,8,21.793787
0.0,20,21.814723
0.0,60,21.877022
0.0,11,21.888686
0.0,107,22.004747
0.0,79,22.085214
0.0,32,22.11763
0.0,100,22.219357
0.0,87,22.310547
0.0,76,24.118094
0.0,67,24.185256
0.836111,59,24.245936
0.0,41,24.287518
0.511111,176,24.467188
0.394444,218,24.694568
0.0,16,24.711098
0.777778,80,24.793717
0.0,64,24.859525
0.0,324,25.194662
0.0,324,25.523304
0.0,123,25.648729
0.0,241,25.892923
0.0,148,26.043891
0.0,324,28.314585
0.294444,254,28.57358
0.0,20,28.594463
0.0,34,28.629615
0.0,99,28.730971
0.0,270,29.005972
0.0,184,29.195922
0.0,28,29.225113
0.0,324,29.555506
0.0,29,29.588341
0.0,209,29.80427
0.113889,319,30.136679
0.0,324,32.226037
0.0,5,32.232274
0.0,75,32.310535
0.0,75,32.387688
0.0,33,32.421611
0.463889,193,32.618292
0.0,94,32.715049
0.0,41,32.757249
0.0,78,32.836865
0.422222,208,33.047023
0.0,54,33.102777
0.0,37,33.140798
0.0,74,33.216404
0.0,69,33.287643
0.0,128,33.419249
0.0,18,33.438074
0.0,14,33.452975
0.0,241,33.696533
0.0,74,33.772079
0.0,20,33.793036
0.0,246,34.041898
0.0,130,35.94277
0.122222,316,36.269963
0.0,69,36.341875
0.244444,272,36.619406
0.0,108,36.730607
0.0,198,36.935923
0.0,17,36.953788
0.0,62,37.018578
0.483333,186,37.215545
0.0,324,37.553811
0.0,118,37.674861
0.0,9,37.685202
0.0,63,37.750238
0.0,35,37.785858
0.0,174,39.709298
0.0,73,39.793856
0.0,22,39.817087
0.0,41,39.859915
0.0,82,39.945574
0.0,85,40.035242
0.0,163,40.205443
0.0,26,40.232545
0.0,8,40.24133
0.0,13,40.255351
0.0,94,40.352384
0.0,18,40.371424
0.0,324,40.702983
0.0,324,41.035375
0.0,13,41.049595
0.0,50,41.102335
0.0,27,41.130854
0.630556,133,41.272287
0.0,124,41.399641
0.0,45,41.445233
0.0,324,41.773765
0.0,63,43.597953
0.0,61,43.661062
0.0,122,43.786634
0.0,38,43.826573
0.0,67,43.895803
0.0,324,44.236998
0.0,88,44.328905
0.497222,181,44.514472
0.633333,132,44.649375
0.0,63,44.713882
0.0,324,45.066928
0.0,86,45.158844
0.0,46,45.20698
0.0,83,45.293129
0.0,324,45.627804
0.0,18,45.646924
0.0,136,47.545677
0.0,67,47.613648
0.0,252,47.873708
0.0,16,47.890677
0.0,58,47.950689
0.0,13,47.964505
0.0,324,48.295516
0.508333,177,48.475797
0.436111,203,48.680288
0.0,107,48.789464
0.411111,212,49.00385
0.0,178,49.18528
0.0,61,49.247718
0.0,111,49.361839
0.361111,230,51.360755
0.0,230,51.59711
0.0,252,51.858367
0.0,216,52.081269
0.0,82,52.166129
0.0,87,52.255763
0.0,134,52.39696
0.0,324,52.734713
0.0,21,52.757537
0.0,96,52.857599
0.0,324,53.190067
0.269444,263,55.227882
0.0,16,55.246925
0.0,99,55.355644
0.0,72,55.429835
0.463889,193,55.628461
0.0,224,55.858736
0.483333,186,56.048483
0.0,99,56.150436
0.0,121,56.279462
0.0,14,56.294564
0.438889,202,56.500505
0.0,11,56.512436
0.0,147,56.663836
0.0,147,56.815411
0.0,12,56.828423
0.0,46,56.876409
0.466667,192,57.071431
0.0,35,57.107322
0.0,324,59.243606
0.0,307,59.559408
0.0,324,59.890718
0.0,22,59.914384
0.0,324,60.255802
0.0,39,60.296891
0.0,40,60.338787
0.0,190,60.536797
0.0,261,60.807482
0.0,219,61.033258
0.0,25,61.059408
0.0,16,61.07612
0.0,68,61.147024
0.238889,274,63.200855
0.655556,124,63.32693
0.0,76,63.405816
0.0,64,63.471358
0.0,324,63.807138
0.0,54,63.864041
0.0,324,64.196522
0.558333,159,64.361402
0.0,246,64.614436
0.0,88,64.70693
0.0,324,65.042081
0.0,94,65.144723
0.0,35,66.95072
0.375,225,67.182809
0.0,65,67.250335
0.0,35,67.28791
0.469444,191,67.484433
0.0,109,67.59637
0.0,46,67.643643
0.186111,293,67.955331
0.0,37,67.994792
0.0,8,68.003708
0.0,324,68.338821
0.0,67,68.409423
0.0,324,68.742323
0.8,72,68.816973
0.0,64,68.883505
0.8,72,68.958035
