time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
2048,0.006481476190476191,2,983,92.57142857142857,1,,,,,,,,,,
4096,0.0028356458333333337,5,693,83.39583333333333,2,-0.020622145384550095,-1.9419952921569348,-0.0032095355687488335,0.0073489537,10,0.0412109375,-1.4158284664154053,8.445877660676616e-05,0.2,0.0003
6144,0.0020622878787878787,9,633,90.5,3,0.002641927683725953,-1.9138016238808633,-0.011629927251487971,0.012457406,20,0.1306640625,-1.8414411544799805,3.658007777573857e-05,0.2,0.0003
8192,0.006470588235294119,13,606,96.21176470588236,4,0.00010269699851050973,-1.8977504756301642,-0.011811116086028051,0.013879878,30,0.1451171875,-2.2284538745880127,2.4001169947496237e-05,0.2,0.0003
10240,0.00413889,17,590,93.52,5,-0.043965548276901245,-1.896844607591629,-0.013709908827149776,0.013896139,40,0.194677734375,-0.05464625358581543,0.0007617117749703084,0.2,0.0003
12288,0.00733333,21,578,91.35,6,-0.010920396074652672,-1.891938991472125,-0.011508843649062328,0.012869392,50,0.131298828125,-5.983157157897949,3.7729161579136414e-05,0.2,0.0003
14336,0.03252777,25,571,98.64,7,-0.01650179922580719,-1.8910447530448438,-0.00871306551998714,0.00997153,60,0.101220703125,-0.04610645771026611,0.0004698038738752075,0.2,0.0003
16384,0.0366111,29,562,105.18,8,0.0030954964458942413,-1.8662446323782205,-0.01511083487275755,0.012815761,70,0.171533203125,0.043079674243927,0.006413654681819025,0.2,0.0003
18432,0.04133332,32,559,102.48,9,-0.0383320152759552,-1.8605433132499456,-0.017954994333558717,0.014705099,80,0.157666015625,-0.7183347940444946,0.0005226366530678206,0.2,0.0003
20480,0.04983331,36,555,108.52,10,-0.03622690215706825,-1.84556870944798,-0.012107824744452956,0.011276265,90,0.134130859375,0.1186719536781311,0.001383704696240784,0.2,0.0003
22528,0.052944430000000015,40,553,114.51,11,-0.006967510096728802,-1.8227569703012705,-0.011051098645839374,0.01275482,100,0.145556640625,0.17120105028152466,0.0011520059904341906,0.2,0.0003
24576,0.06424998,44,550,124.29,12,-0.02648945152759552,-1.7945243056863547,-0.007799841088126413,0.008048314,110,0.105224609375,0.15455812215805054,0.0015364167932602868,0.2,0.0003
26624,0.05261109,48,549,125.89,13,0.005911140237003565,-1.7543061461299658,-0.013519337753677974,0.015372748,120,0.203369140625,0.26971471309661865,0.001873099313252169,0.2,0.0003
28672,0.05327776,52,547,126.59,14,0.01339590921998024,-1.7606364969164132,-0.012095097967539914,0.0117551945,130,0.14375,0.33607929944992065,0.0019091111953457585,0.2,0.0003
30720,0.06449998,56,546,126.93,15,-0.04513170197606087,-1.7505680482834578,-0.01476977742422605,0.012950046,140,0.157080078125,-0.448131799697876,0.0009475848614783899,0.2,0.0003
32768,0.06083332,60,544,131.29,16,-0.02159646898508072,-1.7417285937815905,-0.010807003063382581,0.012912229,150,0.160205078125,0.3486993908882141,0.0025400170691682435,0.2,0.0003
34816,0.07052777,64,543,140.91,17,-0.013061526231467724,-1.735857017338276,-0.016148213857377414,0.013158436,160,0.14013671875,-1.2823750972747803,0.0003938355392619997,0.2,0.0003
36864,0.09052776000000001,67,542,142.87,18,0.015395200811326504,-1.7264839179813862,-0.008182584219321143,0.011841928,170,0.1345703125,0.15990984439849854,0.0026878500224029266,0.2,0.0003
38912,0.10105554000000001,71,541,147.87,19,0.007902862504124641,-1.7206773195415734,-0.01729085610131733,0.014620984,180,0.20888671875,0.11015373468399048,0.005492636936469353,0.2,0.0003
40960,0.12699998999999998,75,540,136.09,20,-0.013360785320401192,-1.6797686345875262,-0.014348052360583096,0.016034186,190,0.210546875,0.34548503160476685,0.002690963736404228,0.2,0.0003
43008,0.16477777,79,539,126.75,21,0.014839583076536655,-1.6197554383426904,-0.011938169367203955,0.011949894,200,0.150146484375,0.29643094539642334,0.007695926632732153,0.2,0.0003
45056,0.18247221,83,538,117.51,22,-0.010070929303765297,-1.6239983353763818,-0.013527068510302342,0.014973822,210,0.148974609375,0.40751326084136963,0.007906153352087131,0.2,0.0003
47104,0.21194445,87,537,116.26,23,-0.002871318720281124,-1.6187694001942874,-0.010874272852379362,0.008615136,220,0.118212890625,0.2940285801887512,0.0077691127618891185,0.2,0.0003
49152,0.22886112000000003,91,537,107.08,24,0.009306345134973526,-1.5862633243203164,-0.01415913860546425,0.013669848,230,0.1587890625,0.4045908451080322,0.006507851134301745,0.2,0.0003
51200,0.25358333,95,536,109.32,25,0.03007785975933075,-1.5386058267205953,-0.019311043676862028,0.018232388,240,0.2283203125,0.46667540073394775,0.007145003174809972,0.2,0.0003
53248,0.30233332999999996,99,535,111.49,26,0.0016687822062522173,-1.4905586220324039,-0.011689837258018088,0.016175816,250,0.14150390625,0.3704802989959717,0.00797907190208207,0.2,0.0003
55296,0.30972222,103,534,114.98,27,0.002744578057900071,-1.4483461562544107,-0.014941301463113631,0.013113458,260,0.153125,0.4926377534866333,0.008862532768398523,0.2,0.0003
57344,0.37033330999999997,107,534,111.72,28,-0.02101270854473114,-1.419097950682044,-0.010167464269761695,0.012352073,270,0.140966796875,0.4286123514175415,0.007939393071137602,0.2,0.0003
59392,0.40016663,111,533,106.98,29,-0.001402262132614851,-1.3050828795880078,-0.016947566173621455,0.0123106595,280,0.141796875,0.40614795684814453,0.010440185217885301,0.2,0.0003
61440,0.45577778,115,532,97.37,30,-0.04838356003165245,-1.2263682406395673,-0.01206109015911352,0.013520031,290,0.168994140625,0.48083001375198364,0.011271525738993659,0.2,0.0003
63488,0.44413888999999995,119,531,90.54,31,-0.031117405742406845,-1.1910202164202928,-0.011825393814069685,0.012559211,300,0.1365234375,0.527469277381897,0.0140320606646128,0.2,0.0003
65536,0.43500001,123,530,77.46,32,0.01864197850227356,-1.200924014672637,-0.011982775756041519,0.013361941,310,0.12900390625,0.48907285928726196,0.01194743233936606,0.2,0.0003
67584,0.4281389000000001,127,529,66.43,33,1.3072043657302856e-05,-1.0963515620678663,-0.009461040605674497,0.009740651,320,0.102734375,0.5621336698532104,0.01507785275025526,0.2,0.0003
69632,0.46011113000000003,131,529,58.84,34,-0.017684485763311386,-1.0820943197235464,-0.008921842325071339,0.0076355385,330,0.086474609375,0.3962794542312622,0.02108476159919519,0.2,0.0003
71680,0.48216669,135,528,61.78,35,-0.025520622730255127,-1.0323694629594684,-0.007669527244433994,0.010518511,340,0.121435546875,0.486211895942688,0.015343943031621166,0.2,0.0003
73728,0.54919444,139,527,68.0,36,0.03552750498056412,-1.0438917385414244,-0.0058259206758521035,0.008960521,350,0.09228515625,0.4493338465690613,0.014850650624430273,0.2,0.0003
75776,0.55463889,143,527,69.87,37,0.01961667835712433,-1.02468973826617,-0.011901556055090624,0.01018844,360,0.126904296875,0.462496280670166,0.014363286788284312,0.2,0.0003
77824,0.5556111200000001,147,526,71.52,38,-0.001294235698878765,-0.9332831451669336,-0.007898024527094094,0.011236468,370,0.084765625,0.5471585988998413,0.013466903872904367,0.2,0.0003
79872,0.55561112,151,526,70.02,39,0.010738834738731384,-0.8908583410084248,-0.008273658384860027,0.007978314,380,0.1095703125,0.46971285343170166,0.01502697448595427,0.2,0.0003
81920,0.5048055300000001,155,525,67.46,40,0.009949959814548492,-0.8893729273229838,-0.006402004214032786,0.009147314,390,0.09599609375,0.39783811569213867,0.01616302792390343,0.2,0.0003
83968,0.54938885,159,525,64.36,41,0.0027806805446743965,-0.8788495799526572,-0.005454716658277903,0.005821534,400,0.077783203125,0.35533708333969116,0.017676154036598744,0.2,0.0003
86016,0.52091664,164,522,66.94,42,0.003839056007564068,-0.8256206665188074,-0.01092361411137972,0.009199519,410,0.104296875,0.39987319707870483,0.01715036573878024,0.2,0.0003
88064,0.5441666700000001,168,521,65.34,43,-0.0009439862333238125,-0.8345666302368044,-0.008973368340230081,0.010089679,420,0.11474609375,0.280762255191803,0.015472911707183812,0.2,0.0003
90112,0.55397226,172,521,69.72,44,-0.004675015341490507,-0.837142881564796,-0.012400776959839276,0.0106708035,430,0.124658203125,0.37947511672973633,0.016802375968836714,0.2,0.0003
92160,0.6040556100000001,176,521,69.08,45,-0.0006032031960785389,-0.8035181157290936,-0.008107067426317371,0.009989479,440,0.0873046875,0.351216197013855,0.012148398134741,0.2,0.0003
94208,0.6121667599999999,180,520,64.32,46,-0.023410124704241753,-0.7662062618881464,-0.007128580218704883,0.011004079,450,0.115673828125,0.497555136680603,0.010505356309295166,0.2,0.0003
96256,0.60091674,184,520,59.47,47,0.002368893474340439,-0.6647975208237767,-0.0063839020018349405,0.0062146243,460,0.081884765625,0.5240956544876099,0.016822948610933964,0.2,0.0003
98304,0.5796389599999999,188,520,57.79,48,-0.0026407605037093163,-0.6666826196014881,-0.009494282978994305,0.009328976,470,0.082470703125,0.5279919505119324,0.01714591018098872,0.2,0.0003
100352,0.6145833500000001,193,519,61.2,49,-0.0003285389393568039,-0.6412884904071688,-0.00842576501017902,0.0068205437,480,0.0845703125,0.3620648980140686,0.018319118858198636,0.2,0.0003
102400,0.6600555499999998,197,519,63.23,50,0.001771596260368824,-0.655667899362743,-0.00851483650112641,0.010003427,490,0.065576171875,0.4050767421722412,0.018894810081110335,0.2,0.0003
104448,0.66113888,201,519,64.4,51,0.0001369733363389969,-0.6335958328098059,-0.00669094185141148,0.006160452,500,0.071484375,0.3940635323524475,0.013123193150386214,0.2,0.0003
106496,0.64938889,205,518,63.73,52,-0.015035287477076054,-0.631519240885973,-0.012422183118178508,0.01838471,510,0.1095703125,0.42683130502700806,0.014648297800158616,0.2,0.0003
108544,0.59011113,210,516,59.97,53,-0.010423928499221802,-0.6272149737924337,-0.011441920460492838,0.013455274,520,0.108154296875,0.47332626581192017,0.015197761710442136,0.2,0.0003
110592,0.59450001,214,516,58.91,54,-0.002819828223437071,-0.6321678905747831,-0.0102565421781037,0.01273304,530,0.102001953125,0.39168745279312134,0.019148007480544037,0.2,0.0003
112640,0.61655556,218,515,61.82,55,-0.02449979819357395,-0.593855095654726,-0.013580136382370257,0.009195127,540,0.1177734375,0.516821026802063,0.012495433173899072,0.2,0.0003
114688,0.63966666,222,515,61.01,56,-0.02668112702667713,-0.5826494913548231,-0.009874312255124095,0.012937393,550,0.106787109375,0.4258415102958679,0.01441066209517885,0.2,0.0003
116736,0.5988055099999999,226,515,58.1,57,-0.027113061398267746,-0.6382905889302493,-0.009075617205235175,0.025132699,560,0.1205078125,0.500159502029419,0.014435933891218156,0.2,0.0003
118784,0.57763886,230,515,55.46,58,0.025646492838859558,-0.6839219545945525,-0.010154995559423697,0.012820773,570,0.093701171875,0.398509681224823,0.020115929262829013,0.2,0.0003
120832,0.58111108,234,515,56.6,59,-0.0003443742170929909,-0.6787129288539291,-0.006270742297056131,0.010520121,580,0.0841796875,0.40650343894958496,0.018072773463791235,0.2,0.0003
