time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
2048,0.0,2,909,80.91666666666667,1,,,,,,,,,,
4096,0.014673913043478261,6,644,89.0,2,0.018734212964773178,-1.9414838392287492,-0.003010365283989813,0.008892594,10,0.0275390625,-5.579846382141113,1.3856032241221783e-05,0.2,0.0003
6144,0.0169509552238806,10,586,91.2089552238806,3,-0.005504259839653969,-1.914092941582203,-0.003668692894279957,0.012016908,20,0.091455078125,0.01501530408859253,0.000979442286734411,0.2,0.0003
8192,0.01471428,14,559,76.91,4,-0.005619940813630819,-1.8953514270484448,-0.0054244801351160275,0.010592632,30,0.0890625,0.04022419452667236,0.0008397593397091896,0.2,0.0003
10240,0.014714280000000001,18,546,85.24,5,0.02279849722981453,-1.8735344395041467,-0.006688415219105082,0.0101166535,40,0.111328125,0.270851731300354,0.00042730373698987025,0.2,0.0003
12288,0.01399999,22,537,81.74,6,-0.007958765141665936,-1.8611677877604962,-0.002967348782840418,0.008064464,50,0.045458984375,-1.429330825805664,5.757823114436178e-05,0.2,0.0003
14336,0.00939285,26,532,80.39,7,0.004700747784227133,-1.8482676777988671,-0.007647698274377035,0.0102536585,60,0.091064453125,0.19973987340927124,0.0007100182088606744,0.2,0.0003
16384,0.00939285,31,527,84.46,8,-0.01393934991210699,-1.8516451179981233,-0.010570174966414925,0.0090831,70,0.079296875,-2.2522847652435303,8.832350392253829e-05,0.2,0.0003
18432,0.00939285,35,523,77.99,9,-0.009416885673999786,-1.8323738154023885,-0.009305016165308188,0.013075579,80,0.14794921875,0.14895284175872803,0.0004648515847293311,0.2,0.0003
20480,0.01785714,39,520,76.75,10,-0.04882054403424263,-1.821399826183915,-0.01393392721802229,0.014170958,90,0.13974609375,-0.7432241439819336,0.00020076704006442015,0.2,0.0003
22528,0.043892850000000004,43,518,78.92,11,-0.005507363472133875,-1.7742486216127873,-0.00531153955089394,0.011850077,100,0.120556640625,0.10906434059143066,0.0023679242427988357,0.2,0.0003
24576,0.06957142,47,516,83.0,12,-0.003025847254320979,-1.7475936695933343,-0.00800922987255035,0.011431809,110,0.113916015625,0.2484106421470642,0.003650641315834946,0.2,0.0003
26624,0.12935713000000001,51,515,92.54,13,-0.029570912942290306,-1.7133621655404567,-0.017298787107574754,0.012462394,120,0.1765625,0.29850900173187256,0.004433000043354696,0.2,0.0003
28672,0.22178569,55,514,90.97,14,-0.00857143010944128,-1.663564632087946,-0.008761495604267111,0.013135744,130,0.1294921875,0.3190048933029175,0.008787830379151273,0.2,0.0003
30720,0.352,59,513,83.76,15,-0.013591618277132511,-1.6544481467455625,-0.014766393686295487,0.014087094,140,0.15869140625,0.3392486572265625,0.01546759519696934,0.2,0.0003
32768,0.45324998,63,512,78.33,16,0.030267536640167236,-1.556028475239873,-0.015453335311030969,0.014836219,150,0.1857421875,0.4099860191345215,0.019747707809438,0.2,0.0003
