#{"t_start": 1770402373.7957864, "env_id": "FourRoomsEnv-v0"}
r,l,t
0.0,100,0.251662
0.0,100,0.366529
0.0,100,0.478868
0.0,100,0.592503
0.0,100,0.713291
0.0,100,0.829295
0.0,58,0.895952
0.0,100,1.006761
0.0,100,1.11665
0.0,100,1.228465
0.0,100,1.338677
0.0,100,1.44789
0.0,100,1.558505
0.0,100,1.66896
0.0,100,1.778957
0.0,100,1.891693
0.0,100,2.002513
0.0,100,2.113798
0.0,100,2.22377
0.0,100,2.335678
0.0,100,4.362982
0.0,100,4.484429
0.0,100,4.603314
0.0,100,4.720267
0.0,100,4.833817
0.0,100,4.94137
0.0,100,5.055922
0.0,100,5.16671
0.0,100,5.277089
0.0,100,5.388534
0.0,100,5.501358
0.0,100,5.612075
0.0,100,5.724244
0.0,100,5.835815
0.0,100,5.979753
0.0,100,6.113206
0.0,100,6.248768
0.0,100,6.383233
0.0,100,6.514646
0.0,100,6.626034
0.0,100,6.738615
0.0,100,8.865254
0.0,100,8.979998
0.0,100,9.092956
0.0,100,9.204907
0.0,100,9.315124
0.0,100,9.425927
0.0,100,9.552949
0.0,100,9.674477
0.0,100,9.79205
0.0,100,9.913842
0.0,100,10.032132
0.0,100,10.149789
0.0,100,10.260346
0.0,100,10.371048
0.0,100,10.487955
0.0,100,10.600803
0.0,100,10.717044
0.0,100,10.829635
0.0,100,10.9408
0.0,100,11.055695
0.0,100,13.086442
0.0,100,13.200645
0.0,100,13.312658
0.0,100,13.423524
0.0,100,13.536331
0.0,100,13.647641
0.0,100,13.759516
0.0,100,13.869726
0.0,100,13.98176
0.0,100,14.093685
0.0,100,14.204701
0.0,100,14.316628
0.0,100,14.427928
0.0,100,14.538967
0.0,100,14.658899
0.0,100,14.773131
0.0,100,14.884276
0.0,100,14.999741
0.0,100,15.111323
0.0,100,15.226986
0.0,100,15.338671
0.0,100,17.346419
0.0,100,17.4599
0.0,100,17.571929
0.0,100,17.68439
0.0,100,17.797941
0.0,100,17.934144
0.0,100,18.049646
0.0,100,18.162342
0.0,100,18.275649
0.0,100,18.387631
0.0,100,18.499461
0.0,83,18.593118
0.0,100,18.70215
0.0,100,18.813481
0.0,100,18.925194
0.0,100,19.040248
0.0,100,19.151481
0.0,100,19.264129
0.0,100,19.376623
0.0,85,19.472852
0.0,100,19.581919
0.0,100,21.618604
0.0,100,21.732187
0.0,100,21.844191
0.0,100,21.955992
0.0,100,22.068873
0.0,100,22.180626
0.0,100,22.292874
0.0,100,22.405148
0.0,100,22.517489
0.0,100,22.627338
0.0,100,22.738173
0.0,100,22.849947
0.0,100,22.979156
0.0,100,23.092429
0.0,100,23.203438
0.0,100,23.313406
0.0,100,23.42435
0.0,100,23.535683
0.0,100,23.646617
0.0,100,23.757906
0.0,100,25.783285
0.0,100,25.896715
0.0,100,26.00669
0.0,100,26.118678
0.0,100,26.228876
0.0,100,26.33934
0.0,100,26.452494
0.0,100,26.563087
0.0,100,26.674381
0.0,100,26.785924
0.0,100,26.897398
0.0,100,27.009491
0.0,100,27.12208
0.0,100,27.234353
0.0,100,27.344378
0.0,100,27.455427
0.0,100,27.568686
0.0,100,27.679787
0.0,100,27.790876
0.0,100,27.900303
0.0,100,28.023745
0.0,100,30.113003
0.0,100,30.234385
0.0,100,30.348012
0.0,100,30.462968
0.0,100,30.574201
0.0,100,30.682026
0.0,100,30.79287
0.0,100,30.902294
0.0,100,31.013816
0.0,100,31.125513
