time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
2048,0.0,2,879,97.9,1,,,,,,,,,,
4096,0.0,6,613,98.97560975609755,2,0.023939121514558792,-1.9405015025287866,-0.003054957467247732,0.009428464,10,0.033935546875,-3.6990480422973633,2.5947970829065526e-05,0.2,0.0003
6144,0.0,11,556,99.31147540983606,3,-0.03628496825695038,-1.9305119667202235,-0.004412944897194393,0.007555037,20,0.034130859375,-1.0412817001342773,2.4692514227808714e-05,0.2,0.0003
8192,0.0,15,536,99.48780487804878,4,-0.015775900334119797,-1.9218818243592977,-0.009166417832602747,0.011654237,30,0.094287109375,-1.0584354400634766,4.7364892049017725e-05,0.2,0.0003
10240,0.0,19,525,99.26,5,-0.03404683992266655,-1.889904024079442,-0.013868450844893233,0.012369993,40,0.114404296875,-6.055947780609131,0.00017485355704138783,0.2,0.0003
12288,0.0,23,518,99.68,6,-0.0319080725312233,-1.8849017426371575,-0.011084754996409174,0.011838244,50,0.10966796875,-2.8989956378936768,4.7094182275486676e-05,0.2,0.0003
14336,0.0,27,513,99.68,7,-0.008606579154729843,-1.900837392732501,-0.01128792145755142,0.012188856,60,0.1111328125,-1.8923594951629639,3.559685043228455e-05,0.2,0.0003
16384,0.0,32,508,99.68,8,-0.02010517194867134,-1.9145631689578295,-0.013035870586463716,0.014161838,70,0.1171875,-2.5787785053253174,3.356892360102392e-05,0.2,0.0003
18432,0.0,36,505,99.68,9,-0.035435739904642105,-1.9076035249978305,-0.01408934708306333,0.00976234,80,0.104248046875,-3.4974722862243652,2.397121299253513e-05,0.2,0.0003
20480,0.0,40,503,100.0,10,-0.05934932455420494,-1.912914027273655,-0.008517362621205393,0.008282065,90,0.0666015625,-3.6166744232177734,2.755522367010599e-05,0.2,0.0003
22528,0.0,44,502,100.0,11,-0.009083196520805359,-1.8952432580292224,-0.013782109656312968,0.0104633905,100,0.115185546875,-4.43664026260376,1.91409508175866e-05,0.2,0.0003
24576,0.0,49,499,99.69,12,-0.02089768648147583,-1.8984223295003175,-0.012164468370610849,0.010181289,110,0.12509765625,-2.1181678771972656,3.517757348276973e-05,0.2,0.0003
26624,0.0,53,498,99.69,13,-0.06608425080776215,-1.8739057064056397,-0.01324878695741063,0.010004003,120,0.10703125,-5.525642395019531,4.4949170020913695e-05,0.2,0.0003
28672,0.0,57,497,99.69,14,-0.032945387065410614,-1.88648825250566,-0.0143678340347833,0.011617264,130,0.152294921875,-3.5774683952331543,3.107513735756129e-05,0.2,0.0003
30720,0.0,61,496,99.69,15,0.010030029341578484,-1.8712138537317515,-0.00972544302494498,0.01105081,140,0.12841796875,-4.249448299407959,3.0011831208298644e-05,0.2,0.0003
32768,0.0,66,495,99.69,16,-0.030123621225357056,-1.854389303177595,-0.013675817676994485,0.011829186,150,0.12412109375,-3.4043216705322266,2.0796701286940332e-05,0.2,0.0003
34816,0.0,70,495,99.92,17,0.0033096985425800085,-1.8597885198891162,-0.013665315036632819,0.008727746,160,0.11455078125,-1.3325493335723877,2.2298604156389958e-05,0.2,0.0003
36864,0.0,74,494,99.92,18,-0.009010598994791508,-1.834675993770361,-0.016511232461198233,0.013245829,170,0.1267578125,-1.6143500804901123,2.4817070274707477e-05,0.2,0.0003
38912,0.0,78,493,99.92,19,-0.020187174901366234,-1.829603924229741,-0.014923367697338107,0.011884116,180,0.142724609375,-1.7727227210998535,1.4785120393412399e-05,0.2,0.0003
40960,0.0,83,492,99.92,20,-0.0029020123183727264,-1.838887434080243,-0.015174340146768373,0.012989005,190,0.158544921875,-1.1562037467956543,1.849903814843401e-05,0.2,0.0003
43008,0.0,87,492,99.92,21,0.040848828852176666,-1.811329212784767,-0.014431380221503786,0.013689107,200,0.13759765625,-2.758826971054077,2.435460276899448e-05,0.2,0.0003
45056,0.0,91,491,100.0,22,-0.028872152790427208,-1.8028569009155035,-0.01722048368828837,0.011959885,210,0.146337890625,-1.342607021331787,2.3796753578153584e-05,0.2,0.0003
47104,0.0,95,491,100.0,23,-0.03637803718447685,-1.7969750266522169,-0.01864640642525046,0.013501909,220,0.1744140625,-2.8143889904022217,1.7849118196977543e-05,0.2,0.0003
49152,0.0,100,490,100.0,24,-0.024938194081187248,-1.7608892526477575,-0.019465807230881184,0.015661422,230,0.144970703125,-1.4793777465820312,3.05189755124502e-05,0.2,0.0003
51200,0.0,104,489,100.0,25,-0.04689307510852814,-1.7448136270046235,-0.020648323083878494,0.014804017,240,0.180419921875,-3.240111827850342,2.150991191030016e-05,0.2,0.0003
53248,0.0,109,487,99.92,26,-0.04938814416527748,-1.7377998825162648,-0.019583799529937097,0.019161671,250,0.195556640625,-1.4739394187927246,2.0815478605129557e-05,0.2,0.0003
55296,0.0,113,485,99.92,27,-0.0463406965136528,-1.7651432678103447,-0.010711522320343647,0.012380546,260,0.1462890625,-3.562715530395508,2.9354499520195532e-05,0.2,0.0003
57344,0.0,118,483,99.92,28,-0.0343715101480484,-1.7540168896317483,-0.0215592511347495,0.019096803,270,0.192236328125,-1.3815586566925049,1.671129599856158e-05,0.2,0.0003
59392,0.0,122,483,99.92,29,-0.036792509257793427,-1.794060654938221,-0.016943978221388534,0.018616814,280,0.16689453125,-4.064627647399902,3.4059710361589166e-05,0.2,0.0003
61440,0.0,127,482,99.92,30,-0.022091615945100784,-1.7780550040304661,-0.016486699959932592,0.014236926,290,0.140283203125,-2.4589626789093018,1.4513861853515663e-05,0.2,0.0003
63488,0.0,131,481,99.93,31,-0.03010113164782524,-1.7587783649563788,-0.023692503593338188,0.016655749,300,0.2169921875,-3.595874786376953,2.781507822930962e-05,0.2,0.0003
65536,0.0,136,480,99.76,32,0.01341863814741373,-1.7505384989082813,-0.01464739846487646,0.01498196,310,0.1703125,-1.2849793434143066,1.9872229583484113e-05,0.2,0.0003
67584,0.0,140,479,99.76,33,-0.050746675580739975,-1.741854813322425,-0.01512865947879618,0.014033964,320,0.157958984375,-1.335726261138916,2.2491507310462565e-05,0.2,0.0003
69632,0.0,145,478,99.76,34,-0.050172679126262665,-1.737307010963559,-0.019657908847148065,0.017723314,330,0.173046875,-2.5848171710968018,2.2776524396306286e-05,0.2,0.0003
71680,0.0,150,476,99.68,35,-0.00485564349219203,-1.6775020483881236,-0.020768039172980934,0.023098372,340,0.22373046875,-3.361783027648926,2.5397184397490947e-05,0.2,0.0003
73728,0.0,154,475,99.92,36,-0.046603959053754807,-1.6631383050233126,-0.020642850129661383,0.014545259,350,0.1837890625,-0.5761730670928955,4.663059406766479e-05,0.2,0.0003
75776,0.0,159,476,99.92,37,0.005104831885546446,-1.6609794929623605,-0.021128425691858865,0.015811503,360,0.162451171875,-1.551203966140747,3.21241977360387e-05,0.2,0.0003
77824,0.0,163,476,99.92,38,-0.017838358879089355,-1.608396115899086,-0.016810197385348148,0.01618803,370,0.186669921875,-2.483410358428955,2.0834565680161178e-05,0.2,0.0003
79872,0.0,167,476,99.92,39,-0.03149079158902168,-1.6375092379748821,-0.01650337782339193,0.014214344,380,0.158349609375,-1.3811771869659424,2.863067560241461e-05,0.2,0.0003
81920,0.0,171,476,100.0,40,-0.02511247619986534,-1.6375062696635723,-0.018206954485503957,0.016135218,390,0.178369140625,-1.516089677810669,1.548034728955372e-05,0.2,0.0003
83968,0.0,176,476,100.0,41,-0.02064497210085392,-1.640331496298313,-0.018982480689010116,0.017073818,400,0.1880859375,-2.034374237060547,1.5251040538544203e-05,0.2,0.0003
86016,0.0,180,476,100.0,42,-0.05100672319531441,-1.5949491113424301,-0.02147877988536493,0.015879348,410,0.19638671875,-2.056180238723755,2.5571883288932894e-05,0.2,0.0003
88064,0.0,184,476,100.0,43,-0.05087441951036453,-1.5607528701424598,-0.025738837985409192,0.017889235,420,0.21640625,-3.4096717834472656,2.094040208504566e-05,0.2,0.0003
90112,0.0,188,477,100.0,44,-0.024978920817375183,-1.548265839368105,-0.015409011312294751,0.015386468,430,0.195849609375,-1.3992881774902344,2.0779881867838413e-05,0.2,0.0003
