time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
2048,0.0,2,861,113.70588235294117,1,,,,,,,,,,
4096,0.0,6,621,119.17647058823529,2,-0.006773112807422876,-1.9433803234249354,-0.004050516811548732,0.008700909,10,0.029248046875,-7.349201202392578,2.172083007536685e-05,0.2,0.0003
6144,0.0,10,565,119.27450980392157,3,0.0007999030640348792,-1.9242280796170235,-0.012633722368627786,0.010549846,20,0.10283203125,-7.131598472595215,2.5572694576680986e-05,0.2,0.0003
8192,0.0,15,541,121.92537313432835,4,-0.036694321781396866,-1.9163154598325491,-0.01342977559324936,0.012508556,30,0.11005859375,-3.422628879547119,2.2562948760196378e-05,0.2,0.0003
10240,0.0,19,527,122.49397590361446,5,0.007411681115627289,-1.9116048768162728,-0.012209605329553596,0.0111882165,40,0.0861328125,-5.923741340637207,2.174415837714605e-05,0.2,0.0003
12288,0.0,23,517,123.61616161616162,6,-0.019688574597239494,-1.9001044776290654,-0.013366227010556031,0.008104151,50,0.0826171875,-5.009092330932617,2.2106697326762514e-05,0.2,0.0003
14336,0.0,28,511,126.39,7,-0.0019466422963887453,-1.8990719027817249,-0.007352353597525507,0.008426946,60,0.068505859375,-4.7388691902160645,1.8984894873597112e-05,0.2,0.0003
16384,0.0,32,507,126.45,8,-0.04852551594376564,-1.871007700636983,-0.016724298692133745,0.012334405,70,0.132275390625,-6.724316120147705,1.4561528003298463e-05,0.2,0.0003
18432,0.0,36,503,129.62,9,-0.006934225559234619,-1.8549557093530893,-0.015495778773765779,0.014676789,80,0.170263671875,-3.981287956237793,2.408782536349463e-05,0.2,0.0003
20480,0.0,40,501,128.17,10,-0.012610088102519512,-1.8388492695987224,-0.014846109096833971,0.013267267,90,0.134619140625,-4.851255893707275,2.5984115231381112e-05,0.2,0.0003
22528,0.0,45,499,131.11,11,-0.01824255846440792,-1.8393322441726923,-0.013074520796362777,0.013749663,100,0.128955078125,-7.590106010437012,1.8485579498417338e-05,0.2,0.0003
24576,0.0,49,496,130.52,12,-0.01967836543917656,-1.8291260033845902,-0.018252902210952014,0.014016893,110,0.141064453125,-6.4594035148620605,1.4540424254505524e-05,0.2,0.0003
26624,0.0,53,495,129.77,13,-0.02358478680253029,-1.8290389500558377,-0.0164783847561921,0.012838623,120,0.1392578125,-5.434107780456543,1.1909863107462116e-05,0.2,0.0003
28672,0.0,57,494,131.51,14,-0.03143703565001488,-1.82113420329988,-0.01919265100877965,0.011671518,130,0.125537109375,-3.6909995079040527,1.892027277250463e-05,0.2,0.0003
30720,0.0,62,493,132.07,15,-0.010726789012551308,-1.8372964650392531,-0.013415488052851287,0.009456322,140,0.10126953125,-3.128310203552246,1.4507755632564568e-05,0.2,0.0003
32768,0.0,66,492,133.61,16,-0.04571666941046715,-1.819473520293832,-0.01639726003195392,0.011106004,150,0.121826171875,-1.8986361026763916,1.0304527511095784e-05,0.2,0.0003
34816,0.0,70,491,131.78,17,-0.02347431890666485,-1.82462897002697,-0.01670228187867906,0.012463424,160,0.155322265625,-3.983016014099121,9.802388748880731e-06,0.2,0.0003
36864,0.0,75,491,131.9,18,-0.058621205389499664,-1.8160309404134751,-0.016514745430322365,0.012898816,170,0.109033203125,-5.461638450622559,8.077809008710801e-06,0.2,0.0003
38912,0.0,79,490,132.74,19,-0.0049096704460680485,-1.79540688470006,-0.014504128466069233,0.011518115,180,0.12978515625,-3.339324474334717,7.941902721597671e-06,0.2,0.0003
40960,0.0,83,489,126.27,20,-0.045539602637290955,-1.7817901100963354,-0.019850557507015764,0.015785363,190,0.16357421875,-4.068495273590088,9.09915434448294e-06,0.2,0.0003
43008,0.0,87,489,126.6,21,-0.06372333317995071,-1.8008374992758036,-0.012366095907054842,0.008973612,200,0.08671875,-2.491067886352539,4.8947901827745e-06,0.2,0.0003
45056,0.0,92,488,126.26,22,-0.03051815927028656,-1.7755934692919255,-0.018948073150386335,0.011160908,210,0.1404296875,-4.386298179626465,6.797256386192885e-06,0.2,0.0003
47104,0.0,96,488,126.17,23,-0.032677456736564636,-1.75888166539371,-0.01846871532907244,0.013578747,220,0.1515625,-3.3287887573242188,5.1438006281046e-06,0.2,0.0003
49152,0.0,100,487,121.96,24,-0.052902597934007645,-1.763408699631691,-0.016145732290897285,0.011504566,230,0.1349609375,-1.968080997467041,4.228240784343029e-06,0.2,0.0003
51200,0.0,104,487,121.76,25,0.00012365859583951533,-1.7386253092437982,-0.017324383938102983,0.01327945,240,0.12265625,-4.493022441864014,5.713771797388744e-06,0.2,0.0003
53248,0.0,109,486,124.12,26,0.02033216319978237,-1.698222751170397,-0.016522350771265338,0.015484005,250,0.153173828125,-2.555347442626953,1.0616878256541895e-05,0.2,0.0003
55296,0.0,113,486,126.06,27,-0.008591629564762115,-1.6765567023307084,-0.019726622084272095,0.010885467,260,0.1443359375,-2.3034896850585938,7.083884793956941e-06,0.2,0.0003
57344,0.0,117,486,125.26,28,-0.015886923298239708,-1.7040411364287138,-0.020699839940061793,0.0126720425,270,0.131396484375,-3.8441147804260254,5.217686850755854e-06,0.2,0.0003
59392,0.0,122,486,123.04,29,-0.008554289117455482,-1.6754314482212067,-0.02508791990985628,0.0144614745,280,0.184375,-4.1245551109313965,4.112703019387709e-06,0.2,0.0003
61440,0.0,126,486,127.01,30,-0.0161772258579731,-1.6027860797941684,-0.022973122625262476,0.014261605,290,0.19794921875,-3.0475311279296875,6.85017677639621e-06,0.2,0.0003
63488,0.0,130,486,126.49,31,-0.024344025179743767,-1.5795372053980827,-0.02162487299501663,0.013964811,300,0.18271484375,-0.543020486831665,5.064715020353106e-06,0.2,0.0003
65536,0.0,134,485,128.1,32,-0.003778531216084957,-1.574254808202386,-0.01614559036970604,0.013450641,310,0.169921875,-3.3483896255493164,4.092453060877688e-06,0.2,0.0003
67584,0.0,139,485,127.18,33,-0.01275545358657837,-1.6044579528272152,-0.02312796047190204,0.016736843,320,0.20341796875,-2.9146554470062256,5.121942630736953e-06,0.2,0.0003
69632,0.0,143,485,125.7,34,-0.05190524831414223,-1.5900175090879203,-0.023970172776898835,0.018254828,330,0.188671875,-1.1888060569763184,5.640930081085571e-06,0.2,0.0003
71680,0.0,147,485,124.22,35,-0.03529873862862587,-1.6282599482685327,-0.020678810369281563,0.019271083,340,0.210107421875,-2.9306955337524414,3.9114294200004455e-06,0.2,0.0003
73728,0.0,151,485,122.17,36,-0.04259825125336647,-1.6172272942960262,-0.021856038935948164,0.016607692,350,0.202294921875,-2.09133243560791,2.5886915558714917e-06,0.2,0.0003
75776,0.0,156,485,120.61,37,-0.008687366731464863,-1.6629303980618715,-0.02379954760108376,0.014420284,360,0.176953125,-2.362287759780884,4.771828089999985e-06,0.2,0.0003
77824,0.0,160,485,120.43,38,-0.03345329314470291,-1.605042563006282,-0.023357288174156565,0.015391599,370,0.179541015625,-2.114743709564209,5.216583481271187e-06,0.2,0.0003
79872,0.0,164,485,117.4,39,-0.004797006491571665,-1.6137048423290252,-0.023708770907251164,0.018351715,380,0.20830078125,-4.01888370513916,4.1428948499344646e-06,0.2,0.0003
81920,0.0,168,484,121.74,40,-0.04638998582959175,-1.6169123847037554,-0.026241116841265465,0.016432026,390,0.198681640625,-3.5355849266052246,2.932909616859547e-06,0.2,0.0003
83968,0.0,173,484,121.9,41,-0.04662054404616356,-1.5782703232020139,-0.026532731612678617,0.017673738,400,0.209716796875,-2.6508095264434814,2.6758887358369066e-06,0.2,0.0003
86016,0.0,177,484,125.68,42,-0.03900260850787163,-1.6072229444980621,-0.02357859727489995,0.017590651,410,0.19267578125,-3.202756881713867,2.6079154260116864e-06,0.2,0.0003
88064,0.0,181,484,126.33,43,-0.03451807424426079,-1.590174350142479,-0.028235443630546798,0.015413543,420,0.199365234375,-2.239708423614502,3.1736941679127995e-06,0.2,0.0003
90112,0.0,186,484,126.42,44,-0.02354884333908558,-1.5658717624843121,-0.02186087623849744,0.018627943,430,0.1923828125,-2.327166795730591,1.987657271662613e-06,0.2,0.0003
92160,0.0,190,484,130.65,45,-0.021171215921640396,-1.5353457048535346,-0.0222506990772672,0.016111497,440,0.201025390625,-0.3495452404022217,3.1758675973492245e-06,0.2,0.0003
94208,0.0,194,484,132.84,46,-0.00877847895026207,-1.546401660516858,-0.019503610261017455,0.014641512,450,0.189501953125,-2.662198066711426,2.422537579427342e-06,0.2,0.0003
96256,0.0,198,484,136.56,47,0.032553307712078094,-1.5016324073076248,-0.028049153441679665,0.01975371,460,0.172216796875,-5.212348461151123,2.003994189081482e-06,0.2,0.0003
98304,0.0,202,484,139.52,48,-0.021978462114930153,-1.4527056258171798,-0.016880053297063567,0.016819071,470,0.15986328125,-2.3031458854675293,6.770643752318506e-06,0.2,0.0003
100352,0.0,207,484,136.18,49,-0.029670238494873047,-1.457984384521842,-0.0282070045825094,0.021136273,480,0.203564453125,-2.7223060131073,2.35832360093724e-06,0.2,0.0003
102400,0.0,211,483,133.17,50,0.013753143139183521,-1.4595212068408727,-0.02296208674815716,0.017131217,490,0.171630859375,-1.2271835803985596,2.4666234743619952e-06,0.2,0.0003
104448,0.0,215,483,133.81,51,-0.020994290709495544,-1.4637122616171836,-0.023985356545017565,0.013807871,500,0.1650390625,-3.000582695007324,1.760003975270763e-06,0.2,0.0003
106496,0.0,220,483,135.08,52,-0.024092072620987892,-1.5400305967777967,-0.021024041034979745,0.018375285,510,0.1998046875,-5.096137046813965,1.640501602473421e-06,0.2,0.0003
108544,0.0,224,483,132.61,53,-0.04960620030760765,-1.4637027397751807,-0.033782843904918994,0.024940275,520,0.238232421875,-1.898571252822876,1.9552856759474936e-06,0.2,0.0003
110592,0.0,228,483,133.22,54,-0.022985123097896576,-1.4586888782680034,-0.028126689037890173,0.019552892,530,0.208837890625,-2.1908557415008545,1.8077301229268983e-06,0.2,0.0003
