rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/value_loss,train/entropy_loss
64.0,3,2048,0.045734142857142855,1,551,,,,,,,,,,
81.12,13,4096,0.044111120000000004,2,305,-0.009660753299976932,0.0003,0.1009765625,0.009486286,0.016194403171539307,10,0.2,-0.02351193130016327,0.0019382604445809192,-1.9384467013180255
77.54430379746836,23,6144,0.035372721518987335,3,261,-0.007735856814906583,0.0003,0.017626953125,0.004739481,0.28392893075942993,20,0.2,-0.032926179468631744,0.0014050708665763524,-1.9414331808686256
77.43,34,8192,0.03208334,4,237,-0.0030411282376007877,0.0003,0.010498046875,0.002238419,0.26464295387268066,30,0.2,-0.031567029654979706,0.0017455650059673643,-1.9416782435029745
86.24,44,10240,0.01927778,5,230,-0.003827120498317527,0.0003,0.041748046875,0.0059221266,0.608128547668457,40,0.2,-0.01626162976026535,0.0005402196364116208,-1.9363910604268313
83.62,54,12288,0.01302778,6,225,-0.0047221107641235,0.0003,0.056494140625,0.008250409,0.4021557569503784,50,0.2,0.0021324376575648785,0.00033147196093068486,-1.9302922114729881
95.31,64,14336,0.018500000000000003,7,221,-0.010882215038873256,0.0003,0.078662109375,0.009859035,0.6728588342666626,60,0.2,0.0006174244917929173,0.00015772845473520646,-1.9300607342272997
94.78,74,16384,0.018500000000000003,8,218,-0.004668503340508323,0.0003,0.086474609375,0.010173502,0.29812920093536377,70,0.2,-0.008482941426336765,0.0023023864821425377,-1.9074046552181243
95.92,84,18432,0.02077778,9,217,-0.012750845847040181,0.0003,0.093896484375,0.014078184,0.1670483946800232,80,0.2,-0.016302695497870445,0.0002317947714118418,-1.897757650911808
90.36,94,20480,0.02833334,10,217,-0.002383227895188611,0.0003,0.09365234375,0.010716878,0.391579270362854,90,0.2,0.0022393495310097933,0.0008296888513768863,-1.8700968772172928
72.81,103,22528,0.015444449999999998,11,216,-0.00764337520377012,0.0003,0.0658203125,0.0068792207,0.4266796112060547,100,0.2,0.004681735765188932,0.001207138657582618,-1.8521323326975108
70.5,113,24576,0.01938889,12,216,-0.00917554414627375,0.0003,0.08974609375,0.01138979,0.4668356776237488,110,0.2,0.035537343472242355,0.00030297447553948584,-1.8645165201276541
