rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/value_loss,train/entropy_loss
101.73684210526316,3,2048,0.026691736842105265,1,528,,,,,,,,,,
106.55263157894737,13,4096,0.027537605263157895,2,299,-0.0022346475339872995,0.0003,0.046240234375,0.013534219,0.01135718822479248,10,0.2,-0.025227459147572517,0.0009558978476661651,-1.941321901604533
90.65151515151516,22,6144,0.02483766666666667,3,268,-0.003470149906934239,0.0003,0.02861328125,0.005036445,0.3305315375328064,20,0.2,0.01599837653338909,0.0012449440719137783,-1.9303563773632049
81.33,31,8192,0.02260714,4,256,-0.0037726369988376972,0.0003,0.054052734375,0.0045754816,0.2196781039237976,30,0.2,-0.0031156595796346664,0.0014167465575837923,-1.9193182408809661
65.46,41,10240,0.012142849999999998,5,249,-0.00981063937797444,0.0003,0.09560546875,0.010910042,0.23635154962539673,40,0.2,-0.002581116044893861,0.001697784747307196,-1.9050839312374592
63.53,51,12288,0.01699999,6,240,-0.003074241237482056,0.0003,0.027587890625,0.008751294,-0.7962360382080078,50,0.2,-0.024561071768403053,2.7102008668578038e-05,-1.903911877796054
67.96,60,14336,0.019964279999999997,7,237,-0.004236934495565947,0.0003,0.073779296875,0.010934999,-0.0025544166564941406,60,0.2,-0.017977792769670486,0.0009942736892980975,-1.8978534635156392
77.08,70,16384,0.01375,8,233,-0.004523098067147657,0.0003,0.093798828125,0.008876626,0.012712836265563965,70,0.2,-0.010467945598065853,0.0014362732317692918,-1.873453801125288
85.24,79,18432,0.01375,9,232,-0.0054821406312839825,0.0003,0.043994140625,0.007279841,-1.835552453994751,80,0.2,-0.02135007455945015,0.00021138099097015584,-1.894788685813546
93.18,88,20480,0.00889286,10,231,-0.009968651847157162,0.0003,0.110009765625,0.01333451,-0.2037755250930786,90,0.2,-0.006678706966340542,1.1275169962488007e-05,-1.870455949008465
103.4,98,22528,0.00889286,11,229,-0.007226211010129191,0.0003,0.107568359375,0.011509605,0.04913461208343506,100,0.2,0.007703507784754038,8.536128900260565e-06,-1.8391305204480886
111.0,108,24576,0.00889286,12,225,-0.008082565500808414,0.0003,0.141064453125,0.012104012,0.08207905292510986,110,0.2,-0.016885796561837196,3.4719276353456506e-06,-1.788990628346801
129.03,118,26624,0.00367857,13,223,-0.005197066997061484,0.0003,0.103125,0.011236288,0.069621741771698,120,0.2,-0.02309032529592514,1.7045317938446659e-06,-1.746332249045372
133.47,129,28672,0.0,14,221,-0.006054444339679321,0.0003,0.09677734375,0.011892732,0.0941305160522461,130,0.2,0.0017996380338445306,3.9560064719612597e-07,-1.6775401130318641
135.63,138,30720,0.0,15,222,-0.0068474514730041845,0.0003,0.05625,0.008857399,0.07808470726013184,140,0.2,-0.017452271655201912,7.246895139978448e-07,-1.6667287677526474
147.28,147,32768,0.0,16,222,-0.00924444526026491,0.0003,0.122607421875,0.015999604,0.07163864374160767,150,0.2,0.006489805411547422,5.547593664001483e-07,-1.6159914791584016
152.49,157,34816,0.0,17,221,-0.004970036799204536,0.0003,0.097021484375,0.013629542,0.031063854694366455,160,0.2,-0.015356923453509808,1.1636909758028224e-07,-1.6481431245803833
167.44,167,36864,0.0,18,220,-0.00499875742389122,0.0003,0.09267578125,0.009286266,0.28257066011428833,170,0.2,0.008304258808493614,1.3730635510800228e-07,-1.65970888286829
169.8,177,38912,0.0,19,219,-0.003680762015574146,0.0003,0.058544921875,0.011905957,-0.24130797386169434,180,0.2,-0.013009313493967056,9.983867397256318e-08,-1.584136191383004
179.0,187,40960,0.0,20,217,-0.002975622727535665,0.0003,0.033935546875,0.0056161275,-0.1412053108215332,190,0.2,-0.023029407486319542,1.1979327247946258e-07,-1.5588738162070512
177.97,197,43008,0.0,21,218,-0.0035137901228154077,0.0003,0.0806640625,0.010861844,0.4487050175666809,200,0.2,0.004307033494114876,9.531966997933239e-08,-1.5551095083355904
182.05,207,45056,0.0,22,216,-0.005005896196234971,0.0003,0.07236328125,0.008034559,0.3196406960487366,210,0.2,-0.028579186648130417,1.6848517820911012e-07,-1.530492603033781
184.39,218,47104,0.0,23,215,-0.006906068001990206,0.0003,0.097802734375,0.013498664,0.43770521879196167,220,0.2,0.013925853185355663,1.2085480599610676e-07,-1.5259258415549994
192.19,227,49152,0.0,24,215,-0.004647519907302921,0.0003,0.037060546875,0.0065493,0.34910517930984497,230,0.2,-0.013813982717692852,2.117887766772686e-07,-1.5161058641970158
201.11,237,51200,0.0,25,215,-0.003806919514317997,0.0003,0.0736328125,0.011049661,0.4117373824119568,240,0.2,-0.011626970954239368,9.106484369969525e-06,-1.466175925731659
195.57,246,53248,0.0,26,215,-0.0003474719336736598,0.0003,0.050390625,0.008357295,0.552027702331543,250,0.2,-0.008774575777351856,1.7556520133688025e-06,-1.5019262332469225
193.46,256,55296,0.0,27,215,-0.005877961127407616,0.0003,0.084033203125,0.009768222,-0.9479801654815674,260,0.2,0.014655392616987228,1.3230358493210304e-06,-1.5667836509644986
185.0,265,57344,0.0,28,215,-0.005996000472077867,0.0003,0.10498046875,0.014123619,0.3493455648422241,270,0.2,-0.03449472784996033,9.335547831224034e-07,-1.5475135408341885
183.26,275,59392,0.0,29,215,-0.006427645368967205,0.0003,0.07373046875,0.010859957,0.11795580387115479,280,0.2,-0.032782115042209625,1.1918995847182146e-06,-1.529872987791896
185.97,285,61440,0.0,30,215,-0.005641783107421361,0.0003,0.0779296875,0.007574295,0.33833444118499756,290,0.2,0.005011774133890867,2.493908461076444e-06,-1.52528874874115
182.09,295,63488,0.0,31,215,-0.006965518511424307,0.0003,0.0759765625,0.009696674,-0.12320780754089355,300,0.2,0.015525496564805508,2.6329270463421038e-06,-1.5231387097388507
186.47,304,65536,0.0,32,214,-0.011848743260634365,0.0003,0.1931640625,0.029729178,0.17975395917892456,310,0.2,-0.0191173255443573,9.308406528063528e-06,-1.4741698104888201
184.1,315,67584,0.0,33,214,-0.004681161142616475,0.0003,0.070263671875,0.008025594,0.1681196689605713,320,0.2,-0.010877290740609169,2.0058166692038526e-06,-1.4419635612517596
175.62,324,69632,0.0,34,214,-0.009052775397867663,0.0003,0.1708984375,0.017127788,0.06303608417510986,330,0.2,-0.01822746731340885,1.8416285199673866e-05,-1.441960309445858
175.77,335,71680,0.0,35,213,-0.011244892331887968,0.0003,0.2,0.023028802,-0.3465883731842041,340,0.2,0.012603892013430595,4.4581596366555235e-06,-1.4337093520909547
179.01,344,73728,0.0,36,213,-0.006550545638310723,0.0003,0.09267578125,0.013197726,0.024849414825439453,350,0.2,0.010613909922540188,2.1290039521559835e-06,-1.4282744601368904
186.67,354,75776,0.0,37,213,-0.005459426807647105,0.0003,0.10390625,0.014478004,0.1878076195716858,360,0.2,-0.004647926427423954,2.386025451173168e-06,-1.4055761106312274
