rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/value_loss,train/entropy_loss
200.0,4,2048,0.0,1,489,,,,,,,,,,
192.57142857142858,19,4096,0.0,2,206,-0.005780839677026961,0.0003,0.079345703125,0.013424422,-0.20660841464996338,10,0.2,-0.009491873905062675,6.013027143971783e-05,-1.937873236835003
194.96774193548387,35,6144,0.0,3,173,-0.002987289597513154,0.0003,0.069482421875,0.013087546,-0.16323649883270264,20,0.2,0.02019457146525383,3.2706013676886414e-05,-1.9222193140536548
190.02325581395348,51,8192,0.0,4,159,-0.010186270089980099,0.0003,0.13837890625,0.014668923,-0.13526058197021484,30,0.2,-0.05205819755792618,3.5281121312014107e-06,-1.939563451334834
186.88888888888889,63,10240,0.0,5,160,-0.006387172819813713,0.0003,0.1076171875,0.014730011,-0.07865309715270996,40,0.2,-0.01342394296079874,5.626190657093133e-06,-1.9266216021031142
185.07575757575756,77,12288,0.0,6,159,-0.008030097297159955,0.0003,0.15888671875,0.0147378,-0.08393335342407227,50,0.2,-0.026928197592496872,0.00011359887163320259,-1.8877485901117326
183.64102564102564,92,14336,0.0,7,154,-0.002141826388469781,0.0003,0.035693359375,0.01423417,0.027692973613739014,60,0.2,0.02348470874130726,4.439841437120506e-06,-1.89080208837986
180.5888888888889,108,16384,0.0,8,151,-0.005614631298521999,0.0003,0.1005859375,0.010672279,-0.13193047046661377,70,0.2,-0.030149010941386223,6.7592759535717304e-06,-1.8625534538179636
180.19,127,18432,0.0,9,144,-0.007554600186995231,0.0003,0.115380859375,0.015664443,-0.16422045230865479,80,0.2,0.02458575926721096,2.457268686333336e-05,-1.8570010282099247
178.52,140,20480,0.0,10,145,-0.00395767609734321,0.0003,0.0853515625,0.009926718,-0.14846742153167725,90,0.2,-0.009480475448071957,2.117629905753482e-05,-1.84821586497128
176.34,154,22528,0.0,11,146,-0.0032729879312682897,0.0003,0.0900390625,0.0074612414,-0.1334695816040039,100,0.2,0.002221244852989912,1.8523723444463513e-05,-1.8018167305737733
172.85,169,24576,0.0,12,144,-0.002232966187148122,0.0003,0.03515625,0.012147656,0.4485202431678772,110,0.2,-0.008685161359608173,1.8919930314398315e-05,-1.7685677845031023
172.47,187,26624,0.0,13,142,-0.003924325817206409,0.0003,0.056884765625,0.015906151,-0.28483617305755615,120,0.2,-0.008113512769341469,5.2265446460275645e-05,-1.7184672497212887
172.15,199,28672,0.0,14,143,-0.007148920551117044,0.0003,0.12890625,0.014766013,0.08399468660354614,130,0.2,0.02620244212448597,3.7740429919219665e-06,-1.776126815006137
171.28,213,30720,0.0,15,143,-0.004646519230664126,0.0003,0.058837890625,0.0081904335,-0.11328721046447754,140,0.2,-0.005500556901097298,4.05421332052569e-06,-1.816435170546174
174.16,229,32768,0.0,16,142,-0.004940087831346318,0.0003,0.069873046875,0.014446472,0.05680263042449951,150,0.2,-0.010692519135773182,1.3916191635054976e-05,-1.7574259005486965
174.14,245,34816,0.0,17,141,-0.0020961280941264706,0.0003,0.032861328125,0.009690495,0.40458184480667114,160,0.2,-0.011253312230110168,5.667054829477936e-06,-1.7747370194643737
170.4,261,36864,0.0,18,141,-0.004442600249603856,0.0003,0.076611328125,0.00873288,0.13469398021697998,170,0.2,-0.025596512481570244,1.5473668943188913e-05,-1.7775038253515958
169.6,274,38912,0.0,19,141,-0.002888973346853163,0.0003,0.082568359375,0.013893792,0.060779571533203125,180,0.2,0.0025892085395753384,3.8169026626011515e-05,-1.7802828382700682
169.66,287,40960,0.0,20,142,-0.003434468358682352,0.0003,0.090625,0.010386435,0.00103759765625,190,0.2,0.019617969170212746,7.911921216186002e-06,-1.7774911236017943
172.03,301,43008,0.0,21,142,-0.00409239114378579,0.0003,0.078955078125,0.012456732,0.33974212408065796,200,0.2,-0.021236980333924294,1.3093569791616799e-05,-1.783023841306567
173.34,317,45056,0.0,22,141,-0.006773346001136815,0.0003,0.133984375,0.011420589,0.15260368585586548,210,0.2,0.011249402537941933,5.041253132714862e-06,-1.7899068467319013
172.56,333,47104,0.0,23,141,-0.003938367948285304,0.0003,0.069384765625,0.014393492,0.11429274082183838,220,0.2,-0.0027762216050177813,6.722016025806354e-06,-1.7994627967476844
175.6,349,49152,0.0,24,140,-0.0067147778994694814,0.0003,0.147900390625,0.010615881,0.06568855047225952,230,0.2,-0.028546562418341637,2.5524231367723972e-05,-1.8158122297376393
171.45,362,51200,0.0,25,141,-0.003025719821016537,0.0003,0.069921875,0.009398874,0.08663368225097656,240,0.2,-0.012999797239899635,4.00221412305557e-07,-1.7898242428898812
175.51,375,53248,0.0,26,141,-0.004975439099507639,0.0003,0.11044921875,0.010056097,0.08427387475967407,250,0.2,-0.01378654409199953,8.883875898284544e-05,-1.753127098083496
176.75,389,55296,0.0,27,142,-0.005983774619380711,0.0003,0.0876953125,0.015778877,-0.024563193321228027,260,0.2,0.019281405955553055,2.877886248475736e-07,-1.7448004234582186
176.63,404,57344,0.0,28,141,-0.0020209275622619315,0.0003,0.06708984375,0.009526082,0.022610723972320557,270,0.2,-0.027130557224154472,4.251727588472365e-07,-1.7317409869283438
178.14,420,59392,0.0,29,141,-0.0054591959742538165,0.0003,0.09091796875,0.014584442,0.032780587673187256,280,0.2,-0.01630598120391369,2.8131886467552825e-07,-1.6632636591792107
176.78,436,61440,0.0,30,140,-0.0030956823440646984,0.0003,0.072216796875,0.00926129,0.04832655191421509,290,0.2,0.004440627060830593,2.8097890430456294e-07,-1.6374152034521103
177.06,452,63488,0.0,31,140,-0.005789257710421225,0.0003,0.163818359375,0.017677981,0.024302363395690918,300,0.2,0.02099662460386753,1.599112948075243e-06,-1.7074054803699255
175.63,464,65536,0.0,32,140,-0.006325738034502137,0.0003,0.126708984375,0.012973561,0.016011059284210205,310,0.2,0.001489186193794012,3.950139436002531e-05,-1.7516016826033591
