#{"t_start": 1770403652.74026, "env_id": "lavagap_small-v0"}
r,l,t
0.0,14,0.030576
0.451,61,0.117885
0.0,100,0.23272
0.0,23,0.260652
0.0,25,0.295659
0.0,100,0.423607
0.1,100,0.540903
0.0,49,0.602619
0.199,89,0.707422
0.64,40,0.754871
0.0,35,0.796098
0.0,50,0.858401
0.0,100,0.98244
0.0,71,1.068702
0.0,14,1.085984
0.0,100,1.206053
0.0,25,1.23745
0.0,5,1.243778
0.0,43,1.295845
0.0,48,1.35281
0.0,58,1.422776
0.0,100,1.540157
0.0,22,1.566853
0.0,15,1.587507
0.0,100,1.709513
0.0,25,1.739106
0.0,21,1.763074
0.0,52,1.821049
0.0,14,1.836942
0.0,60,1.904139
0.0,47,1.956444
0.0,18,1.976691
0.0,68,2.053465
0.0,100,2.164846
0.0,34,2.203443
0.388,68,2.279134
0.793,23,2.304791
0.388,68,2.38049
0.0,100,4.567459
0.505,55,4.630615
0.0,78,4.718773
0.0,37,4.760762
0.0,100,4.872314
0.0,100,4.988002
0.0,100,5.101829
0.496,56,5.165736
0.0,20,5.188408
0.0,53,5.248872
0.0,14,5.26484
0.0,14,5.281039
0.0,55,5.34356
0.0,100,5.455586
0.0,39,5.499472
0.0,50,5.555155
0.0,100,5.666841
0.0,100,5.778358
0.0,47,5.831604
0.0,77,5.917355
0.289,79,6.006014
0.0,30,6.039632
0.0,3,6.043604
0.406,66,6.118404
0.0,37,6.16063
0.0,100,6.273021
0.0,26,6.303502
0.0,19,6.324777
0.0,11,6.337565
0.0,34,6.375895
0.0,100,6.48624
0.235,85,6.581251
0.343,73,6.665884
0.0,16,6.684685
0.0,77,6.777768
0.307,77,8.878118
0.334,74,8.963791
0.0,85,9.062004
0.0,66,9.136407
0.0,56,9.200133
0.0,33,9.237196
0.316,76,9.323166
0.784,24,9.350112
0.0,29,9.383849
0.0,95,9.490926
0.0,100,9.602321
0.0,35,9.642649
0.424,64,9.714155
0.0,63,9.785094
0.0,85,9.8795
0.0,100,9.990229
0.0,100,10.103411
0.361,71,10.183199
0.0,13,10.197985
0.559,49,10.253255
0.847,17,10.272439
0.757,27,10.302516
0.0,19,10.323918
0.0,100,10.436305
0.217,87,10.53383
0.0,77,10.620162
0.0,100,10.731377
0.0,22,10.757326
0.748,28,10.788504
0.0,100,10.899109
0.0,100,11.010879
0.0,30,11.046075
0.325,75,11.129101
0.0,100,13.258693
0.847,17,13.278878
0.712,32,13.314969
0.676,36,13.35582
0.0,42,13.403097
0.0,100,13.516232
0.0,100,13.629463
0.0,58,13.695196
0.0,58,13.76081
0.766,26,13.790161
0.883,13,13.80494
0.0,100,13.915748
0.0,33,13.953637
0.631,41,14.001112
0.424,64,14.075923
0.0,100,14.188362
0.442,62,14.25822
0.0,21,14.28215
0.0,42,14.329868
0.0,58,14.394618
0.514,54,14.455249
0.883,13,14.470557
0.487,57,14.534022
0.0,100,14.645725
0.0,46,14.698168
0.0,56,14.760252
0.613,43,14.808823
0.532,52,14.866734
0.55,50,14.922638
0.0,8,14.931838
0.478,58,14.996507
0.64,40,15.041824
0.514,54,15.102423
0.0,19,15.123683
0.667,37,15.165065
0.838,18,15.185776
0.0,73,15.267115
0.181,91,15.368732
0.0,51,15.425467
0.424,64,17.493313
0.73,30,17.527896
0.892,12,17.541842
0.0,34,17.580722
0.0,9,17.591349
0.0,33,17.630085
0.649,39,17.673003
0.478,58,17.738025
0.703,33,17.774257
0.757,27,17.80559
0.847,17,17.824693
0.703,33,17.861441
0.0,100,17.979118
0.838,18,18.00428
0.487,57,18.069515
0.775,25,18.097723
0.0,50,18.156267
0.712,32,18.192765
0.883,13,18.20776
0.0,100,18.321964
0.856,16,18.341084
0.0,28,18.372591
0.496,56,18.434429
0.694,34,18.472378
0.721,31,18.506874
0.0,5,18.513074
0.946,6,18.520256
0.0,41,18.568743
0.793,23,18.594712
0.811,21,18.6188
0.874,14,18.634833
0.802,22,18.659905
0.613,43,18.707862
0.0,100,18.81763
0.694,34,18.856847
0.505,55,18.917966
0.667,37,18.959689
0.0,9,18.970111
0.631,41,19.017336
0.0,100,19.131346
0.829,19,19.153786
0.64,40,19.19758
0.0,36,19.237991
0.0,100,19.351093
0.0,11,19.364685
0.505,55,19.426114
0.856,16,19.444301
0.883,13,19.459123
0.667,37,19.500501
0.0,38,19.543194
0.838,18,19.563582
0.631,41,19.609833
0.802,22,19.634412
0.703,33,19.671426
0.0,19,19.692741
0.0,90,19.793438
0.622,42,21.836168
0.775,25,21.865027
0.802,22,21.890102
0.712,32,21.928748
0.892,12,21.944468
0.739,29,21.984824
0.0,21,22.01273
0.793,23,22.040093
0.847,17,22.059916
0.415,65,22.133517
0.775,25,22.161633
0.856,16,22.180276
0.811,21,22.204418
0.775,25,22.232708
0.892,12,22.24661
0.811,21,22.270027
0.586,46,22.321594
0.865,15,22.338871
0.847,17,22.358004
0.0,12,22.371995
0.928,8,22.381491
0.649,39,22.425114
0.649,39,22.468993
0.676,36,22.509381
0.181,91,22.610776
0.667,37,22.651684
0.541,51,22.708364
0.658,38,22.7514
0.757,27,22.781786
0.307,77,22.868682
0.415,65,22.941104
0.559,49,22.99665
0.586,46,23.054351
0.622,42,23.108212
0.649,39,23.152885
0.865,15,23.170249
0.883,13,23.185483
0.73,30,23.219596
0.901,11,23.232433
0.802,22,23.257341
0.928,8,23.266821
0.775,25,23.29505
0.766,26,23.325585
0.775,25,23.354513
0.739,29,23.38715
0.766,26,23.416347
0.901,11,23.429008
0.784,24,23.455809
0.892,12,23.469631
0.442,62,23.53877
0.784,24,23.566006
0.847,17,23.585397
0.703,33,23.623731
0.838,18,23.644457
0.649,39,23.688045
0.793,23,23.713999
0.901,11,23.726541
0.325,75,23.810806
0.928,8,23.820082
0.856,16,23.838076
0.856,16,23.856539
0.766,26,23.885905
0.757,27,23.9165
0.865,15,23.933892
0.847,17,23.952841
0.0,41,24.00226
0.883,13,24.023595
0.784,24,24.054832
0.604,44,24.104915
0.793,23,24.130892
0.739,29,24.163445
0.91,10,26.161741
0.712,32,26.198833
0.847,17,26.218552
0.0,40,26.264356
0.685,35,26.303952
0.937,7,26.312152
0.0,8,26.321539
0.865,15,26.338652
0.874,14,26.354547
0.0,48,26.408555
0.361,71,26.48736
0.901,11,26.500048
0.442,62,26.569114
0.748,28,26.600538
0.775,25,26.628662
0.874,14,26.644643
0.829,19,26.666126
0.532,52,26.724173
0.838,18,26.74466
0.775,25,26.772485
0.829,19,26.794411
0.901,11,26.806827
0.694,34,26.844923
0.721,31,26.879248
0.892,12,26.892833
0.838,18,26.91311
0.91,10,26.924635
0.748,28,26.955946
0.631,41,27.001577
0.0,5,27.007554
0.91,10,27.020254
0.487,57,27.088261
0.0,9,27.099885
0.91,10,27.112542
0.838,18,27.133398
0.0,20,27.156842
0.892,12,27.170844
0.811,21,27.195488
0.865,15,27.212644
0.874,14,27.229137
0.892,12,27.24306
0.0,30,27.278235
0.811,21,27.302669
0.0,31,27.337526
0.901,11,27.35041
0.703,33,27.387291
0.919,9,27.397681
0.919,9,27.40808
0.0,16,27.426119
0.64,40,27.470534
0.928,8,27.479827
0.0,7,27.488165
0.631,41,27.533322
0.82,20,27.555428
0.847,17,27.574399
0.784,24,27.60208
0.676,36,27.642152
0.811,21,27.665993
0.748,28,27.697625
0.811,21,27.721431
0.838,18,27.742074
0.82,20,27.765125
0.0,3,27.768987
0.928,8,27.778362
0.0,19,27.800416
0.874,14,27.816395
0.712,32,27.851779
0.757,27,27.882174
0.775,25,27.909656
0.0,57,27.973548
0.775,25,28.001938
0.703,33,28.039308
0.838,18,28.0595
0.793,23,28.08593
0.0,10,28.0985
0.955,5,28.105045
0.829,19,28.128338
0.559,49,28.189442
0.739,29,28.22238
0.766,26,28.251776
0.784,24,28.280037
0.91,10,28.291876
0.919,9,28.302558
0.847,17,28.322003
0.82,20,28.344943
0.721,31,28.380115
0.784,24,28.408068
0.73,30,28.441681
0.865,15,28.458921
0.0,9,28.4694
0.667,37,30.586854
0.0,17,30.607082
0.622,42,30.654955
0.91,10,30.666902
0.937,7,30.675182
0.667,37,30.716501
0.775,25,30.744736
0.415,65,30.816003
0.631,41,30.861755
0.0,8,30.871174
0.901,11,30.883846
0.838,18,30.904311
0.91,10,30.915785
0.856,16,30.934373
0.901,11,30.947162
0.0,7,30.955569
0.919,9,30.965948
0.0,10,30.977629
0.865,15,30.994724
0.811,21,31.018715
0.829,19,31.040378
0.865,15,31.057303
0.91,10,31.06891
0.829,19,31.090497
0.91,10,31.102094
0.901,11,31.114608
0.667,37,31.156048
0.847,17,31.175417
0.865,15,31.192619
0.874,14,31.208734
0.901,11,31.221629
0.919,9,31.232178
0.631,41,31.277968
0.811,21,31.302103
0.0,25,31.330081
0.748,28,31.362281
0.64,40,31.407714
0.829,19,31.428877
0.577,47,31.481873
0.775,25,31.510026
0.883,13,31.525089
0.811,21,31.548774
0.928,8,31.558598
0.901,11,31.571126
0.829,19,31.592409
0.928,8,31.601906
0.604,44,31.651473
0.703,33,31.687706
0.856,16,31.705911
0.937,7,31.714039
0.856,16,31.732451
0.0,5,31.738423
0.838,18,31.758815
0.802,22,31.783018
0.856,16,31.801687
0.91,10,31.813219
0.793,23,31.839083
0.892,12,31.852931
0.91,10,31.864636
0.829,19,31.886274
0.946,6,31.893423
0.874,14,31.909341
0.892,12,31.923101
0.901,11,31.935644
0.856,16,31.95387
0.946,6,31.961248
0.0,14,31.977258
0.883,13,31.991811
0.811,21,32.016363
0.784,24,32.043492
0.82,20,32.066364
0.577,47,32.120652
0.685,35,32.162697
0.928,8,32.172295
0.919,9,32.184543
0.667,37,32.228181
0.0,15,32.245205
0.0,20,32.268069
0.0,12,32.282136
0.856,16,32.300227
0.919,9,32.310522
0.829,19,32.331901
0.883,13,32.346866
0.883,13,32.361732
0.874,14,32.378126
0.532,52,32.436759
