#{"t_start": 1772064395.1097941, "env_id": "None"}
r,l,t
0.0,4,0.57329
0.0,7,0.581527
0.0,11,0.592673
0.0,17,0.608217
0.0,21,0.619051
0.0,40,0.686201
0.0,58,0.714815
0.0,53,0.730902
0.8111111,68,0.741938
0.0,93,0.805842
0.0,26,0.808651
0.75277776,89,0.848731
0.82222223,64,0.851584
0.6888889,112,0.854519
0.82222223,64,0.880067
0.6166667,138,0.921647
0.6,144,0.937103
0.5777778,152,0.95772
0.57222223,154,0.963231
0.56666666,156,0.968646
0.0,44,0.994533
0.5138889,175,1.016211
0.49444443,182,1.03461
0.43888888,202,1.085782
0.4138889,211,1.256564
0.39722222,217,1.32509
0.6944444,110,1.372096
0.88611114,41,1.396014
0.51944447,173,1.555513
0.0,239,1.578548
0.0,25,1.612202
0.33055556,241,1.648483
0.31666666,246,1.660772
0.31111112,248,1.685519
0.0,13,1.772048
0.55277777,161,1.993936
0.0,26,2.094258
0.625,135,2.222952
0.6166667,138,2.235953
0.5611111,158,2.282241
0.5861111,149,2.342348
0.41944444,209,2.354453
0.15833333,303,2.365961
0.14722222,307,2.413746
0.43333334,204,2.494615
0.0,17,2.609739
0.7138889,103,2.632888
0.35277778,233,2.644702
0.0,23,2.758384
0.88055557,43,2.781283
0.0,324,2.804174
0.7083333,105,2.815916
0.0,5,2.838848
0.6,144,2.862158
0.0,36,3.053991
0.5694444,155,3.089036
0.0,24,3.089067
0.7916667,75,3.205626
0.7,108,3.264074
0.0,16,3.27566
0.0,94,3.309804
0.37222221,226,3.38904
0.5222222,172,3.400332
0.8055556,70,3.411971
0.37222221,226,3.493304
0.5388889,166,4.317948
0.5416667,165,4.324073
0.23888889,274,4.339717
0.65,126,4.368342
0.0,16,4.368355
0.45,198,4.38883
0.46666667,192,4.391436
0.0,50,4.424241
0.64444447,128,4.482983
0.0,46,4.485945
0.73888886,94,4.485957
0.45833334,195,4.488822
0.73333335,96,4.493968
0.625,135,4.496815
0.6027778,143,4.499842
0.0,71,4.524605
0.0,58,4.542732
0.5277778,170,4.542743
0.55277777,161,4.621079
0.85,54,4.638418
0.5861111,149,4.661572
0.25277779,269,4.707494
0.44166666,201,4.715094
0.75555557,88,4.720758
0.5611111,158,4.729043
0.25,270,4.736793
0.7027778,107,4.763123
0.675,117,4.786321
0.39166668,219,4.797085
0.0,6,4.812974
0.8277778,62,4.823009
0.4,216,4.83131
0.6,144,4.873458
0.0,53,4.878749
0.61388886,139,4.886639
0.5638889,157,4.899612
0.69166666,111,4.912182
0.2888889,256,4.920457
0.15,306,4.935872
0.0,17,4.956641
0.34166667,237,4.984787
0.61388886,139,5.003038
0.0,44,5.03353
0.0,10,5.05925
0.15,306,5.070107
0.29722223,253,5.083078
0.6805556,115,5.113487
0.76666665,84,5.116303
0.5416667,165,5.15149
0.5694444,155,5.166856
0.63055557,133,5.169355
0.61388886,139,5.192486
0.0,123,5.202719
0.0,324,5.228518
0.0,24,5.231188
0.0,112,5.272897
0.21111111,284,5.27795
0.0,53,5.288587
0.3611111,230,5.314051
0.0,324,5.326877
0.70555556,106,5.332161
0.6888889,112,5.369519
0.0,324,5.380363
0.0,60,5.383456
0.33888888,238,5.404699
0.0,38,5.425182
0.22222222,280,5.436209
0.37222221,226,5.456491
0.5,180,5.466577
0.61944443,137,5.469402
0.61388886,139,5.471972
0.66944444,119,5.474641
0.6944444,110,5.477352
0.0,44,5.485661
0.55277777,161,5.485673
0.42777777,206,5.488614
0.675,117,5.50632
0.0,15,5.514129
0.0,23,5.530514
0.0,324,5.571277
0.25555557,268,5.571289
0.0,41,5.584267
0.7722222,82,5.595018
0.0,56,5.633446
0.5472222,163,5.653569
0.0,7,5.670878
0.0,52,5.716808
0.525,171,5.719436
0.63611114,131,5.722242
0.0,4,5.727826
0.8333333,60,5.74851
0.5361111,167,5.764244
0.0,324,5.771923
0.73888886,94,5.771935
0.0,57,5.780275
0.49166667,183,5.788687
0.0,11,5.794338
0.6027778,143,5.797299
0.0,9,5.818201
0.575,153,5.854815
0.3,252,5.925336
0.43333334,204,5.933331
0.5,180,5.951053
0.4888889,184,5.961462
0.7583333,87,5.997089
0.41111112,212,6.014809
0.75555557,88,6.022886
0.20833333,285,6.025801
0.40555555,214,6.059707
0.8,72,6.118033
0.63055557,133,6.123471
0.5416667,165,6.174267
0.7111111,104,6.191757
0.4861111,185,6.199243
0.30555555,250,6.214606
0.13055556,313,6.242879
0.3638889,229,6.260084
0.73888886,94,6.262902
0.16944444,299,6.283878
0.0,324,6.307332
0.65555555,124,6.333978
0.65833336,123,6.341388
0.575,153,6.344167
0.80277777,71,6.357062
0.31666666,246,6.362181
0.0,10,6.387971
0.0,324,6.40573
0.0,43,6.451982
0.16111112,302,6.498204
0.775,81,6.516387
0.69166666,111,6.528834
0.7777778,80,6.539533
0.37222221,226,6.542281
0.42222223,208,6.593513
0.12777779,314,6.59629
0.0,324,6.606423
0.0,67,6.623946
0.31388888,247,6.631604
0.54444444,164,6.637029
0.0,324,6.650138
0.4,216,6.678826
0.0,324,6.686773
0.44166666,201,6.709336
0.5972222,145,6.716918
0.85833335,51,6.727154
0.33055556,241,6.737414
0.0,36,6.742879
0.7777778,80,6.745557
0.86388886,49,6.750959
0.8972222,37,6.77442
0.35277778,233,6.80015
0.4888889,184,6.830904
0.76944447,83,6.898573
0.65555555,124,6.911095
0.7861111,77,6.913948
0.8,72,6.921487
0.0,78,6.94186
0.6666667,120,6.944589
0.50555557,178,6.954909
0.8111111,68,6.97249
0.49444443,182,6.98277
0.0,36,6.990604
0.0,15,6.993256
0.33055556,241,7.006487
0.71666664,102,7.012023
0.18055555,295,7.022555
0.2,288,7.025354
0.84444445,56,7.058987
0.425,207,7.07346
0.7277778,98,7.080782
0.0,324,7.093978
0.0,70,7.124105
0.43333334,204,7.129643
0.0,56,7.137175
0.6027778,143,7.139698
0.44166666,201,7.147252
0.75,90,7.172419
0.7,108,7.198116
0.5083333,177,7.198128
0.0,324,7.236904
0.0,91,7.239655
0.73333335,96,7.257665
0.8833333,42,7.306669
0.35277778,233,7.306682
0.12777779,314,7.334425
0.575,153,7.374744
0.29166666,255,7.380127
0.5138889,175,7.42115
0.85833335,51,7.436001
0.5861111,149,7.438776
0.5388889,166,7.44644
0.6527778,125,7.459225
0.0,171,7.518979
0.0,34,7.534297
0.5611111,158,7.534308
0.5416667,165,7.559532
0.6,144,7.607907
0.24166666,273,7.61066
0.7361111,95,7.618621
0.0,9,7.63471
0.0,85,7.657952
0.40833333,213,7.671142
0.0,60,7.673815
0.84166664,57,7.681613
0.275,261,7.69445
0.71666664,102,7.699845
0.63611114,131,7.718504
0.55277777,161,7.721375
0.0,32,7.755106
0.63055557,133,7.765564
0.25277779,269,7.787245
0.51111114,176,7.790279
0.6472222,127,7.790292
0.30277777,251,7.795678
0.0,15,7.806275
0.375,225,7.819214
0.0,76,7.819226
0.0,324,7.827165
0.18611111,293,7.83026
0.3861111,221,7.830272
0.26944444,263,7.879455
0.0,27,7.88993
0.84444445,56,7.902141
0.7111111,104,7.928958
0.83055556,61,7.951006
0.8472222,55,7.958839
0.0,62,7.987442
0.7138889,103,7.987454
0.0,324,8.00772
0.50277776,179,8.023695
0.58055556,151,8.026427
0.0,6,8.039215
0.7,108,8.067198
0.7111111,104,8.07293
0.67777777,116,8.089246
0.0,10,8.099867
0.39444444,218,8.099878
0.0,61,8.109881
0.45555556,196,8.118225
0.82222223,64,8.126581
0.50277776,179,8.139626
0.6666667,120,8.19749
0.43888888,202,8.223658
0.5555556,160,8.241293
0.425,207,8.254395
0.38333333,222,8.270102
0.78333336,78,8.270114
0.5833333,150,8.288046
0.32222223,244,8.313551
0.0,22,8.326111
0.68333334,114,8.334091
0.64444447,128,8.339661
0.75,90,8.342319
0.0,42,8.378673
0.675,117,8.391898
0.7138889,103,8.39191
0.36944443,227,8.412926
0.0,183,8.46144
0.0,103,8.464214
0.51111114,176,8.482326
0.725,99,8.497737
0.22222222,280,8.510947
0.0,55,8.521963
0.0,69,8.521976
0.5277778,170,8.540747
0.5083333,177,14.399235
0.63055557,133,14.401998
0.6722222,118,14.447824
0.74722224,91,14.456669
0.7111111,104,14.471427
0.8,72,14.480349
0.63055557,133,14.483375
0.3888889,220,14.500481
0.7972222,73,14.500495
0.49444443,182,14.509146
0.0,324,14.53218
0.29444444,254,14.57747
0.6027778,143,14.583451
0.0,324,14.588981
0.73055553,97,14.594944
0.5138889,175,14.616642
0.0,324,14.653528
0.6027778,143,14.659378
0.59444445,146,14.670563
0.0,22,14.719927
0.6,144,14.745375
0.0,16,14.765414
0.32222223,244,14.782438
0.70555556,106,14.799269
0.59166664,147,14.816142
0.73333335,96,14.852812
0.59444445,146,14.861399
0.43611112,203,14.880606
0.525,171,14.886185
0.78055555,79,14.892054
0.64166665,129,14.895257
0.43333334,204,14.89527
0.55833334,159,14.928683
0.55833334,159,14.947431
0.0,324,14.978297
0.8388889,58,14.97831
0.0,84,15.034388
0.48055556,187,15.034401
0.71944445,101,15.048687
0.8194444,65,15.073289
0.49166667,183,15.090239
0.75555557,88,15.106337
0.54444444,164,15.112245
0.60833335,141,15.139515
0.7138889,103,15.1681
0.70555556,106,15.190775
0.2611111,266,15.218493
0.75555557,88,15.224443
0.0,55,15.248852
0.375,225,15.251938
0.18888889,292,15.28232
0.60555553,142,15.297063
0.19166666,291,15.305571
0.48333332,186,15.308663
0.625,135,15.311691
0.7277778,98,15.314697
0.28333333,258,15.317442
0.7,108,15.342949
0.87222224,46,15.359947
0.61944443,137,15.369318
0.6638889,121,15.395535
0.14722222,307,15.463141
0.7916667,75,15.466124
0.6472222,127,15.477338
0.5472222,163,15.537544
0.0,30,15.548891
0.7777778,80,15.584526
0.7,108,15.601738
0.0,51,15.604736
0.7111111,104,15.607928
0.25277779,269,15.613817
0.7722222,82,15.625169
0.5416667,165,15.639381
0.57222223,154,15.659089
0.65,126,15.662232
0.45555556,196,15.665335
0.6388889,130,15.710031
0.7638889,85,15.715672
0.8472222,55,15.741801
0.5277778,170,15.788526
0.0,324,15.802594
0.7222222,100,15.819489
0.0,84,15.838611
0.4722222,190,15.852513
0.7583333,87,15.852526
0.0,324,15.863814
0.28055555,259,15.875315
0.6527778,125,15.901043
0.68333334,114,15.945777
0.26944444,263,15.990715
0.6611111,122,16.001844
0.625,135,16.04059
0.62222224,136,16.04601
0.30555555,250,16.071052
0.5277778,170,16.08215
0.6166667,138,16.095918
0.0,84,16.098799
0.73888886,94,16.102088
0.6888889,112,16.102102
0.0,8,16.105151
0.0,324,16.108066
0.5861111,149,16.133166
0.14444445,308,16.150734
0.0,141,16.19922
0.84444445,56,16.205017
0.89444447,38,16.208044
0.10277778,323,16.222536
0.81666666,66,16.259225
0.82222223,64,16.283316
0.0,48,16.286345
0.70555556,106,16.300099
0.63611114,131,16.314475
0.2888889,256,16.33496
0.5611111,158,16.345708
0.75277776,89,16.348785
0.49444443,182,16.366006
0.75555557,88,16.382466
0.0,9,16.391323
0.42222223,208,16.404907
0.7888889,76,16.421565
0.32222223,244,16.427345
0.74444443,92,16.458549
0.41944444,209,16.464318
0.56666666,156,16.480642
0.0,59,16.480655
0.5083333,177,16.488667
0.5777778,152,16.530746
0.0,324,16.550434
0.725,99,16.561886
0.64444447,128,16.564788
0.85833335,51,16.570257
0.6333333,132,16.593102
0.0,15,16.593116
0.51666665,174,16.598964
0.78333336,78,16.601918
0.82222223,64,16.601933
0.0,75,16.616369
0.73333335,96,16.616381
0.475,189,16.639163
0.0,23,16.682971
0.6527778,125,16.689485
0.59444445,146,16.701371
0.13611111,311,16.732993
0.55833334,159,16.752521
0.73333335,96,16.755661
0.71666664,102,16.781369
0.59166664,147,16.808516
0.6722222,118,16.817342
0.625,135,16.848441
0.71944445,101,16.882889
0.7222222,100,16.885505
0.35277778,233,16.919285
0.60555553,142,16.93505
0.6388889,130,16.940711
0.75,90,16.954761
0.64444447,128,16.957697
0.85555553,52,16.963453
0.5972222,145,16.975017
0.74444443,92,17.038852
0.59166664,147,17.055508
0.78333336,78,17.102407
0.35277778,233,17.116161
0.5888889,148,17.147159
0.60833335,141,17.150254
0.41944444,209,17.155849
0.45277777,197,17.158687
0.8111111,68,17.164426
0.7638889,85,17.172846
0.43055555,205,17.195214
0.7222222,100,17.197928
0.375,225,17.23664
0.0,324,17.261027
0.6888889,112,17.267096
0.40555555,214,17.283617
0.875,45,17.289585
0.0,97,17.309235
0.4722222,190,17.33957
0.35277778,233,17.342814
0.6,144,17.342828
0.80277777,71,17.34835
0.7638889,85,17.392879
0.45833334,195,17.392892
0.0,20,17.395773
0.55,162,17.416065
0.7277778,98,17.422014
0.0,15,17.43579
0.65833336,123,17.461281
0.8138889,67,17.472772
0.24166666,273,17.516604
0.65833336,123,17.516618
0.6722222,118,17.527951
0.83055556,61,17.565086
0.30555555,250,17.580928
0.6861111,113,17.583775
0.0,61,17.592839
0.725,99,17.621119
0.70555556,106,17.640609
0.6333333,132,17.659504
0.28611112,257,17.676399
0.76944447,83,17.693195
0.76944447,83,17.705117
0.46388888,193,17.73588
0.7777778,80,17.741389
0.65555555,124,17.763087
0.6333333,132,17.766158
0.0,12,17.769298
0.0,27,17.769311
0.49166667,183,17.775241
0.5416667,165,17.810938
0.41666666,210,17.824681
0.74722224,91,17.874649
0.83055556,61,17.874662
0.5861111,149,17.932614
0.20277777,287,17.959508
0.0,324,17.959522
0.0,137,17.962998
0.0,324,18.00714
0.7861111,77,18.024354
0.71666664,102,18.024367
0.74444443,92,18.030188
0.8111111,68,18.064761
0.525,171,18.070158
0.69722223,109,18.073111
0.44444445,200,18.087142
0.8611111,50,18.103637
0.475,189,18.112195
0.525,171,18.154017
0.0,70,18.15705
0.0,39,18.182683
0.25277779,269,18.18822
0.8361111,59,18.191138
0.37222221,226,18.197033
0.0,9,18.216666
0.0,324,18.216678
0.0,45,18.239544
0.0,31,18.242621
0.51666665,174,18.254053
0.8277778,62,18.262764
0.6,144,18.279575
0.3638889,229,18.282712
0.0,18,18.330662
0.68333334,114,18.390471
0.38055557,223,18.393514
0.6333333,132,18.39668
0.51666665,174,18.421595
0.675,117,18.432668
0.33333334,240,18.435836
0.81666666,66,18.438562
0.21111111,284,18.455801
0.7027778,107,18.48357
0.5638889,157,18.505435
0.31944445,245,18.511332
0.7277778,98,18.536773
0.5972222,145,18.565331
0.0,11,18.568228
