shield/transition_timestep,time/iterations,rollout/ep_rew_mean,shield/stage,shield/ignore_prob,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl
38232,1,0.624523401260376,3,0.5,49152,6709,7,69.66,,,,,,,,,,
,2,0.6063437461853027,,,98304,5296,18,54.71,-0.03410027548670769,-1.931340722925961,0.13734944661458334,-0.007917165756225586,-0.010420929925567179,0.2,0.0003,0.011604622784458722,10,0.0153210275
,3,0.6747891306877136,,,147456,4953,29,42.3,-0.019023610278964043,-1.8908289906879265,0.21668904622395832,0.6952887773513794,-0.02007527249091557,0.2,0.0003,0.013321567709499504,20,0.015906073
149928,4,0.6414023637771606,4,0.7,196608,4776,41,32.46,-0.009571692906320095,-1.8314023489753406,0.20334879557291666,0.692280113697052,-0.02048448589303007,0.2,0.0003,0.0155759791804788,30,0.014718816
,5,0.7063593864440918,,,245760,4664,52,31.59,0.015356255695223808,-1.7492288534839948,0.17989908854166667,0.6221681833267212,-0.016802423288299905,0.2,0.0003,0.014645272634030941,40,0.0147500485
,6,0.7350273132324219,,,294912,4586,64,25.19,0.004011338576674461,-1.6562337643156448,0.193011474609375,0.5409350991249084,-0.013458015341529971,0.2,0.0003,0.01430294085512287,50,0.014022678
,7,0.6849765777587891,,,344064,4531,75,23.02,0.009219653904438019,-1.5646762115880848,0.14426676432291666,0.4752197861671448,-0.008455149341352807,0.2,0.0003,0.014261852348863614,60,0.011354434
,8,0.7376132011413574,,,393216,4477,87,21.17,0.012480497360229492,-1.4797789914533497,0.14744059244791666,0.4107236862182617,-0.007072086909465725,0.2,0.0003,0.013997804029107405,70,0.0108665535
,9,0.7734296321868896,,,442368,4431,99,23.12,0.0012524295598268509,-1.3949911259114742,0.10986124674479167,0.3815954923629761,-0.004674535090998688,0.2,0.0003,0.014780568164133001,80,0.009533171
,10,0.7693008184432983,,,491520,4394,111,21.04,-0.003273156937211752,-1.3175542683030168,0.10724894205729167,0.3536434769630432,-0.004290241081616841,0.2,0.0003,0.016052632792464768,90,0.008856956
,11,0.6722382307052612,,,540672,4284,126,17.6,-0.0029871873557567596,-1.2559374290828904,0.08394775390625,0.3330133557319641,-0.0024461102328738587,0.2,0.0003,0.01638815381884342,100,0.008372458
,12,0.7267187237739563,,,589824,4257,138,19.2,0.01221136562526226,-1.2141081801926097,0.075909423828125,0.3362257480621338,-0.002737207431770609,0.2,0.0003,0.016125164096350394,110,0.008098765
,13,0.8102500438690186,,,638976,4245,150,20.18,0.006620255298912525,-1.1819650193676352,0.072576904296875,0.3153384327888489,-0.002174134302913444,0.2,0.0003,0.01678553343444946,120,0.006833013
,14,0.7435547113418579,,,688128,4236,162,19.41,0.0036908085457980633,-1.1351299850270151,0.057806396484375,0.3038405179977417,-0.0018297252147021937,0.2,0.0003,0.01548987651913194,130,0.006240923
732312,15,0.765207052230835,5,1.0,737280,4228,174,18.77,0.006634462624788284,-1.100366219257315,0.056005859375,0.2851489782333374,-0.0018518067171802008,0.2,0.0003,0.01795172282703182,140,0.0058989916
,16,0.7666836380958557,,,786432,4221,186,18.63,0.002830921672284603,-1.0655029180149238,0.05755615234375,0.3020039200782776,-0.0018862232041404543,0.2,0.0003,0.016413644495090314,150,0.006547434
,17,0.8134141564369202,,,835584,4214,198,19.5,0.006269545294344425,-1.0238820428339144,0.051763916015625,0.30009275674819946,-0.0014959392635015927,0.2,0.0003,0.016161377865015918,160,0.007684903
,18,0.7117812633514404,,,884736,4209,210,17.57,0.014641989953815937,-0.9984715527544419,0.044962565104166664,0.2981412410736084,-0.0012501024901818405,0.2,0.0003,0.016886177463554,170,0.0052537736
,19,0.7971405982971191,,,933888,4204,222,18.78,0.013292046263813972,-1.003868909770002,0.05029500325520833,0.2917107939720154,-0.0016591363229963463,0.2,0.0003,0.017310362454251542,180,0.005426617
,20,0.7980546355247498,,,983040,4159,236,18.15,0.015927588567137718,-0.958142421177278,0.06177571614583333,0.2938348650932312,-0.0025353173128072133,0.2,0.0003,0.016791986599370527,190,0.008255341
,21,0.749214768409729,,,1032192,4116,250,18.42,0.002378341741859913,-0.9145474712985258,0.045084635416666664,0.299982488155365,-0.0010735865693277447,0.2,0.0003,0.01648013895198043,200,0.006019791
,22,0.7429063320159912,,,1081344,4107,263,16.92,0.009082376025617123,-0.8689818392818173,0.047406005859375,0.2850158214569092,-0.0015575752150956154,0.2,0.0003,0.017947970257955602,210,0.0053146533
,23,0.7116757035255432,,,1130496,4107,275,17.32,0.009157738648355007,-0.8705244967403512,0.03515421549479167,0.27711689472198486,-0.0008772248111805918,0.2,0.0003,0.01910474517280818,220,0.0047809356
,24,0.8129570484161377,,,1179648,4108,287,20.27,-0.001332918182015419,-0.8352629988764723,0.040374755859375,0.2994055151939392,-0.001566233829119786,0.2,0.0003,0.016083828336559237,230,0.0057419487
,25,0.7017109394073486,,,1228800,4103,299,17.56,0.009478108957409859,-0.8289904945219556,0.03891194661458333,0.2791902422904968,-0.0009388244184568369,0.2,0.0003,0.018521248994026487,240,0.004701583
,26,0.7902694940567017,,,1277952,4103,311,17.77,0.006711564026772976,-0.8390869240897397,0.0360107421875,0.28442633152008057,-0.0007181255091078735,0.2,0.0003,0.017713927726921003,250,0.004311643
,27,0.7669999599456787,,,1327104,4103,323,18.24,0.0020655938424170017,-0.8426416444592177,0.048844401041666666,0.2877544164657593,-0.0015097206416612608,0.2,0.0003,0.015620156599228115,260,0.005451452
,28,0.7432929873466492,,,1376256,4104,335,17.04,0.00476776622235775,-0.8245081888511777,0.040252685546875,0.28992074728012085,-0.0009087667386969163,0.2,0.0003,0.016074607907648898,270,0.004293073
,29,0.7771055102348328,,,1425408,4103,347,18.71,0.013033545576035976,-0.8280880544955532,0.039251708984375,0.28132879734039307,-0.0007608039788465249,0.2,0.0003,0.01656645617307125,280,0.0047805994
,30,0.7556992173194885,,,1474560,4103,359,19.2,-0.0010530506260693073,-0.833424577396363,0.042401123046875,0.2866826057434082,-0.0010700565982915578,0.2,0.0003,0.01695799867884489,290,0.0048645
,31,0.7652421593666077,,,1523712,4103,371,19.28,0.0045623378828167915,-0.7990370149724185,0.03863118489583333,0.28105199337005615,-0.0008485787460813299,0.2,0.0003,0.017810693603678374,300,0.0046229013
,32,0.7652773857116699,,,1572864,4103,383,19.69,0.0017521928530186415,-0.8075060544845959,0.045267740885416664,0.2981158494949341,-0.0014429989396982515,0.2,0.0003,0.01609869596431963,310,0.005082091
,33,0.7686172723770142,,,1622016,4099,395,18.11,-0.005650394596159458,-0.8100094572640956,0.04328206380208333,0.27928656339645386,-0.001147195071735041,0.2,0.0003,0.0162946152772444,320,0.0045012687
,34,0.7590741515159607,,,1671168,4096,407,18.03,0.0049203974194824696,-0.8000089384615421,0.04220784505208333,0.28065621852874756,-0.0012700125165186666,0.2,0.0003,0.01718371098395437,330,0.0055899466
