time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,shield_cutoff_timestep
8,0.03405555337667465,1,5868,49152,104.52,,,,,,,,,,,
19,0.05622221902012825,2,4968,98304,109.47,0.0072843050584197044,10,0.0003,0.04214070638020833,-0.0019428064612535916,0.0010841168902667657,0.0093784295,0.010949254035949707,0.2,-1.939288026591142,
31,0.053583335131406784,3,4712,147456,109.52,-0.01295190304517746,20,0.0003,0.06834716796875,-0.002985774869497012,0.0014960544547648169,0.007734228,0.23968130350112915,0.2,-1.9198875468224288,
42,0.0967777818441391,4,4584,196608,115.63,0.0011141085997223854,30,0.0003,0.07505086263020834,-0.004654697950233337,0.0019329898050424769,0.009041607,0.39562493562698364,0.2,-1.9001342396562297,
54,0.18105554580688477,5,4531,245760,99.92,0.0060715461149811745,40,0.0003,0.10510050455729167,-0.005418534909040318,0.0029823189482461507,0.009605963,0.4459851384162903,0.2,-1.8623838013038039,
65,0.30791667103767395,6,4473,294912,101.89,-0.004484398290514946,50,0.0003,0.12367757161458333,-0.008224300333373928,0.005568796957474357,0.011210221,0.5047600269317627,0.2,-1.8015952384099365,
77,0.29794445633888245,7,4432,344064,86.79,-0.015199287794530392,60,0.0003,0.12392171223958333,-0.009161893740808107,0.00796670340472095,0.011311822,0.5507044792175293,0.2,-1.748883574269712,
89,0.3965277373790741,8,4396,393216,80.54,-0.01746734231710434,70,0.0003,0.1265380859375,-0.009233028075626256,0.009584760537594168,0.01166188,0.5962659120559692,0.2,-1.6774870241060853,
101,0.4754166901111603,9,4363,442368,73.8,0.008087151683866978,80,0.0003,0.15140584309895833,-0.011068347110813193,0.011955005742978149,0.013721913,0.6068373918533325,0.2,-1.566038932899634,
112,0.37611111998558044,10,4381,491520,57.22,-0.010422462597489357,90,0.0003,0.14619140625,-0.0107306793663156,0.014121250251385694,0.012968276,0.6005200743675232,0.2,-1.462442330022653,463632
125,0.4597778022289276,11,4324,540672,61.85,-0.007156684063374996,100,0.0003,0.12972005208333334,-0.008539045383410363,0.0165112670569215,0.011912618,0.5763681530952454,0.2,-1.3478806835288804,
135,0.5513889193534851,12,4363,589824,58.38,-0.014445777982473373,110,0.0003,0.12237752278645833,-0.008704207246349445,0.019057638877711724,0.00989166,0.5166316628456116,0.2,-1.2392530574152867,
145,0.49211108684539795,13,4391,638976,46.05,0.004651946946978569,120,0.0003,0.10376993815104167,-0.007446526187777636,0.019172948648338205,0.008142904,0.52392578125,0.2,-1.1471553635473053,
155,0.6178610324859619,14,4418,688128,49.06,0.008615659549832344,130,0.0003,0.094781494140625,-0.0073670531582441376,0.01878553497857259,0.006956046,0.5153590440750122,0.2,-1.0603702006861568,
166,0.6660832762718201,15,4439,737280,49.24,-0.010524419136345387,140,0.0003,0.09441324869791666,-0.0067851800378169475,0.01744465091081414,0.0072554164,0.5404989719390869,0.2,-0.9538478408940136,
176,0.7033889293670654,16,4460,786432,50.12,6.320327520370483e-05,150,0.0003,0.08288167317708334,-0.005216760500782887,0.016250205638546806,0.006118243,0.5258191823959351,0.2,-0.8724804836325347,
186,0.651305615901947,17,4476,835584,43.57,0.010949399322271347,160,0.0003,0.07138875325520834,-0.0044945050763999465,0.014886041390612566,0.005213279,0.5404571294784546,0.2,-0.7994279288686812,
196,0.671833336353302,18,4495,884736,42.25,0.006550655700266361,170,0.0003,0.06366373697916666,-0.003598448619474463,0.014625308883842081,0.0050193164,0.5387559533119202,0.2,-0.7464456139753263,
206,0.7331388592720032,19,4512,933888,45.38,0.010590402409434319,180,0.0003,0.05785725911458333,-0.00283611468385061,0.015045304828769682,0.0049267714,0.5234564542770386,0.2,-0.6743161763995886,
219,0.6883611083030701,20,4472,983040,43.6,0.007087296340614557,190,0.0003,0.05831705729166667,-0.0037385423209343573,0.014388708085850037,0.0046303063,0.5207234621047974,0.2,-0.6333367176974813,
232,0.7271666526794434,21,4436,1032192,42.92,0.0048840343952178955,200,0.0003,0.056549072265625,-0.0029883033252796547,0.014025426075871412,0.004081885,0.5212321281433105,0.2,-0.5995504088078936,
242,0.6925000548362732,22,4456,1081344,44.64,0.01096629723906517,210,0.0003,0.047953287760416664,-0.002268893586612345,0.013804442442778963,0.0039275833,0.5238039493560791,0.2,-0.5554885485209524,
252,0.7206665873527527,23,4474,1130496,38.6,0.009036003611981869,220,0.0003,0.04360758463541667,-0.0019006765225033936,0.012437157245828227,0.003469515,0.5198607444763184,0.2,-0.5259330665227026,
