time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/entropy_loss,shield_cutoff_timestep
7,0.18819141387939453,1,6858,49152,113.92,,,,,,,,,,,
17,0.18107421696186066,2,5485,98304,97.17,0.002758623333647847,10,0.0003,0.06461181640625,-0.004688495040682028,0.0037741382682118757,0.0104663735,0.0005917549133300781,0.2,-1.9345101218049725,
28,0.36839455366134644,3,5150,147456,71.11,-0.023871542885899544,20,0.0003,0.13017781575520834,-0.010306025978873852,0.0050903794672194635,0.011804196,0.5937314629554749,0.2,-1.9280612463131548,
39,0.4910546839237213,4,4985,196608,57.12,-0.00012891646474599838,30,0.0003,0.160540771484375,-0.01504591396333126,0.010115386687296753,0.012086377,0.6869068741798401,0.2,-1.8910481365397573,
49,0.0,5,4947,245760,11.93,-0.0075318412855267525,40,0.0003,0.18657023111979168,-0.017898169572254118,0.012584926866111346,0.013134225,0.7115389108657837,0.2,-1.8360372084503374,202056
59,0.038007814437150955,6,4934,294912,26.57,-0.008286649361252785,50,0.0003,0.22298380533854167,-0.018055128326644385,0.011783690558271094,0.017057924,0.500800371170044,0.2,-1.8120955010255178,
69,0.18703125417232513,7,4946,344064,50.46,-0.02233903855085373,60,0.0003,0.24443562825520834,-0.024388910102667676,0.009549502854497405,0.040327135,0.46808916330337524,0.2,-1.771183097610871,
79,0.38832420110702515,8,4953,393216,46.94,-0.0010550147853791714,70,0.0003,0.21362508138020833,-0.02234443346860644,0.012301806733497263,0.013958901,0.5580775737762451,0.2,-1.6987190956870715,
89,0.5371484160423279,9,4963,442368,37.0,-0.024829350411891937,80,0.0003,0.23579915364583334,-0.023896924826597873,0.017508740508249805,0.015504944,0.576642632484436,0.2,-1.5723129222169518,
98,0.5730040073394775,10,4965,491520,32.02,-0.015541249886155128,90,0.0003,0.24566446940104167,-0.02278186226164204,0.018631122075021267,0.01791187,0.6155741214752197,0.2,-1.4114360409478346,
110,0.6646758317947388,11,4871,540672,26.55,-0.00795414112508297,100,0.0003,0.22522786458333333,-0.01884479399462483,0.0195258444485565,0.015108342,0.5639353394508362,0.2,-1.2172776142135262,
121,0.682445228099823,12,4872,589824,23.86,-0.006871300749480724,110,0.0003,0.16376953125,-0.012185851578396977,0.01804292655045477,0.012268986,0.495438814163208,0.2,-1.0463217974019547,
131,0.6882108449935913,13,4873,638976,21.58,-0.0058322083204984665,120,0.0003,0.12757568359375,-0.00827847108636585,0.018559813341077338,0.008548945,0.4388120770454407,0.2,-0.881292004386584,
141,0.756663978099823,14,4864,688128,21.84,-0.0011119749397039413,130,0.0003,0.1032470703125,-0.006527496004006632,0.01768739666295005,0.0075750616,0.37518781423568726,0.2,-0.7894172159023582,
151,0.749441385269165,15,4854,737280,20.62,0.0025289207696914673,140,0.0003,0.093731689453125,-0.004849786951854185,0.017946942882796673,0.006372863,0.3571596145629883,0.2,-0.6815316300218304,
162,0.7608476877212524,16,4846,786432,21.17,0.0020570200867950916,150,0.0003,0.06493937174479167,-0.0029061412196218347,0.01613411048577594,0.0046679196,0.3582085371017456,0.2,-0.60695202400287,
172,0.7898984551429749,17,4840,835584,20.8,0.0035813134163618088,160,0.0003,0.05568644205729167,-0.002051040618183227,0.01961854493104814,0.0048404527,0.3175150156021118,0.2,-0.5078296847331027,
182,0.7463672161102295,18,4835,884736,19.53,-0.0037658349610865116,170,0.0003,0.051188151041666664,-0.001955221133357554,0.016795306759740926,0.003784293,0.3239952325820923,0.2,-0.4513274554628879,
193,0.7662616968154907,19,4830,933888,18.75,0.0027289055287837982,180,0.0003,0.040789794921875,-0.001695581366402621,0.018284183001378553,0.0038563109,0.3088113069534302,0.2,-0.38717347209652264,
205,0.7461212277412415,20,4776,983040,19.71,0.01226714812219143,190,0.0003,0.032607014973958334,-0.0010021945994594717,0.017422183180072656,0.0026666254,0.30119794607162476,0.2,-0.34790782472118736,
218,0.7580195069313049,21,4728,1032192,18.45,0.010233351960778236,200,0.0003,0.027762858072916667,-0.0010641217750768798,0.018173310043736516,0.002636724,0.28861743211746216,0.2,-0.32242755248832206,
228,0.7492148876190186,22,4728,1081344,18.23,-0.0001929793506860733,210,0.0003,0.027337646484375,-0.0009076981580619758,0.017429511592248068,0.0026510756,0.3038333058357239,0.2,-0.29868072350509467,
239,0.8038007616996765,23,4729,1130496,19.44,0.01186804287135601,220,0.0003,0.024190266927083332,-0.0013055534531304148,0.01776412242858593,0.0018507773,0.2883032560348511,0.2,-0.27398288963207357,
249,0.7564727663993835,24,4729,1179648,19.14,0.014761160127818584,230,0.0003,0.0244873046875,-0.0010650565727094849,0.017752267187218725,0.0027626615,0.2926357388496399,0.2,-0.24306177973436813,
259,0.7392147779464722,25,4733,1228800,18.56,0.01180503610521555,240,0.0003,0.020890299479166666,-0.0007146388562129384,0.0189686672478274,0.0025571727,0.288638174533844,0.2,-0.2314651160190503,
269,0.7494609355926514,26,4737,1277952,18.21,0.0059485407546162605,250,0.0003,0.020068359375,-0.0007991371408934356,0.01614304059233594,0.0038842165,0.3100186586380005,0.2,-0.22063995165905606,
