time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/n_updates
2048,1,956,88.0,0.023106045454545455,2,,,,,,,,,,
4096,2,665,82.83673469387755,0.010374142857142858,6,0.2,0.129833984375,0.0003,-0.005798711739771534,0.016992629,-1.936643649637699,-0.016553765162825584,-0.025844573974609375,0.0010278341756475128,10
6144,3,602,85.19444444444444,0.011342583333333335,10,0.2,0.0279296875,0.0003,-0.003224947904527653,0.006521168,-1.9442783571779727,0.003153442172333598,0.10870885848999023,3.917167604754468e-05,20
8192,4,581,92.816091954023,0.00938696551724138,14,0.2,0.077099609375,0.0003,-0.006494467076845467,0.011257244,-1.9352925956249236,-0.004712108056992292,0.0792730450630188,0.0003909068103212121,30
10240,5,571,93.87,0.01905555,17,0.2,0.048095703125,0.0003,-0.005007491956348531,0.006004303,-1.929821776971221,-0.032218169420957565,-0.9420472383499146,6.589750323087174e-05,40
12288,6,566,95.35,0.013972220000000002,21,0.2,0.147802734375,0.0003,-0.009450496967474464,0.011455433,-1.9179230011999606,-0.021544499322772026,0.05475354194641113,0.0023238993114546246,50
14336,7,546,96.12,0.02494444,26,0.2,0.097509765625,0.0003,-0.010741157618758735,0.010896118,-1.9095746397972106,-0.0032899545039981604,-0.6294032335281372,0.00011145884590177957,60
16384,8,541,97.78,0.027000000000000003,30,0.2,0.112744140625,0.0003,-0.00920134841289837,0.011866795,-1.8881223369389772,-0.013453913852572441,0.09928172826766968,0.0017543578169352259,70
18432,9,541,99.8,0.027000000000000003,34,0.2,0.07861328125,0.0003,-0.008348024139922926,0.008138506,-1.8740441169589759,0.0016754752723500133,0.0059070587158203125,0.0010689848922993406,80
20480,10,541,105.24,0.016111109999999998,37,0.2,0.110546875,0.0003,-0.009579521010164172,0.008875287,-1.8703581534326077,-0.016043011099100113,-2.8303093910217285,9.577242598766134e-05,90
