#{"t_start": 1770401962.5224586, "env_id": "DistShiftEnv-v0"}
r,l,t
0.0,252,0.330186
0.0,49,0.382764
0.0,169,0.561847
0.0,24,0.587323
0.0,60,0.65056
0.0,49,0.705534
0.0,58,0.768232
0.0,33,0.804465
0.0,12,0.817367
0.0,118,0.943705
0.0,10,0.954253
0.0,87,1.046928
0.0,42,1.091371
0.0,73,1.168217
0.0,21,1.190464
0.0,107,1.304129
0.0,219,1.551295
0.0,51,1.606138
0.0,110,1.722622
0.0,10,1.733586
0.0,111,1.850924
0.0,252,2.126686
0.0,22,2.150447
0.0,3,2.154051
0.0,180,4.250533
0.0,44,4.298229
0.0,10,4.309354
0.0,34,4.347453
0.0,48,4.399935
0.0,36,4.43913
0.0,6,4.445707
0.0,8,4.454641
0.0,71,4.53074
0.357143,180,4.724416
0.317857,191,4.926864
0.0,252,5.19732
0.0,252,5.468699
0.0,144,5.624099
0.0,13,5.638158
0.0,64,5.707226
0.0,37,5.746611
0.0,252,6.015587
0.0,32,6.050921
0.0,64,6.118623
0.0,23,6.143068
0.0,211,6.369467
0.0,48,8.308089
0.0,252,8.577766
0.0,4,8.582722
0.0,40,8.62584
0.0,252,8.905284
0.0,252,9.18811
0.0,252,9.465555
0.0,115,9.588258
0.0,179,9.779578
0.0,90,9.875642
0.460714,151,10.037405
0.0,2,10.039943
0.0,14,10.054752
0.0,10,10.065854
0.0,33,10.101517
0.0,41,10.145098
0.0,95,10.246984
0.0,26,10.275033
0.0,101,10.383316
0.0,24,10.409558
0.0,36,10.448051
0.0,38,12.3729
0.0,42,12.419192
0.0,56,12.480376
0.0,22,12.504588
0.0,62,12.57061
0.0,31,12.603414
0.0,13,12.61765
0.0,56,12.67666
0.0,13,12.690715
0.0,109,12.80742
0.0,80,12.891541
0.0,91,12.988178
0.0,28,13.017181
0.0,13,13.031735
0.0,23,13.056191
0.0,42,13.10252
0.0,19,13.123139
0.0,39,13.166654
0.0,30,13.197813
0.0,29,13.228963
0.0,209,13.452395
0.0,4,13.456971
0.0,6,13.463668
0.0,204,13.682622
0.335714,186,13.880972
0.0,118,14.015228
0.0,232,14.340264
0.0,11,14.352159
0.0,9,14.361899
0.0,12,14.374879
0.0,4,14.379435
0.0,94,14.48286
0.0,30,14.522166
0.0,12,14.535499
0.0,9,14.545689
0.0,4,14.550419
0.0,94,14.653039
0.0,58,16.604103
0.0,155,16.782203
0.0,47,16.833167
0.0,6,16.839984
0.0,155,17.006894
0.0,117,17.130801
0.0,227,17.372549
0.0,189,17.57227
0.0,3,17.575817
0.0,166,17.75393
0.0,252,18.021845
0.0,68,18.094365
0.0,133,18.237752
0.0,14,18.253034
0.0,65,18.322356
0.0,97,18.426162
0.0,252,18.690533
0.0,133,20.741905
0.0,6,20.74862
0.0,12,20.76158
0.0,6,20.768166
0.0,67,20.84006
0.0,6,20.846704
0.0,17,20.864535
0.0,132,21.005877
0.0,40,21.049024
0.0,41,21.093085
0.0,102,21.201061
0.310714,193,21.405943
0.0,8,21.414625
0.0,44,21.461896
0.0,252,21.73164
0.0,158,21.915617
0.0,115,22.039009
0.0,76,22.120308
0.0,27,22.149453
0.0,135,22.293632
0.0,8,22.302394
0.0,252,22.570861
0.0,49,22.624084
0.292857,198,22.835561
0.0,2,22.838093
0.0,166,24.905916
0.0,240,25.159788
0.0,248,25.425493
0.0,33,25.460142
0.0,4,25.464702
0.0,108,25.578961
0.0,7,25.586659
0.0,5,25.592493
0.0,43,25.63825
0.0,57,25.699219
0.0,30,25.730839
0.0,252,25.999409
0.0,136,26.145359
0.0,6,26.151964
0.0,11,26.16412
0.0,9,26.174217
0.0,138,26.323703
0.0,39,26.365154
0.0,45,26.413619
0.0,38,26.45445
0.0,252,26.724042
0.0,53,26.781064
0.0,252,28.941114
0.0,22,28.965515
0.0,36,29.004741
0.0,19,29.025406
0.0,38,29.06548
0.0,44,29.113206
0.0,27,29.142508
0.0,6,29.149452
0.0,252,29.448703
0.0,9,29.464655
0.0,31,29.499557
0.0,252,29.777931
0.0,7,29.786114
0.0,4,29.790923
0.0,217,30.02329
0.0,4,30.02786
0.0,106,30.142179
0.0,37,30.182803
0.335714,186,30.385769
0.0,130,30.524916
0.0,5,30.530454
0.0,9,30.540246
0.0,252,30.809998
0.0,22,30.834397
0.0,21,30.856847
0.0,2,30.859353
0.0,191,31.063215
0.0,3,31.066751
0.0,42,33.003024
0.0,2,33.005676
0.0,22,33.029812
0.0,54,33.088809
0.0,58,33.151471
0.0,3,33.155037
0.0,4,33.160106
0.0,4,33.164658
0.0,7,33.172381
0.0,252,33.442155
