time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/n_updates
2048,1,848,88.21739130434783,0.0,2,,,,,,,,,,
4096,2,619,97.85365853658537,0.0,6,0.2,0.0626953125,0.0003,-0.005822325762710534,0.009882457,-1.9408887699246407,0.0191968847066164,-3.1464195251464844,3.0277590470006997e-05,10
6144,3,569,104.12068965517241,0.0,10,0.2,0.04794921875,0.0003,-0.009469287982210518,0.009147659,-1.9353283241391182,-0.016328848898410797,-4.196385383605957,7.582049164938099e-05,20
8192,4,546,92.94186046511628,0.0,15,0.2,0.10869140625,0.0003,-0.011235529951227364,0.01188359,-1.9145350612699985,-0.008892803452908993,-4.15009069442749,5.1855432562319945e-05,30
10240,5,532,84.92,0.0,19,0.2,0.0955078125,0.0003,-0.008670200160850072,0.009364815,-1.8928096011281013,-0.03207344189286232,-8.076087951660156,7.335609964229662e-05,40
12288,6,523,72.58,0.0,23,0.2,0.106787109375,0.0003,-0.008634430133679417,0.01123738,-1.897231425344944,-0.025410257279872894,-4.169806480407715,4.830220103997362e-05,50
14336,7,518,59.85,0.0,27,0.2,0.143017578125,0.0003,-0.011740303486294578,0.011967359,-1.8745128713548183,0.008004006929695606,-8.670784950256348,3.9427893796073477e-05,60
16384,8,514,40.37,0.0,31,0.2,0.09677734375,0.0003,-0.010957984878041315,0.011000599,-1.8613722678273916,0.001692496589384973,-5.7553391456604,3.784113293647806e-05,70
18432,9,511,34.72,0.0,36,0.2,0.17978515625,0.0003,-0.018406517048424574,0.013637649,-1.7998205002397298,-0.054439857602119446,-10.495134353637695,8.367595309550779e-05,80
20480,10,509,21.62,0.0,40,0.2,0.1705078125,0.0003,-0.017454886544146574,0.014394302,-1.7578321874141694,-0.06251790374517441,-5.5142011642456055,6.675982560295779e-05,90
22528,11,506,14.45,0.0,44,0.2,0.14716796875,0.0003,-0.010499191223061644,0.018351162,-1.7106785416603087,-0.019361251965165138,-7.110703468322754,3.770649645105095e-05,100
24576,12,505,14.15,0.0,48,0.2,0.241845703125,0.0003,-0.0164190136740217,0.024535974,-1.6466251101344824,-0.06913195550441742,-21.23481559753418,6.686807788014448e-05,110
26624,13,503,13.88,0.0,52,0.2,0.159423828125,0.0003,-0.013590935400861781,0.014969976,-1.564948284998536,0.04950004443526268,-6.670787334442139,2.069787889240615e-05,120
28672,14,502,24.05,0.0,57,0.2,0.152734375,0.0003,-0.018596273216826376,0.027221698,-1.6176709722727538,0.014826587401330471,-9.540444374084473,3.448110818027317e-05,130
30720,15,501,25.22,0.0,61,0.2,0.143994140625,0.0003,-0.016878020013973583,0.012962217,-1.7088410541415215,0.014766253530979156,-5.804944038391113,7.293091239830573e-05,140
