time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/n_updates
2048,1,781,200.0,0.0,2,,,,,,,,,,
4096,2,572,200.0,0.0,7,0.2,0.1041015625,0.0003,-0.009104290998948272,0.0133723095,-1.934808060899377,-0.017072049900889397,-3.160111427307129,1.5008059344978619e-05,10
6144,3,522,200.0,0.0,11,0.2,0.06494140625,0.0003,-0.0040291714845807295,0.012054937,-1.9053284041583538,0.005252191796898842,-3.0937743186950684,1.970973578693247e-05,20
8192,4,493,200.0,0.0,16,0.2,0.04736328125,0.0003,-0.003233434434514493,0.012392655,-1.886142237856984,0.0052543566562235355,-2.439349889755249,1.4631750716631586e-05,30
10240,5,483,200.0,0.0,21,0.2,0.056884765625,0.0003,-0.004127786898607155,0.0120130945,-1.8722218118607998,0.0009303496335633099,-3.283353805541992,1.3972192080302648e-05,40
12288,6,474,200.0,0.0,25,0.2,0.053466796875,0.0003,-0.0032607261869998182,0.013321367,-1.9123330768197775,0.00513568427413702,-5.201535224914551,9.667314931505188e-06,50
14336,7,474,200.0,0.0,30,0.2,0.09814453125,0.0003,-0.0071465515808085914,0.015358112,-1.8923334449529647,-0.00687674805521965,-3.125152111053467,1.6693991515381867e-05,60
16384,8,470,200.0,0.0,34,0.2,0.05390625,0.0003,-0.0050468634639400985,0.011261608,-1.8627989746630191,0.021115737035870552,-5.160887241363525,4.594147860998987e-05,70
18432,9,469,200.0,0.0,39,0.2,0.0755859375,0.0003,-0.006704151502344757,0.011056192,-1.8673037078231574,-0.03212238848209381,-4.38273811340332,2.3537206353552164e-05,80
20480,10,466,200.0,0.0,43,0.2,0.061962890625,0.0003,-0.005297989627433708,0.008244984,-1.862970508262515,-0.017222080379724503,-4.916924953460693,7.87330917574991e-05,90
22528,11,464,200.0,0.0,48,0.2,0.102490234375,0.0003,-0.004452893249253975,0.009692317,-1.8609494406729936,-0.014760843478143215,-5.932942867279053,3.0838604141081304e-05,100
24576,12,459,200.0,0.0,53,0.2,0.083447265625,0.0003,-0.006916555533825886,0.009795697,-1.8599416334182024,-0.0010830938117578626,-2.9764864444732666,2.4582808441664385e-05,110
26624,13,457,200.0,0.0,58,0.2,0.121240234375,0.0003,-0.010115557820245157,0.009302271,-1.866292618960142,-0.038419459015131,-4.3976593017578125,1.7056901783973898e-05,120
28672,14,457,200.0,0.0,62,0.2,0.064453125,0.0003,-0.005262693836994003,0.0126850065,-1.8633112367242575,-0.001011425512842834,-3.0009379386901855,3.122368235182193e-05,130
30720,15,456,200.0,0.0,67,0.2,0.057958984375,0.0003,-0.004345826089411276,0.008924147,-1.881156823039055,-0.0018594465218484402,-10.221843719482422,5.7653443923300075e-05,140
32768,16,455,200.0,0.0,71,0.2,0.120458984375,0.0003,-0.011306827286171028,0.011705639,-1.864889283105731,-0.024292990565299988,-5.65732479095459,3.099808982938157e-05,150
34816,17,455,200.0,0.0,76,0.2,0.11796875,0.0003,-0.013973587269720155,0.01217544,-1.899012717977166,-0.050462063401937485,-3.9193944931030273,5.7523402762171824e-05,160
36864,18,450,200.0,0.0,81,0.2,0.120166015625,0.0003,-0.011819284992816393,0.012464063,-1.8861517403274775,-0.04013035073876381,-4.2797017097473145,6.431557387713838e-05,170
38912,19,450,200.0,0.0,86,0.2,0.080810546875,0.0003,-0.011355392093537375,0.008764254,-1.8912464398890734,-0.03655312955379486,-3.527602195739746,4.780730570246306e-05,180
40960,20,447,200.0,0.0,91,0.2,0.13798828125,0.0003,-0.016301883246342186,0.015292203,-1.8961606577038765,-0.03860720247030258,-3.442103385925293,7.155928885822504e-05,190
43008,21,447,200.0,0.0,96,0.2,0.153515625,0.0003,-0.01838563704950502,0.018870482,-1.874251726642251,-0.005245788022875786,-2.520296812057495,0.0001160175740892555,200
45056,22,447,200.0,0.0,100,0.2,0.157177734375,0.0003,-0.016282142426643987,0.016265552,-1.847794771194458,-0.011183003894984722,-3.0225162506103516,7.132950319146402e-05,210
47104,23,447,200.0,0.0,105,0.2,0.14033203125,0.0003,-0.01782215279963566,0.013734028,-1.8174717474728823,-0.050147660076618195,-1.467160701751709,5.3106249652046245e-05,220
49152,24,448,200.0,0.0,109,0.2,0.145654296875,0.0003,-0.015378376148510143,0.017883822,-1.8078053448349238,-0.02540844865143299,-5.981039047241211,6.468167434263705e-05,230
51200,25,448,200.0,0.0,114,0.2,0.157568359375,0.0003,-0.018127022455155385,0.014920225,-1.8256785672158002,-0.006819198373705149,-6.850210189819336,5.0634593378617865e-05,240
53248,26,449,200.0,0.0,118,0.2,0.17216796875,0.0003,-0.016125728098268156,0.013334747,-1.8310798194259406,-0.008360126055777073,-5.091249465942383,5.726746366292445e-05,250
55296,27,449,200.0,0.0,122,0.2,0.15693359375,0.0003,-0.021975012407347096,0.013484249,-1.809133855253458,-0.04263019934296608,-4.105564594268799,5.8658655177623586e-05,260
57344,28,449,200.0,0.0,127,0.2,0.1357421875,0.0003,-0.015581933167413808,0.014150855,-1.802894377335906,-0.033825334161520004,-2.2279629707336426,5.5561928519409776e-05,270
59392,29,449,200.0,0.0,131,0.2,0.1224609375,0.0003,-0.014114359182713088,0.012081001,-1.7925589878112078,-0.009238729253411293,-4.560646057128906,6.456747182710387e-05,280
61440,30,450,200.0,0.0,136,0.2,0.166259765625,0.0003,-0.019551915413467215,0.013389744,-1.8065315455198288,-0.02495848387479782,-3.567049980163574,6.070631298484841e-05,290
63488,31,449,200.0,0.0,141,0.2,0.143115234375,0.0003,-0.0161867864037049,0.0127919195,-1.78540401160717,-0.04773596674203873,-6.086330890655518,3.34161634469865e-05,300
65536,32,449,200.0,0.0,145,0.2,0.197314453125,0.0003,-0.02449024851521244,0.016376214,-1.7773015428334475,-0.0288798026740551,-4.958254814147949,6.15635429539907e-05,310
67584,33,449,200.0,0.0,150,0.2,0.129296875,0.0003,-0.01509042082252563,0.015715163,-1.7642920099198818,0.020071465522050858,-3.5511579513549805,0.00016473188027248397,320
69632,34,449,200.0,0.0,154,0.2,0.154345703125,0.0003,-0.018620973678480368,0.015226796,-1.7453756105154752,-0.03336714208126068,-3.5947813987731934,7.508112682330648e-05,330
71680,35,449,200.0,0.0,159,0.2,0.158984375,0.0003,-0.01956810767733259,0.017982733,-1.7460807330906392,-0.026120783761143684,-1.7110419273376465,9.456166083054995e-05,340
73728,36,448,200.0,0.0,164,0.2,0.17109375,0.0003,-0.01611737195344176,0.017506536,-1.7170065235346557,-0.008892291225492954,-4.086339950561523,7.245979415415604e-05,350
75776,37,448,200.0,0.0,169,0.2,0.185693359375,0.0003,-0.02168232875992544,0.01968625,-1.71543145775795,-0.030280698090791702,-4.949584007263184,5.8226267350391935e-05,360
77824,38,445,200.0,0.0,174,0.2,0.176611328125,0.0003,-0.016244961330812657,0.015920818,-1.6857502546161414,-0.02641325443983078,-1.7407593727111816,7.297856819263871e-05,370
79872,39,444,200.0,0.0,179,0.2,0.18056640625,0.0003,-0.020107508923683782,0.01849506,-1.683315334096551,-0.048036132007837296,-0.9912542104721069,0.0002313114073331235,380
81920,40,444,200.0,0.0,184,0.2,0.189404296875,0.0003,-0.024241828979575074,0.020818414,-1.641919206082821,-0.049214836210012436,-1.4864816665649414,7.132001173317803e-05,390
83968,41,444,200.0,0.0,188,0.2,0.20439453125,0.0003,-0.02094773782446282,0.018119415,-1.6370186425745488,-0.0435873344540596,-1.070624828338623,0.0001323063065910901,400
86016,42,445,200.0,0.0,192,0.2,0.208642578125,0.0003,-0.01824154572968837,0.01876711,-1.6053235098719596,-0.05619917809963226,-1.7824113368988037,8.928397174372549e-05,410
88064,43,446,200.0,0.0,197,0.2,0.17373046875,0.0003,-0.018131306271243375,0.017785609,-1.5534520979970694,-0.03475360944867134,-3.3832435607910156,0.00010020173601787974,420
90112,44,447,200.0,0.0,201,0.2,0.1392578125,0.0003,-0.015265687358623835,0.014761621,-1.524650591239333,0.013090508058667183,-0.6811040639877319,5.497791024708931e-05,430
92160,45,447,200.0,0.0,205,0.2,0.12021484375,0.0003,-0.013035537880205084,0.01259926,-1.508502947166562,0.06905526667833328,-2.6199018955230713,0.00010964270668978315,440
