time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/loss
2048,2,1006,1,25.151898734177216,0.0,,,,,,,,,,
4096,5,714,2,23.58,0.0,-4.163570404052734,-1.936745123937726,0.07724609375,10,0.0003,1.3856912596565963e-05,-0.009826882330526133,0.2,0.012289073,0.006992100737988949
6144,9,651,3,25.77,0.0,-6.4189982414245605,-1.9340191535651683,0.05029296875,20,0.0003,7.657722723664052e-06,-0.003962607644643868,0.2,0.012993199,0.019132664427161217
8192,13,623,4,29.86,0.0,-8.489044189453125,-1.9307354994118213,0.0845703125,30,0.0003,2.686520208357024e-05,-0.008460365557402838,0.2,0.012444811,-0.03959440439939499
10240,16,607,5,32.69,0.0,-12.954147338867188,-1.8994122076779605,0.16220703125,40,0.0003,2.3910328823717464e-05,-0.014424286456778646,0.2,0.027433041,-0.03399981930851936
12288,21,569,6,28.48,0.00479687,-4.081155776977539,-1.8964883666485548,0.062353515625,50,0.0003,1.952667810982689e-05,-0.005322547075047623,0.2,0.010376776,0.021980678662657738
14336,25,552,7,21.14,0.0,-0.08565318584442139,-1.901010090112686,0.139306640625,60,0.0003,0.0008912784477388414,-0.007452611556800548,0.2,0.014809126,-0.030372194945812225
16384,30,542,8,23.01,0.0,-2.1433017253875732,-1.8856264345347882,0.0884765625,70,0.0003,7.959613025150247e-05,-0.009939379178103992,0.2,0.010419277,0.022711288183927536
18432,34,541,9,29.54,0.00486719,-2.104799270629883,-1.8796499647200107,0.099853515625,80,0.0003,4.529577564937881e-05,-0.012358847566065378,0.2,0.010333535,-0.026298286393284798
20480,38,534,10,33.32,0.0,0.08253306150436401,-1.8976039677858352,0.104931640625,90,0.0003,0.0007694211684906805,-0.009581788157811388,0.2,0.013015009,-0.04128456488251686
22528,43,519,11,41.95,0.0,-0.346083402633667,-1.8874370858073235,0.208740234375,100,0.0003,0.000146977787301239,-0.02011260740691796,0.2,0.021031588,-0.028740761801600456
24576,47,513,12,51.7,0.0,-1.2598826885223389,-1.868864481151104,0.151123046875,110,0.0003,0.00011197590267215673,-0.017566219712898602,0.2,0.012452472,-0.03058875910937786
26624,51,512,13,61.49,0.014707030000000003,0.16226667165756226,-1.8733245976269246,0.159423828125,120,0.0003,8.620374684369381e-05,-0.018040357806603423,0.2,0.014168048,-0.031800527125597
28672,56,511,14,71.84,0.022070310000000003,0.10583275556564331,-1.8613050576299428,0.118994140625,130,0.0003,0.0025480792770849804,-0.010540019041218329,0.2,0.010317395,-0.01495283842086792
30720,61,502,15,74.37,0.02989062,0.11129754781723022,-1.8501075632870196,0.139453125,140,0.0003,0.0019803426921725987,-0.010710288243717513,0.2,0.016714517,0.022157825529575348
32768,66,494,16,67.83,0.0193125,0.01143801212310791,-1.8169317942112684,0.154296875,150,0.0003,0.0026843182192351376,-0.013867775993276155,0.2,0.015187582,-0.023604046553373337
34816,70,491,17,67.52,0.00782031,-1.4986722469329834,-1.8215717174112798,0.17685546875,160,0.0003,0.000142699547166103,-0.023318455091794022,0.2,0.023685284,-0.04356374964118004
36864,74,491,18,67.89,0.0,-0.5848684310913086,-1.803309017047286,0.169287109375,170,0.0003,0.00016472897411858866,-0.017588098703708966,0.2,0.014117589,-0.039568156003952026
38912,79,491,19,73.56,0.00296875,-0.5740914344787598,-1.7766004867851735,0.13291015625,180,0.0003,6.850320352214112e-05,-0.01843780684575904,0.2,0.013688395,-0.054176900535821915
40960,83,491,20,84.03,0.01013671,-0.10469770431518555,-1.7804011590778828,0.12333984375,190,0.0003,0.00042258340798753127,-0.015565717210120057,0.2,0.0129601285,0.0017155761597678065
43008,87,492,21,85.2,0.01013671,0.031858861446380615,-1.7558281138539313,0.18203125,200,0.0003,0.001038505681094648,-0.013188403430831386,0.2,0.014175136,-0.03404649719595909
45056,91,490,22,98.1,0.01598827,-4.783913612365723,-1.7250948514789344,0.228466796875,210,0.0003,0.00012523401244379784,-0.02524415147054242,0.2,0.021052059,-0.017483094707131386
47104,96,490,23,94.75,0.040449219999999994,0.029161453247070312,-1.7059174947440625,0.1525390625,220,0.0003,0.0010954471029435808,-0.011389883582887705,0.2,0.014132332,-0.02200939878821373
49152,99,491,24,99.31,0.0474961,0.22155171632766724,-1.6614960178732872,0.136962890625,230,0.0003,0.004170747875468806,-0.011072174487344455,0.2,0.011406772,-0.0013308057095855474
51200,103,492,25,99.53,0.047445329999999994,0.08339124917984009,-1.634699333831668,0.167236328125,240,0.0003,0.0022918047677194407,-0.014563601143890992,0.2,0.0158954,0.0027841655537486076
53248,107,493,26,104.05,0.05535158,0.24476128816604614,-1.65557621717453,0.20595703125,250,0.0003,0.0018565756306088588,-0.01933024487661896,0.2,0.012808634,-0.04753267765045166
55296,111,494,27,107.24,0.054050799999999996,0.3796030879020691,-1.6673304349184037,0.174169921875,260,0.0003,0.0013976144866319374,-0.015124205012398306,0.2,0.0150727695,0.026084063574671745
57344,115,495,28,108.53,0.06281640999999999,0.3908478617668152,-1.635429334267974,0.1392578125,270,0.0003,0.0009768540265213232,-0.014762385256472044,0.2,0.014385315,0.008160174824297428
59392,119,496,29,112.09,0.06705078,0.4678114652633667,-1.6615687385201454,0.18876953125,280,0.0003,0.002666303902060463,-0.015064907887426671,0.2,0.01797404,-0.02365037053823471
61440,123,496,30,107.98,0.09302343,0.3684212565422058,-1.6510137107223273,0.19931640625,290,0.0003,0.003278512016822788,-0.01702773873330443,0.2,0.01601731,-0.0016300957649946213
63488,127,497,31,109.12,0.1186289,0.42280662059783936,-1.5954652570188046,0.184716796875,300,0.0003,0.006057615529061877,-0.013200144024449401,0.2,0.018338965,0.020421750843524933
65536,131,498,32,101.89,0.15170311,0.33012741804122925,-1.5787658624351024,0.13564453125,310,0.0003,0.005050025577111228,-0.013629747938830405,0.2,0.014501593,-0.0279841348528862
67584,135,498,33,84.63,0.20785546,0.35774946212768555,-1.6110423523932695,0.200732421875,320,0.0003,0.007014150046961732,-0.019822910219227198,0.2,0.016323118,-0.03941202163696289
69632,139,498,34,73.32,0.26635937,0.46753793954849243,-1.5554150324314833,0.1490234375,330,0.0003,0.011781609960598871,-0.01232217783399392,0.2,0.0131705105,-0.028746478259563446
71680,143,498,35,58.56,0.30370312,0.4255240559577942,-1.5456795588135719,0.22021484375,340,0.0003,0.015911642066203057,-0.020992116048000754,0.2,0.018571727,0.0052909282967448235
73728,147,498,36,62.84,0.34540624999999997,0.48343056440353394,-1.502042082324624,0.23994140625,350,0.0003,0.014999162904859985,-0.023189587748493067,0.2,0.020025931,0.013277768157422543
75776,151,498,37,66.04,0.35818361000000004,0.3901330232620239,-1.4927688620984554,0.198974609375,360,0.0003,0.014709453452087472,-0.020308835559990256,0.2,0.017616116,-0.0029464848339557648
77824,156,498,38,67.69,0.45540236000000006,0.49684423208236694,-1.4815020967274903,0.160009765625,370,0.0003,0.01374507821019506,-0.013661506904463749,0.2,0.0145336855,0.005820630583912134
79872,159,499,39,50.88,0.46921873000000003,0.6102631092071533,-1.426039882749319,0.212060546875,380,0.0003,0.013101509884290864,-0.020808562096499374,0.2,0.015815735,-0.011887004598975182
81920,164,498,40,46.66,0.49057419,0.5692492127418518,-1.3705424964427948,0.169189453125,390,0.0003,0.017587986728176474,-0.014882514165947214,0.2,0.015928846,-0.05587734282016754
83968,168,499,41,49.0,0.51788674,0.511201798915863,-1.3534410446882248,0.197021484375,400,0.0003,0.019503768131835388,-0.021744754906103482,0.2,0.016530436,-0.049284566193819046
