#{"t_start": 1770402793.3652823, "env_id": "LockedRoomEnv-v0"}
r,l,t
0.0,150,0.496743
0.0,61,0.567636
0.0,150,0.735877
0.0,150,0.906931
0.0,150,1.081273
0.0,51,1.140031
0.0,150,1.30752
0.0,24,1.3359
0.0,150,1.50467
0.0,150,1.673083
0.0,96,1.780945
0.0,150,1.949718
0.0,150,2.11631
0.0,150,2.298772
0.0,33,2.338705
0.0,18,2.360288
0.0,150,2.530806
0.0,150,4.613008
0.0,150,4.782106
0.0,150,4.949607
0.0,95,5.056134
0.0,150,5.225461
0.0,150,5.394038
0.0,150,5.571374
0.0,147,5.736865
0.0,142,5.894859
0.0,150,6.061036
0.0,150,6.226054
0.0,60,6.294496
0.0,22,6.319821
0.0,150,6.488831
0.0,150,6.655081
0.0,50,6.711871
0.0,103,6.827287
0.0,150,8.931663
0.0,115,9.064809
0.0,150,9.234276
0.0,150,9.405053
0.0,150,9.575447
0.0,150,9.744913
0.0,129,9.890729
0.0,150,10.059349
0.0,31,10.095767
0.0,43,10.144403
0.0,29,10.177611
0.0,150,10.348327
0.0,34,10.387432
0.0,150,10.558117
0.0,150,10.738813
0.0,150,10.907794
0.0,150,11.077126
0.0,150,13.179709
0.0,150,13.351431
0.0,28,13.387645
0.0,150,13.557801
0.0,143,13.719757
0.0,150,13.888283
0.0,150,14.056621
0.0,150,14.226706
0.0,150,14.397869
0.0,150,14.568771
0.0,79,14.658594
0.0,124,14.799798
0.0,150,14.968343
0.0,150,15.135911
0.0,62,15.206326
0.0,150,15.376444
0.0,150,17.486142
0.0,150,17.660865
0.0,102,17.783191
0.0,96,17.891806
0.0,67,17.969829
0.0,150,18.145097
0.0,23,18.171912
0.0,150,18.34284
0.0,60,18.417081
0.0,150,18.58922
0.0,150,18.759345
0.0,150,18.928248
0.0,150,19.098711
0.0,150,19.267102
0.0,150,19.437029
0.0,150,19.606121
0.0,150,21.707194
0.0,150,21.877304
0.0,150,22.046924
0.0,150,22.217467
0.0,150,22.386006
0.0,150,22.567869
0.0,79,22.661408
0.0,150,22.902555
0.0,21,22.927963
0.0,130,23.076103
0.0,150,23.251907
0.0,41,23.299631
0.0,150,23.47689
0.0,150,23.646456
0.0,150,23.814806
0.0,150,23.982611
0.0,150,26.091946
0.0,141,26.252404
0.0,150,26.424113
0.0,150,26.595213
0.0,150,26.763861
0.0,150,26.932279
0.0,42,26.980929
0.0,150,27.149647
0.0,150,27.317658
0.0,150,27.487495
0.0,150,27.672441
0.0,150,27.847132
0.0,150,28.021883
0.0,150,28.192781
0.0,150,30.283199
0.0,150,30.45393
0.0,72,30.536104
0.0,150,30.706744
0.0,150,30.876434
0.0,150,31.06912
