time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/n_updates
2048,1,838,200.0,0.0,2,,,,,,,,,,
4096,2,608,200.0,0.0,6,0.2,0.06904296875,0.0003,-0.007819172322342638,0.010704443,-1.9371320612728595,-0.02438207156956196,-2.935353994369507,4.4127160077778174e-05,10
6144,3,558,200.0,0.0,11,0.2,0.05693359375,0.0003,-0.006947905261768028,0.01048737,-1.9418598402291536,0.008759954944252968,-3.914412021636963,1.0583410922748726e-05,20
8192,4,535,200.0,0.0,15,0.2,0.1005859375,0.0003,-0.006485444885038305,0.013723208,-1.9248749133199454,-0.01692667417228222,-3.0232276916503906,2.2271660563433214e-05,30
10240,5,521,200.0,0.0,19,0.2,0.077685546875,0.0003,-0.006170983017364051,0.012184754,-1.9092906825244427,-0.006541027687489986,-2.0987300872802734,2.3781793285593266e-05,40
12288,6,513,200.0,0.0,23,0.2,0.139697265625,0.0003,-0.011089733654807787,0.011765359,-1.8923919923603534,-0.011357704177498817,-2.81268048286438,4.212957190645739e-05,50
14336,7,508,200.0,0.0,28,0.2,0.09072265625,0.0003,-0.006786805525189265,0.00858417,-1.8429819531738758,-0.023905310779809952,-6.019793510437012,3.2619869801919774e-05,60
16384,8,504,198.8658536585366,0.0,32,0.2,0.1560546875,0.0003,-0.013910094309539999,0.017233158,-1.8491505403071642,-0.0404789000749588,-6.927385330200195,3.1578328471937314e-05,70
18432,9,501,198.9891304347826,0.0,36,0.2,0.0947265625,0.0003,-0.008073539000179153,0.011705854,-1.8631605349481106,0.002885388908907771,-4.74296760559082,4.222948047356567e-05,80
20480,10,498,199.07,0.0,41,0.2,0.13359375,0.0003,-0.011160131839278619,0.012335724,-1.8304434195160866,-0.01660972833633423,-2.1361806392669678,4.663512905267453e-05,90
22528,11,496,199.07,0.0,45,0.2,0.13505859375,0.0003,-0.010586674364458305,0.012552841,-1.8016317270696163,-0.02404903620481491,-3.662715435028076,6.552184906354342e-05,100
24576,12,493,199.07,0.0,49,0.2,0.17978515625,0.0003,-0.011189023878250737,0.01703599,-1.7956414747983218,0.005037460941821337,-4.127198219299316,3.906861453799593e-05,110
26624,13,491,199.07,0.0,54,0.2,0.1494140625,0.0003,-0.014576988232147415,0.013810266,-1.7905759822577239,-0.017448725178837776,-2.2336597442626953,4.2832722999719405e-05,120
28672,14,490,199.07,0.0,58,0.2,0.11279296875,0.0003,-0.014257448478019796,0.011260826,-1.7487781628966332,-0.004974011331796646,-2.550112724304199,3.093454420195485e-05,130
30720,15,489,199.07,0.0,62,0.2,0.175537109375,0.0003,-0.013334508848492988,0.01799538,-1.6912275537848473,0.006757350638508797,-2.4040424823760986,0.00015638651940150795,140
32768,16,488,199.07,0.0,67,0.2,0.129541015625,0.0003,-0.013806788233341648,0.012369571,-1.6616689685732127,0.046171240508556366,-1.2902107238769531,5.4893266076305734e-05,150
34816,17,488,200.0,0.0,71,0.2,0.1306640625,0.0003,-0.012111723532143515,0.012062112,-1.6724975354969502,0.000581558735575527,-2.2476277351379395,3.2612626881700635e-05,160
36864,18,487,200.0,0.0,75,0.2,0.183544921875,0.0003,-0.015357695432612672,0.015428392,-1.6692435469478368,-0.047428928315639496,-2.935145139694214,3.548944440581181e-05,170
38912,19,486,200.0,0.0,79,0.2,0.131005859375,0.0003,-0.012872087863797788,0.014330786,-1.6593292515724898,-0.030574124306440353,-1.296727180480957,4.354156849331048e-05,180
40960,20,486,199.87,0.0,84,0.2,0.13583984375,0.0003,-0.01363255479518557,0.013297224,-1.6377952288836242,-0.005025183316320181,-3.9245853424072266,7.705659618864046e-05,190
