#{"t_start": 1770403212.6500845, "env_id": "MultiRoomEnv-v0"}
r,l,t
0.0,60,0.253467
0.0,60,0.332533
0.0,60,0.409606
0.0,60,0.481006
0.0,60,0.551129
0.0,60,0.61757
0.0,60,0.685835
0.0,60,0.753738
0.0,60,0.824282
0.0,60,0.893868
0.0,60,0.961037
0.0,60,1.027282
0.0,60,1.094626
0.0,60,1.162067
0.0,60,1.228742
0.0,60,1.295583
0.0,60,1.362307
0.0,60,1.429426
0.0,60,1.495381
0.0,60,1.561841
0.0,60,1.628854
0.0,60,1.696376
0.0,60,1.763166
0.0,60,1.830546
0.0,60,1.897814
0.0,60,1.966782
0.0,60,2.034525
0.0,60,2.100737
0.0,60,2.168267
0.0,60,2.236142
0.0,60,2.303359
0.0,60,2.370224
0.0,60,2.437529
0.0,60,2.503274
0.0,60,4.519058
0.0,60,4.586932
0.0,60,4.655239
0.0,60,4.724344
0.0,60,4.792629
0.0,60,4.86158
0.0,60,4.928015
0.0,60,4.99585
0.0,60,5.062754
0.0,60,5.132942
0.0,60,5.205503
0.0,60,5.288929
0.0,60,5.358952
0.0,60,5.433029
0.0,60,5.504938
0.0,60,5.57384
0.0,60,5.642003
0.0,60,5.709406
0.0,60,5.776968
0.0,60,5.848876
0.0,60,5.917026
0.0,60,5.986007
0.0,60,6.053675
0.0,60,6.121975
0.0,60,6.190346
0.0,60,6.258717
0.0,60,6.326134
0.0,60,6.394144
0.0,60,6.46312
0.0,60,6.531508
0.0,60,6.598659
0.0,60,6.667004
0.0,60,6.734141
0.0,60,6.802755
0.0,60,8.801609
0.0,60,8.87206
0.0,60,8.946196
0.0,60,9.016008
0.0,60,9.087111
0.0,60,9.162498
0.0,60,9.230686
0.0,60,9.298129
0.0,60,9.36616
0.0,60,9.434397
0.0,60,9.502642
0.0,60,9.570503
0.0,60,9.637691
0.0,60,9.706605
0.0,60,9.773098
0.0,60,9.841089
0.0,60,9.907739
0.0,60,9.974852
0.0,60,10.041144
0.0,60,10.10829
0.0,60,10.176891
0.0,60,10.244622
0.0,60,10.315
0.0,60,10.38771
0.0,60,10.4568
0.0,60,10.523161
0.0,60,10.594018
0.0,60,10.662494
0.0,60,10.729189
