time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
2048,0.0,2,863,60.0,1,,,,,,,,,,
4096,0.0,6,613,60.0,2,-0.02122853510081768,-1.936467305198312,-0.0073810003028484065,0.013595327,10,0.074365234375,-3.7196831703186035,2.433011984805944e-05,0.2,0.0003
6144,0.0,10,560,60.0,3,-0.005314084701240063,-1.9387512784451246,-0.006015544963156571,0.008788366,20,0.047607421875,-2.9294257164001465,2.297034461449243e-05,0.2,0.0003
8192,0.0,15,533,60.0,4,0.003864486701786518,-1.9387652970850469,-0.008285471083945594,0.012506759,30,0.09326171875,-3.9909706115722656,2.1676835069683874e-05,0.2,0.0003
10240,0.0,19,518,60.0,5,-0.03317435458302498,-1.9284335412085056,-0.00782613581577607,0.010740794,40,0.087451171875,-4.521106719970703,2.8344777260258524e-05,0.2,0.0003
12288,0.0,24,509,60.0,6,-0.029798246920108795,-1.9170624937862157,-0.017462660401361064,0.020234242,50,0.16044921875,-2.4545881748199463,2.3710855336389615e-05,0.2,0.0003
14336,0.0,28,499,60.0,7,-0.03938663750886917,-1.890387251600623,-0.017332151389564388,0.012689689,60,0.15576171875,-3.069302558898926,2.9197599130270645e-05,0.2,0.0003
16384,0.0,33,492,60.0,8,-0.04956535995006561,-1.8786185540258884,-0.015467661515867804,0.019401819,70,0.10419921875,-3.2934436798095703,2.9016265439452128e-05,0.2,0.0003
18432,0.0,37,490,60.0,9,-0.046866852790117264,-1.866052496060729,-0.0176177640343667,0.014637519,80,0.162451171875,-1.3160743713378906,3.269358889923524e-05,0.2,0.0003
20480,0.0,41,489,60.0,10,0.014171449467539787,-1.8372501984238625,-0.011427344246476423,0.013264124,90,0.15869140625,-4.768374443054199,2.932287481911544e-05,0.2,0.0003
22528,0.0,46,488,60.0,11,-0.03315924480557442,-1.8225812550634146,-0.011901418568595546,0.014903482,100,0.16162109375,-1.0801928043365479,3.923741413984772e-05,0.2,0.0003
24576,0.0,50,487,60.0,12,-0.039018891751766205,-1.8085152350366116,-0.017019263553083874,0.01630907,110,0.22490234375,-1.0447354316711426,3.0514344791754412e-05,0.2,0.0003
26624,0.0,54,487,60.0,13,-0.0581490658223629,-1.7631624858826398,-0.012907286403060426,0.017716793,120,0.141943359375,-3.343338966369629,2.195626186392019e-05,0.2,0.0003
28672,0.0,58,486,60.0,14,-0.021220579743385315,-1.7241267666220665,-0.014802531674649799,0.016216913,130,0.1494140625,-3.374602794647217,4.0921045786035394e-05,0.2,0.0003
30720,0.0,63,485,60.0,15,0.02265498787164688,-1.644727161154151,-0.014998559049854521,0.017003454,140,0.180029296875,-3.158764362335205,2.821027661212838e-05,0.2,0.0003
32768,0.0,67,483,60.0,16,0.0009783644927665591,-1.6113222397863864,-0.01097726607840741,0.011174962,150,0.1173828125,-0.9182455539703369,3.1651136927735025e-05,0.2,0.0003
34816,0.0,72,479,60.0,17,-0.032458145171403885,-1.615824219211936,-0.017920239333761856,0.022081468,160,0.20087890625,-2.9986038208007812,4.109787742976323e-05,0.2,0.0003
36864,0.0,77,476,60.0,18,-0.022213343530893326,-1.5606691539287567,-0.018083093496534274,0.014896212,170,0.188134765625,-1.0197453498840332,0.0001079568857932145,0.2,0.0003
38912,0.0,81,474,60.0,19,-0.03892996907234192,-1.591998452693224,-0.014819774671923368,0.015224368,180,0.145458984375,-1.5754446983337402,6.410934713017014e-05,0.2,0.0003
40960,0.0,86,472,60.0,20,-0.0242056492716074,-1.5982324242591859,-0.008992651329754154,0.012539709,190,0.110595703125,-2.577430248260498,4.071417717455006e-05,0.2,0.0003
43008,0.0,91,472,60.0,21,-0.04543118551373482,-1.5466688208281993,-0.015940705219691154,0.01793065,200,0.17265625,-1.1175227165222168,3.0002781440430226e-05,0.2,0.0003
45056,0.0,95,471,60.0,22,-0.035363614559173584,-1.5399520136415958,-0.015610813845705706,0.015613956,210,0.146142578125,-1.530003309249878,3.5256665088923e-05,0.2,0.0003
47104,0.0,99,471,60.0,23,-0.03889651596546173,-1.5325509041547776,-0.01636635818067589,0.02061164,220,0.1787109375,-1.7972173690795898,5.379278275086108e-05,0.2,0.0003
49152,0.0,104,471,60.0,24,-0.00865914486348629,-1.5465701121836901,-0.014407214353559539,0.016521793,230,0.168310546875,-2.184286117553711,5.382394577964078e-05,0.2,0.0003
51200,0.0,108,470,60.0,25,0.02483159676194191,-1.4985325708985329,-0.00936411390430294,0.010953029,240,0.099462890625,-0.5629993677139282,8.785606121932687e-05,0.2,0.0003
53248,0.0,113,469,60.0,26,-0.03815888985991478,-1.4778673350811005,-0.022026818580343388,0.013805393,250,0.1265625,-2.2654690742492676,3.8917188825848824e-05,0.2,0.0003
