time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate
2048,0.07786842105263159,2,833,52.23684210526316,1,,,,,,,,,,
4096,0.07168493150684932,6,597,55.28767123287671,2,0.02445876970887184,-1.9417400814592838,-0.004844477860024199,0.0044846367,10,0.042138671875,-0.023867487907409668,0.005008908879972296,0.2,0.0003
6144,0.10761,11,549,57.9,3,-0.019944041967391968,-1.9313300795853139,-0.013045052183588268,0.009539814,20,0.10556640625,0.1848759651184082,0.003202229288217495,0.2,0.0003
8192,0.20026000000000002,15,528,55.81,4,-0.06002555787563324,-1.9012746419757605,-0.0178528467346041,0.0150952125,30,0.1927734375,0.18867582082748413,0.009850847075358615,0.2,0.0003
10240,0.40686,19,516,44.44,5,-0.02263728529214859,-1.8466409500688314,-0.023591432702960446,0.01456101,40,0.235498046875,0.32488852739334106,0.01754889433796052,0.2,0.0003
12288,0.6386999999999999,24,508,31.88,6,-0.01988716796040535,-1.7811200238764286,-0.028785218967823312,0.014180868,50,0.238623046875,0.2687331438064575,0.03251850832020864,0.2,0.0003
14336,0.6657600000000001,28,502,22.89,7,-0.018753739073872566,-1.694240465015173,-0.029477650034823454,0.014449956,60,0.2603515625,0.37736040353775024,0.025759605632629246,0.2,0.0003
16384,0.73835,32,497,18.24,8,0.006696190685033798,-1.5929896015673877,-0.01997424405126367,0.014615046,70,0.21455078125,0.29712384939193726,0.03114377717138268,0.2,0.0003
18432,0.8204099999999999,37,494,15.89,9,-0.04686484485864639,-1.480472294613719,-0.0283878375106724,0.017584883,80,0.27509765625,0.19761502742767334,0.02957571278384421,0.2,0.0003
20480,0.85092,41,492,12.6,10,-0.0016969963908195496,-1.2937606036663056,-0.01981248700321885,0.017632183,90,0.2259765625,0.2562456727027893,0.021554041755734943,0.2,0.0003
22528,0.86335,45,490,12.03,11,-0.03386319428682327,-1.109635229036212,-0.020658133942924907,0.017537095,100,0.2419921875,0.09898555278778076,0.018207793461624534,0.2,0.0003
