time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
2048,1,957,0.025277766666666666,2,66.66666666666667,,,,,,,,,,
4096,2,633,0.019444444444444445,6,64.9047619047619,-0.04526937007904053,0.0019856128803496633,-0.0002518663262890186,0.0,0.0003,-1.9458572063595057,0.2,10,0.0003659346,0.0029374633450061083
6144,3,586,0.016174770833333334,10,63.9375,-0.6048409938812256,0.0005671367292052309,-0.008950457453465788,0.07041015625,0.0003,-1.9386320311576128,0.2,20,0.01078194,-0.011245861649513245
8192,4,570,0.02052778,14,73.75,0.25332653522491455,0.0003937382292292568,-0.008967314315668773,0.05947265625,0.0003,-1.930264014005661,0.2,30,0.008144364,-0.009962414391338825
10240,5,559,0.022972230000000003,18,78.11,-0.05046439170837402,0.001130957434679658,-0.011459942102374044,0.111962890625,0.0003,-1.9146195836365223,0.2,40,0.010150327,-0.010665745474398136
12288,6,537,0.019388890000000002,22,83.94,0.14945858716964722,0.0019735044212666254,-0.0104057381147868,0.121044921875,0.0003,-1.902690699696541,0.2,50,0.011250052,-0.006072446703910828
14336,7,533,0.01611111,26,86.58,0.042372047901153564,0.00041747200398276616,-0.009344070512452163,0.103662109375,0.0003,-1.8869293060153722,0.2,60,0.012073573,-0.027105895802378654
16384,8,532,0.02061111,30,96.19,0.07617312669754028,0.00025989184202899194,-0.012050268190796487,0.120068359375,0.0003,-1.870099490135908,0.2,70,0.010986089,-0.02809181623160839
18432,9,533,0.012833329999999999,34,86.15,0.11127924919128418,0.00045046850170820106,-0.013017769021098502,0.131396484375,0.0003,-1.8475763421505689,0.2,80,0.011987884,-0.03492124751210213
20480,10,532,0.01405556,38,91.2,0.14450877904891968,0.002155527280046954,-0.01030628066509962,0.134228515625,0.0003,-1.8271364782005548,0.2,90,0.012935724,0.012603853829205036
22528,11,532,0.01883334,42,94.54,-0.7242366075515747,0.0003575079186248331,-0.021117823127133305,0.158642578125,0.0003,-1.7941890150308608,0.2,100,0.015055519,-0.010376124642789364
24576,12,532,0.04238889999999999,46,99.18,0.03560018539428711,0.0008751623251100682,-0.008422128092934144,0.11318359375,0.0003,-1.7596636381000281,0.2,110,0.012575146,-0.02885015681385994
26624,13,531,0.05894445,50,98.73,0.08096820116043091,0.00489503763792527,-0.008531012882303911,0.127392578125,0.0003,-1.7599633868783713,0.2,120,0.011984892,-0.030227847397327423
28672,14,530,0.06541667,54,108.68,0.22898387908935547,0.003644776018063567,-0.0134144240662863,0.131298828125,0.0003,-1.7556174326688052,0.2,130,0.009655539,-0.0073937913402915
30720,15,523,0.07725,58,111.9,0.1296185851097107,0.001781530732387182,-0.016456109019054567,0.223291015625,0.0003,-1.7830644354224205,0.2,140,0.019078258,-0.026862919330596924
32768,16,522,0.08358332999999998,62,118.22,0.13281738758087158,0.002016773510240455,-0.01335292976218625,0.15625,0.0003,-1.7423200342804193,0.2,150,0.012864072,0.007861834019422531
34816,17,523,0.10830553999999999,66,115.75,0.07319068908691406,0.0030537076036125654,-0.012945052933355327,0.1751953125,0.0003,-1.7275701262056828,0.2,160,0.015428757,-0.008592820726335049
36864,18,524,0.09941666000000002,70,122.32,0.15503418445587158,0.004098227510439756,-0.014074916597746779,0.13505859375,0.0003,-1.7122380010783673,0.2,170,0.012434927,-0.025328252464532852
38912,19,524,0.11452777000000001,74,126.02,0.30097460746765137,0.0035609512860901305,-0.013650328852236271,0.159521484375,0.0003,-1.7115570083260536,0.2,180,0.013138646,-0.011038682423532009
40960,20,524,0.12666666,78,123.8,0.3423615097999573,0.004883462466204946,-0.012493408412410645,0.148486328125,0.0003,-1.6939667917788028,0.2,190,0.013547607,-0.02394929528236389
43008,21,524,0.15158334,81,123.13,0.14028429985046387,0.004765478170156712,-0.015939791333221365,0.16845703125,0.0003,-1.6634195826947689,0.2,200,0.01653399,-0.0152768949046731
45056,22,523,0.15636112000000002,85,123.56,0.2804712653160095,0.005953874912302126,-0.011879630545445252,0.149072265625,0.0003,-1.6247860506176948,0.2,210,0.012106786,-0.013208670541644096
47104,23,523,0.1352778,89,126.41,0.18836426734924316,0.0029980443070598993,-0.013774690419086254,0.166748046875,0.0003,-1.614432643353939,0.2,220,0.015830975,-0.044154778122901917
49152,24,523,0.15294445999999998,93,124.92,-0.2329801321029663,0.0005056660507307242,-0.013672746717202245,0.119482421875,0.0003,-1.647855705022812,0.2,230,0.013122438,-0.027533043175935745
