time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
2048,1,873,0.026360523809523813,2,93.19047619047619,,,,,,,,,,
4096,2,614,0.029006951219512193,6,95.2439024390244,-0.030048012733459473,0.0009009302678634867,-0.004387893492094008,0.060791015625,0.0003,-1.9400753755122424,0.2,10,0.012260323,0.01683097705245018
6144,3,564,0.030045333333333334,10,94.76190476190476,0.12666350603103638,0.0015388364923524024,-0.0031098326333449224,0.09111328125,0.0003,-1.913041051849723,0.2,20,0.011516874,-0.0078016603365540504
8192,4,542,0.02396020253164557,15,101.39240506329114,0.2090436816215515,0.0020249146512014704,-0.0063723716906679325,0.101806640625,0.0003,-1.909521447122097,0.2,30,0.012353144,-0.019093049690127373
10240,5,528,0.022273408602150536,19,109.84946236559139,-3.5842337608337402,0.00014996692932527366,-0.004741684492910281,0.0619140625,0.0003,-1.8996860578656196,0.2,40,0.010292096,-0.003601060016080737
12288,6,521,0.02071427,23,112.73,0.21813082695007324,0.0002036355308007387,-0.006731874463002896,0.09521484375,0.0003,-1.8669235728681088,0.2,50,0.009789547,-0.02960999310016632
14336,7,517,0.01517856,27,117.31,-1.3475441932678223,0.00011357049164644195,-0.008459132469579345,0.11669921875,0.0003,-1.8556625925004482,0.2,60,0.010034053,-0.041445814073085785
16384,8,514,0.011178559999999999,31,128.34,0.44341951608657837,0.00012266174056208,-0.006609661084075924,0.09482421875,0.0003,-1.855177816748619,0.2,70,0.0077435207,0.0037978291511535645
18432,9,511,0.01228571,36,137.18,-0.9108978509902954,0.00013609985301172857,-0.015830981729959604,0.162548828125,0.0003,-1.8704420253634453,0.2,80,0.014097227,-0.03504590690135956
20480,10,509,0.03446428000000001,40,145.02,0.1883665919303894,0.0013684130182809895,-0.006010674227582058,0.08876953125,0.0003,-1.8480406627058983,0.2,90,0.006854384,-5.1434850320219994e-05
22528,11,506,0.06375,44,147.02,0.347045361995697,0.0026490948170248886,-0.012193371303146705,0.173779296875,0.0003,-1.8343642562627793,0.2,100,0.015025592,-0.017850469797849655
24576,12,499,0.11310716,49,138.05,0.3768913149833679,0.004086172530514886,-0.01526562059589196,0.181103515625,0.0003,-1.8240995533764361,0.2,110,0.014702251,-0.02669190615415573
26624,13,491,0.17478574,54,139.68,0.38927072286605835,0.00833260973522556,-0.010838949096796568,0.15029296875,0.0003,-1.7881546836346387,0.2,120,0.012312544,-0.010081853717565536
28672,14,488,0.24907144000000003,58,131.36,0.34417855739593506,0.00952877078234451,-0.011859682985232212,0.13984375,0.0003,-1.7745848894119263,0.2,130,0.012850979,-0.015530942939221859
30720,15,484,0.33714284,63,117.53,0.5240011215209961,0.00950279249518644,-0.01036666196596343,0.126953125,0.0003,-1.7247183468192815,0.2,140,0.012958713,0.035552818328142166
32768,16,482,0.43960711,67,103.35,0.49000388383865356,0.01238325104204705,-0.013120476166659501,0.16015625,0.0003,-1.669357832148671,0.2,150,0.017472561,0.019631002098321915
34816,17,481,0.55582136,72,91.58,0.5387935638427734,0.011826349148759619,-0.011773754592286422,0.166748046875,0.0003,-1.5923043143004179,0.2,160,0.012521557,-0.030015109106898308
36864,18,481,0.58860709,76,85.39,0.4659675359725952,0.014183720669825562,-0.011786180407216306,0.16220703125,0.0003,-1.5252512894570827,0.2,170,0.01256215,0.019139623269438744
38912,19,479,0.6804285400000001,81,72.99,0.30453771352767944,0.01468266520241741,-0.010638216444931459,0.15849609375,0.0003,-1.4886958535760642,0.2,180,0.013801798,-0.013000238686800003
40960,20,478,0.74339287,85,61.93,0.4540477395057678,0.014103380298183765,-0.009351643084664829,0.169970703125,0.0003,-1.3604043941944837,0.2,190,0.014020562,-0.004420470912009478
43008,21,476,0.79342859,90,53.17,0.5169030427932739,0.010629278793931007,-0.009961838868912309,0.167138671875,0.0003,-1.2946289788931609,0.2,200,0.012764598,-0.01251941081136465
