#{"t_start": 1771499976.4899166, "env_id": "None"}
r,l,t
0.0,13,0.564554
0.0,24,0.61692
0.0,25,0.670472
0.0,95,0.742386
0.0,72,0.826582
0.0,251,1.079406
0.0,312,1.213373
0.0,435,1.479941
0.0,447,1.505968
0.0,161,1.847249
0.0,533,1.889888
0.0,785,2.879566
0.0,755,3.445119
0.0,28,3.504994
0.0,782,3.544671
0.0,78,3.709376
0.0,1534,3.805882
0.0,468,3.87372
0.2944,1568,3.880506
0.0,88,3.898039
0.0,45,3.995658
0.0,418,4.761091
0.0,2000,4.799629
0.0,2000,4.799642
0.0,2000,4.799647
0.0,2000,4.799651
0.0,2000,4.799655
0.0,2000,4.799659
0.0,2000,4.799662
0.0,2000,4.799665
0.0,2000,4.799669
0.0,2000,4.799672
0.0,2000,4.799675
0.0,2000,4.79968
0.0,2000,4.799683
0.0,2000,4.799686
0.0,2000,4.79969
0.0,2000,4.799693
0.0,85,10.758186
0.0,465,10.76048
0.0,2000,10.86218
0.0,55,10.877585
0.0,146,10.887805
0.0,17,10.897921
0.0,3,10.904294
0.0,23,10.952107
0.0,2000,11.107047
0.0,2000,11.483899
0.0,1088,11.575952
0.0,417,11.753588
0.0,401,12.605933
0.0,1063,13.105465
0.0,911,13.40278
0.0,1186,13.596771
0.0,2000,13.801365
0.0,2000,13.874548
0.0,1681,14.111024
0.0,1004,14.70998
0.0,2000,14.741032
0.0,2000,14.777712
0.0,2000,14.777724
0.0,2000,14.777729
0.0,2000,14.777734
0.0,2000,14.777737
0.0,2000,14.777741
0.0,2000,14.777747
0.0,2000,14.77775
0.0,2000,14.777754
0.0,2000,14.777757
0.0,2000,14.777761
0.0,2000,14.777764
0.0,2000,14.777767
0.0,2000,14.953088
0.0,2000,20.909108
0.0,16,20.941722
0.0,60,21.066781
0.0,419,21.376508
0.0,872,21.385066
0.0,2000,21.53576
0.0,613,21.75595
0.0,788,22.185944
0.0,679,22.797872
0.49375,1125,22.880118
0.0,2000,23.044009
0.0,806,23.052941
0.0,728,23.26187
0.0,2000,23.33794
0.0,2000,23.521829
0.0,2000,23.786229
0.0,2000,24.015625
0.0,649,24.126467
0.12205,1951,24.58075
0.0,2000,24.682741
0.0,2000,24.682753
0.0,2000,24.682759
0.0,2000,24.682762
0.0,2000,24.682766
0.0,2000,24.682773
0.0,2000,24.682776
0.0,2000,24.68278
0.0,2000,24.682783
0.0,2000,24.682786
0.0,806,24.705443
0.0,2000,24.858465
0.0,2000,30.965468
0.0,177,31.323824
0.0,17,31.358133
0.0,5,31.368363
0.0,11,31.390401
0.0,2000,31.423362
0.0,29,31.450792
0.0,12,31.475353
0.0,263,31.960359
0.0,243,31.970552
0.0,13,31.9971
0.0,17,32.03142
0.0,2000,32.053725
0.0,2000,32.724219
0.0,2000,32.893513
0.0,447,32.948767
0.0,2000,33.099474
0.0,2000,33.174963
0.0,2000,33.359741
0.0,301,33.504457
0.0,2000,33.626554
0.0,836,33.718224
0.0,2000,33.859267
0.0,2000,33.97065
0.0,2000,34.418187
0.0,2000,34.520079
0.0,2000,34.520091
0.0,2000,34.520097
0.0,2000,34.520101
0.0,2000,34.520105
0.0,2000,34.520108
0.0,2000,34.520112
0.0,2000,34.520115
0.0,2000,34.520118
0.0,2000,34.520122
0.0,2000,34.542757
0.0,2000,34.694559
0.0,1106,41.118021
0.0,988,41.282294
0.0,2000,41.775203
0.0,2000,42.539628
0.0,2000,42.759722
0.0,2000,42.98068
0.0,2000,43.160872
0.0,2000,43.42318
0.0,2000,43.515013
0.0,5,43.525606
0.0,61,43.649301
0.0,2000,43.653336
0.0,2000,43.758458
0.0,175,43.997239
0.0,46,44.088724
0.0,10,44.10909
0.0,2000,44.192932
0.1171,1962,44.215607
0.0,2000,44.29414
0.0,2000,44.294152
0.0,2000,44.294158
0.0,2000,44.294162
0.0,2000,44.294166
0.0,2000,44.29417
0.0,2000,44.294173
0.0,2000,44.294177
0.0,2000,44.29418
0.0,2000,44.31567
0.0,2000,44.465431
0.0,1358,44.496087
0.0,156,44.627557
0.0,9,44.645927
0.0,73,50.550179
0.0,2000,50.893754
0.0,2000,51.063905
0.0,2000,52.379376
0.0,2000,52.614893
0.0,2000,52.846639
0.0,2000,53.034632
0.0,2000,53.307169
0.0,2000,53.543624
0.0,2000,53.656032
0.0,1350,53.893461
0.0,2000,54.027591
0.0,17,54.064485
0.0,2000,54.115441
0.0,2000,54.139426
0.0,254,54.194913
0.0,2000,54.221419
0.0,2000,54.221432
0.0,2000,54.221437
0.0,2000,54.221442
0.0,2000,54.221446
0.0,2000,54.22145
0.0,2000,54.221453
0.0,2000,54.221458
0.0,2000,54.221461
0.0,2000,54.400691
0.0,2000,54.433447
0.0,2000,54.743697
0.0,2000,60.862351
0.0,701,61.660034
0.0,2000,62.345361
0.0,2000,62.577571
0.0,2000,62.80716
0.0,2000,62.993854
0.0,1069,63.091621
0.0,68,63.233996
0.0,2000,63.267483
0.0,2000,63.503449
0.0,1941,63.732062
0.0,1105,63.985346
0.0,2000,64.030001
0.0,2000,64.079811
0.0,35,64.102785
0.0,2000,64.102798
0.0,3,64.109401
0.0,2000,64.159245
0.0,2000,64.186417
0.0,2000,64.18643
0.0,2000,64.186435
0.0,2000,64.186438
0.0,2000,64.186441
0.0,2000,64.186444
0.0,2000,64.186447
0.0,2000,64.18645
0.0,2000,64.186453
0.0,112,64.346744
0.0,2000,64.363517
0.0,362,64.499282
0.0,2000,64.700867
0.0,381,71.281602
0.0,2000,72.354949
0.0,2000,72.594936
0.0,615,72.614816
0.0,2000,72.83742
0.0,2000,73.03705
0.0,2000,73.290211
0.0,2000,73.324967
0.0,2000,73.571228
0.0,2000,74.063194
0.0,2000,74.160505
0.0,2000,74.184541
0.0,2000,74.239854
0.0,2000,74.266657
0.0,2000,74.26667
