time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss
2048,1,804,0.0,2,38.734693877551024,,,,,,,,,,
4096,2,596,0.0,6,39.96,-2.7619194984436035,2.4447989788711765e-05,-0.007701128914777655,0.097265625,0.0003,-1.9359908651560545,0.2,10,0.01510093,-0.006712850648909807
6144,3,549,0.0,11,34.19,-9.552742004394531,2.5984860194228077e-05,-0.0027479811338707804,0.0615234375,0.0003,-1.9177830453962088,0.2,20,0.012132522,0.00992553774267435
8192,4,528,0.00412891,15,35.31,-4.650356292724609,8.222006574243323e-06,-0.008636528789065779,0.120654296875,0.0003,-1.9138616766780614,0.2,30,0.01644734,0.010295470245182514
10240,5,512,0.0,19,27.02,-0.027417421340942383,0.0007555410169004517,-0.0029623927759530487,0.032080078125,0.0003,-1.9112876739352942,0.2,40,0.009180098,-0.014164281077682972
12288,6,504,0.0,24,13.28,-3.5445656776428223,2.847465831337104e-05,-0.009897843483486213,0.087744140625,0.0003,-1.9042922783643008,0.2,50,0.014198827,-0.03126857802271843
14336,7,498,0.0,28,13.17,-7.2569990158081055,3.216151047666926e-05,-0.016772167933231684,0.18037109375,0.0003,-1.854127950593829,0.2,60,0.0136438785,-0.07057975977659225
16384,8,493,0.0,33,6.4,-1.3569388389587402,5.4039408800576895e-05,-0.031036720486008564,0.303125,0.0003,-1.7709337010979653,0.2,70,0.021883728,-0.02539077401161194
18432,9,489,0.0,37,6.8,-5.001347541809082,3.497963814851346e-05,-0.014472516076057217,0.232421875,0.0003,-1.7537541914731265,0.2,80,0.026968459,-0.02234138920903206
20480,10,483,0.0,42,6.74,-4.677019119262695,0.0001057322054620613,-0.016650800652860197,0.331103515625,0.0003,-1.6660521358251572,0.2,90,0.017764948,-0.02231471799314022
22528,11,478,0.0,47,7.26,-12.590778350830078,4.1294912126943475e-05,-0.018679281826189255,0.16474609375,0.0003,-1.6926030952483415,0.2,100,0.029113628,-0.040888458490371704
24576,12,473,0.0,51,4.61,-13.999290466308594,3.3332105128636155e-05,-0.011134656819922383,0.109033203125,0.0003,-1.705043463781476,0.2,110,0.0128182545,-0.006023413501679897
