#{"t_start": 1771511673.8172228, "env_id": "None"}
r,l,t
0.0,15,0.617658
0.0,16,0.619963
0.0,16,0.619974
0.0,27,0.642183
0.0,30,0.648467
0.0,32,0.652709
0.0,24,0.669112
0.0,42,0.673327
0.0,20,0.68978
0.0,50,0.689791
0.0,51,0.691919
0.0,27,0.698006
0.0,57,0.704167
0.0,58,0.706289
0.0,68,0.726559
0.0,60,0.742871
0.0,82,0.755392
0.0,84,0.75962
0.0,25,0.777957
0.0,8,0.794403
0.0,63,0.802727
0.0,106,0.804941
0.0,67,0.807139
0.0,55,0.81742
0.0,101,0.825688
0.0,116,0.8257
0.0,20,0.8437
0.0,27,0.849895
0.0,129,0.852103
0.0,25,0.858416
0.0,30,0.878903
0.0,100,0.897508
0.0,23,0.899773
0.0,152,0.899783
0.0,11,0.901994
0.0,41,0.910357
0.0,75,0.910368
0.0,14,0.926348
0.0,37,0.934582
0.0,177,0.950657
0.0,150,0.960872
0.0,36,0.975244
0.0,89,0.987492
0.0,57,1.015763
0.0,93,1.040306
0.0,222,1.042495
0.0,110,1.0506
0.0,57,1.06683
0.0,113,1.075225
0.0,191,1.081528
0.46388888,193,1.085848
0.0,243,1.08586
0.0,83,1.096055
0.0,99,1.112295
0.0,181,1.114463
0.0,8,1.129036
0.0,212,1.141656
0.0,36,1.141668
0.0,82,1.143917
0.0,52,1.15029
0.0,194,1.158653
0.0,69,1.158664
0.0,15,1.160995
0.0,41,1.161005
0.0,8,1.167243
0.0,58,1.171394
0.35833332,231,1.17353
0.0,287,1.177812
0.0,17,1.177823
0.0,93,1.17999
0.0,50,1.200039
0.0,23,1.208405
0.0,17,1.208417
0.0,61,1.212601
0.0,136,1.214739
0.0,15,1.243065
0.0,42,1.245195
0.108333334,321,1.247316
0.0,324,1.253566
0.0,56,1.258125
0.0,7,1.268921
0.0,60,1.268933
0.0,176,1.273172
0.0,15,1.275367
0.0,30,1.277597
0.0,96,1.281842
0.0,59,1.290338
0.0,166,1.305064
0.0,50,1.305076
0.0,29,1.307227
0.0,95,1.313508
0.0,52,1.317718
0.0,69,1.321971
0.0,35,1.342355
0.0,23,1.352644
0.0,89,1.356873
0.0,54,1.361179
0.0,23,1.361191
0.0,52,1.381485
0.0,38,1.383682
0.0,64,1.392134
0.0,112,1.392145
0.0,16,1.394394
0.0,60,1.40297
0.0,120,1.411046
0.0,182,1.419063
0.0,7,1.425212
0.0,7,1.433379
0.0,124,1.435557
0.0,48,1.441736
0.0,76,1.447991
0.0,35,1.456204
0.0,40,1.464488
0.0,42,1.478804
0.0,101,1.478815
0.0,80,1.48293
0.0,147,1.485147
0.0,32,1.491472
0.0,69,1.495866
0.0,45,1.495878
0.0,93,1.500027
0.425,207,1.516354
0.0,10,1.516366
0.0,149,1.518568
0.0,21,1.529029
0.0,84,1.531197
0.0,48,1.535367
0.0,57,1.559579
0.0,24,1.565706
0.0,324,1.572762
0.0,47,1.583187
0.0,72,1.599458
0.0,32,1.603669
0.0,61,1.61987
0.0,51,1.624115
0.0,71,1.628481
0.0,32,1.628493
0.0,4,1.636856
0.0,10,1.645107
0.0,11,1.65132
0.0,67,1.659542
0.0,8,1.661671
0.0,13,1.663823
0.0,40,1.666018
0.0,33,1.672294
0.0,7,1.676559
0.0,10,1.684758
0.0,98,1.684769
0.0,4,1.693112
0.0,129,1.734233
0.0,148,1.742576
0.0,135,1.777961
0.0,59,1.782259
0.0,159,1.78858
0.0,51,1.790786
0.0,130,1.801501
0.0,129,1.801512
0.0,110,1.801517
0.0,32,1.809808
0.0,267,1.832717
0.0,160,1.835047
0.0,27,1.835058
0.0,18,1.839311
0.0,276,1.858069
0.0,104,1.868429
0.0,23,1.882588
0.0,128,1.886779
0.0,254,1.891034
0.0,17,1.92553
0.19444445,290,1.925542
0.0,47,1.929794
0.0,78,1.952181
0.0,36,1.956492
0.69722223,109,1.960709
0.0,22,1.975105
0.0,84,1.975117
0.0,31,1.989459
0.0,101,1.991614
0.0,20,1.997845
0.0,93,2.002121
0.0,27,2.008311
0.0,17,2.010492
0.0,45,2.018728
0.0,16,2.024929
0.0,12,2.027171
0.0,26,2.029422
0.0,15,2.049952
0.0,12,2.052153
0.46944445,191,2.062447
0.0,324,2.066623
0.0,324,2.068886
0.0,42,2.077204
0.0,14,2.081456
0.0,11,2.08573
0.0,145,2.08995
0.0,43,2.1001
0.0,17,2.102661
0.0,145,2.102672
0.0,6,2.102677
0.0,68,2.10268
0.0,105,2.10488
0.0,53,2.119115
0.0,215,2.119127
0.0,8,2.119131
0.0,11,2.125271
0.0,6,2.131482
0.0,31,2.133667
0.0,16,2.152222
0.0,69,2.168719
0.0,44,2.168731
0.0,164,2.174979
0.0,36,2.177107
0.0,66,2.187527
0.0,52,2.189776
0.0,23,2.200194
0.0,36,2.206409
0.0,105,2.216606
0.0,15,2.21908
0.0,14,2.219091
0.0,24,2.219096
0.0,49,2.221346
0.0,8,2.22353
0.0,12,2.225739
0.0,324,2.242059
0.0,9,2.260346
0.0,324,2.272598
0.0,9,2.29092
0.0,291,2.29713
0.0,98,2.303382
0.0,217,2.307765
0.0,212,2.307776
0.0,50,2.322038
0.0,96,2.32422
0.0,143,2.326531
0.0,11,2.326549
0.0,80,2.341209
0.0,24,2.341221
0.0,61,2.345547
0.0,324,2.349822
0.0,12,2.352202
0.0,46,2.356518
0.0,134,2.380828
0.0,139,2.39324
0.0,36,2.399672
0.0,151,2.399683
0.0,53,2.407969
0.0,29,2.412289
0.0,136,2.416593
0.0,12,2.424808
0.0,18,2.430905
0.0,21,2.451072
0.0,57,2.463101
0.0,63,2.471262
0.0,122,2.473458
0.0,144,2.475676
0.0,17,2.486171
0.0,31,2.494465
0.0,14,2.500804
0.0,19,2.503073
0.0,324,2.511294
0.0,101,2.517743
0.0,9,2.521961
0.0,60,2.524137
0.0,96,2.52633
0.0,11,2.534678
0.0,151,2.538967
0.0,56,2.541185
0.0,24,2.55147
0.0,121,2.559628
0.0,91,2.569638
0.0,30,2.57976
0.0,119,2.587864
0.0,117,2.591975
0.0,98,2.618313
0.0,198,2.626651
0.0,7,2.632855
0.0,136,2.637003
0.0,35,2.641227
0.0,27,2.643454
0.0,75,2.691745
0.0,76,2.695946
0.0,111,2.704172
0.0,35,2.712462
0.0,109,2.718565
0.0,269,2.724647
0.0,73,2.728681
0.0,18,2.740628
0.0,92,2.746749
0.0,112,2.752866
0.0,59,2.757044
0.26944444,263,2.761113
0.0,67,2.779254
0.0,76,2.781443
0.0,15,2.791852
0.0,36,2.798203
0.0,191,2.804342
0.0,8,2.80847
0.0,89,2.814769
0.0,35,2.818988
0.0,171,2.825258
0.0,12,2.829509
0.0,15,2.82952
0.0,44,2.843757
0.0,32,2.847919
0.0,64,2.860248
0.0,44,2.870568
0.0,30,2.887128
0.0,324,2.891341
0.0,26,2.897828
0.0,14,2.900228
0.0,101,2.900238
0.0,41,2.900242
0.0,45,2.912559
0.0,28,2.918754
0.0,82,2.927079
0.0,113,2.945409
0.0,54,2.959651
0.0,33,2.959662
0.0,32,2.963851
0.0,137,2.978415
0.0,12,2.98487
0.0,324,2.99118
0.0,80,2.995597
0.0,30,3.021828
0.0,20,3.026073
0.0,250,3.036247
0.0,49,3.046442
0.0,160,3.048676
0.0,75,3.055056
0.0,259,3.059355
0.0,73,3.063596
0.0,71,3.073935
0.0,263,3.076108
0.0,58,3.098641
0.7138889,103,3.100849
0.0,99,3.105125
0.0,16,3.107354
0.0,35,3.10961
0.0,45,3.115845
0.0,108,3.124055
0.0,13,3.134409
0.0,30,3.138716
0.0,45,3.14296
0.0,25,3.153182
0.0,324,3.155538
0.0,92,3.155549
0.0,5,3.166158
0.0,20,3.16617
0.0,70,3.172451
0.0,26,3.196834
0.0,13,3.199034
0.0,4,3.205268
0.0,7,3.213524
0.0,30,3.217671
0.0,324,3.219833
0.0,5,3.227968
0.0,59,3.232024
0.0,19,3.252174
0.0,324,3.260316
0.0,99,3.260327
0.0,137,3.278253
0.0,10,3.280356
0.0,111,3.288415
0.69166666,111,3.292519
0.0,4,3.296738
0.0,34,3.30091
0.0,48,3.303166
0.0,80,3.303177
0.0,4,3.311253
0.0,101,3.313358
0.0,18,3.348009
0.0,52,3.358413
0.0,39,3.380593
0.0,48,3.401217
0.0,45,3.405502
0.0,324,3.409766
0.0,98,3.420187
0.0,10,3.430536
0.0,7,3.434751
0.0,79,3.440859
0.51666665,174,3.456901
0.0,26,3.459031
0.35555556,232,3.469074
0.0,324,3.477339
0.0,52,3.487795
0.0,18,3.494347
0.0,324,3.49869
0.0,99,3.501078
0.0,173,3.509501
0.0,182,3.509512
0.0,229,3.519716
0.0,32,3.535717
0.0,8,3.552239
0.0,34,3.55837
0.0,34,3.568642
0.0,155,3.578835
0.0,8,3.585056
0.0,45,3.587403
0.0,324,3.587414
0.0,7,3.601865
0.0,99,3.606118
0.0,10,3.608308
0.0,220,3.618587
0.0,18,3.622764
0.0,15,3.632897
0.0,58,3.639029
0.0,64,3.641445
0.0,175,3.641454
0.0,97,3.641459
0.0,32,3.645724
0.0,23,3.656072
0.0,53,3.662395
0.0,5,3.666668
0.0,15,3.67294
0.0,85,3.677181
0.0,107,3.681352
0.0,38,3.685547
0.0,253,3.687722
0.0,103,3.691908
0.0,168,3.696112
0.0,22,3.718704
0.0,17,3.722853
0.0,40,3.729083
0.0,33,3.735371
0.0,31,3.741574
0.0,324,3.784234
0.0,171,3.788517
0.0,73,3.790684
0.0,183,3.809029
0.0,40,3.823574
0.0,72,3.839807
0.0,105,3.858198
0.0,19,3.862483
0.0,315,3.877004
0.0,76,3.885337
0.0,100,3.901773
0.0,21,3.905914
0.0,130,3.910145
0.0,111,3.914265
0.0,118,3.924587
0.0,178,3.926801
0.0,18,3.942923
0.0,324,3.960927
0.0,19,3.965245
0.0,34,3.971444
0.0,96,3.981615
0.0,11,3.983741
0.0,5,3.993809
0.0,27,3.99801
0.0,93,4.000171
0.0,17,4.006346
0.0,11,4.016344
0.0,51,4.018499
0.0,3,4.02474
0.0,324,4.026921
0.0,26,4.035453
0.0,11,4.039748
0.0,89,4.041945
0.0,81,4.044115
0.0,25,4.052382
0.0,27,4.054542
0.0,12,4.064945
0.0,18,4.073423
0.0,10,4.075588
0.0,37,4.083955
0.0,171,4.088367
0.0,179,4.08838
0.0,39,4.108585
0.0,33,4.112795
0.38333333,222,4.121077
0.0,13,4.135687
0.0,250,4.135703
0.0,203,4.141979
0.0,6,4.154412
0.0,67,4.164783
0.0,324,4.178907
0.0,9,4.183323
0.0,167,4.185622
0.0,272,4.185634
0.0,54,4.199923
0.0,43,4.202135
0.0,10,4.222185
0.0,157,4.234299
0.0,22,4.24451
0.0,8,4.250878
0.0,87,4.263381
0.0,232,4.267631
0.0,26,4.275924
0.0,4,4.284275
0.0,49,4.286486
0.0,24,4.294773
0.0,324,4.303046
0.0,249,4.305442
0.0,22,4.309813
0.0,113,4.309825
0.0,85,4.330131
0.0,131,4.336497
0.0,86,4.35693
0.0,23,4.356941
0.0,29,4.369236
0.0,32,4.37143
0.0,4,4.377595
0.0,67,4.389749
0.0,31,4.420486
0.0,66,4.422702
0.0,17,4.4249
0.0,25,4.429242
0.0,62,4.431505
0.0,274,4.45201
0.0,17,4.456204
0.0,67,4.474584
0.0,25,4.483089
0.0,99,4.489404
0.0,22,4.498005
0.0,111,4.498016
0.0,81,4.498021
0.0,182,4.512457
0.0,81,4.524804
0.0,25,4.535229
0.0,200,4.535241
0.0,171,4.539437
0.0,22,4.543645
0.0,242,4.554028
0.0,247,4.55404
0.0,229,4.562317
0.0,37,4.574614
0.0,76,4.586895
0.0,324,4.59514
0.0,89,4.607674
0.0,38,4.61389
0.0,32,4.620051
0.0,49,4.626358
0.0,324,4.636615
0.0,52,4.651338
0.0,97,4.657484
0.3472222,235,4.669862
0.0,52,4.669874
0.0,183,4.674078
0.0,61,4.680146
0.0,34,4.690431
0.0,17,4.704741
0.0,49,4.709087
0.0,40,4.709098
0.0,56,4.7113
0.0,53,4.723792
0.0,8,4.726014
0.0,39,4.738714
0.0,324,4.74503
0.0,18,4.749472
0.0,55,4.751796
0.0,20,4.751806
0.0,16,4.758122
0.0,9,4.764375
0.0,47,4.768551
0.0,168,4.774526
0.0,133,4.788438
0.0,41,4.790605
0.0,34,4.796716
0.0,105,4.804816
0.0,324,4.807012
0.0,12,4.815325
0.0,31,10.579257
0.0,43,10.581455
0.0,5,10.589734
0.0,19,10.596
0.0,104,10.608851
0.0,50,10.608863
0.0,56,10.608868
0.0,23,10.629801
0.47777778,188,10.629814
0.0,155,10.638336
0.0,109,10.642696
0.0,30,10.671458
0.0,5,10.68174
0.0,27,10.694185
0.0,53,10.700604
0.0,38,10.709209
0.0,241,10.71783
0.0,108,10.724123
0.0,9,10.728341
0.0,100,10.738746
0.0,120,10.74094
0.0,94,10.745169
0.0,225,10.74945
0.0,33,10.751664
0.0,154,10.753821
0.0,111,10.778037
0.0,37,10.77805
0.0,14,10.780263
0.0,243,10.782593
0.0,83,10.782606
0.0,324,10.787088
0.0,30,10.787101
0.0,10,10.803625
0.0,156,10.805818
0.0,106,10.818022
0.0,52,10.826298
0.0,195,10.828587
0.0,38,10.828598
0.0,21,10.830847
0.0,5,10.837203
0.0,26,10.841477
0.0,47,10.843801
0.0,50,10.843812
0.0,33,10.852078
0.0,301,10.858362
0.0,6,10.87075
0.0,69,10.873338
0.0,17,10.87335
0.0,160,10.873355
0.0,21,10.873359
0.0,176,10.877768
0.0,28,10.87778
0.0,77,10.902261
0.0,102,10.908626
0.0,8,10.918942
0.0,80,10.921103
0.0,26,10.927383
0.0,28,10.935711
0.0,50,10.94608
0.0,7,10.960419
0.0,46,10.968719
0.0,19,10.975027
0.0,176,10.977215
0.0,34,10.979492
0.0,28,10.979504
0.0,76,10.987543
0.0,54,10.989716
0.0,79,10.995836
0.0,10,10.99814
0.0,14,10.998152
0.0,63,11.0044
0.0,8,11.006561
0.0,7,11.010853
0.0,17,11.023144
0.0,89,11.029317
0.0,19,11.037498
0.0,34,11.049771
0.0,88,11.05405
0.0,65,11.054062
0.0,63,11.058292
0.0,16,11.062447
0.0,140,11.070696
0.0,25,11.089115
0.0,57,11.093279
0.0,57,11.115742
0.0,165,11.122169
0.0,39,11.134669
0.0,63,11.136873
0.0,168,11.153256
0.0,245,11.153269
0.0,33,11.157465
0.0,57,11.171919
0.0,51,11.198323
