time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/learning_rate,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range
1,85.51,7057,49152,0.0199444442987442,6,,,,,,,,,,
2,85.04,5842,98304,0.012333333492279053,16,-0.00019884255016222596,0.0003,10,-1.9387921076888839,0.009635314,-0.034252166748046875,-0.0015938911126189244,0.0008027936570954352,0.0422607421875,0.2
3,84.36,5523,147456,0.03469444438815117,26,0.012260332703590393,0.0003,20,-1.9283354425802828,0.008808664,0.13903748989105225,-0.0020618965922039934,0.0006971295742043064,0.030769856770833333,0.2
4,81.24,5379,196608,0.05808333307504654,36,-0.002428704872727394,0.0003,30,-1.9162492239226898,0.008609726,0.18149524927139282,-0.002852294192083112,0.0011661709075156067,0.05953165690104167,0.2
5,79.73,5283,245760,0.09741666913032532,46,-0.01690550707280636,0.0003,40,-1.8976802225535114,0.007610649,0.3542635440826416,-0.004788114109881766,0.002168192106804175,0.05737508138020833,0.2
6,71.13,5194,294912,0.08316666632890701,56,-0.018059490248560905,0.0003,50,-1.8649222956970335,0.010755432,0.4540913701057434,-0.00671432554020915,0.0029078247264806125,0.11429646809895834,0.2
7,67.53,5132,344064,0.1653333306312561,67,0.0019603590480983257,0.0003,60,-1.8134653257206081,0.011255962,0.5185059309005737,-0.008223023711373874,0.004733784505636625,0.13926595052083332,0.2
8,73.28,5090,393216,0.30863887071609497,77,-0.01548637542873621,0.0003,70,-1.7499832514673472,0.010626718,0.5368704795837402,-0.0089214781314998,0.008216839795204578,0.12489013671875,0.2
9,77.32,5063,442368,0.39925000071525574,87,-0.010580344125628471,0.0003,80,-1.669121763917307,0.0123104,0.5923111438751221,-0.01011795418477656,0.010010891543061007,0.14169108072916667,0.2
10,58.99,5047,491520,0.45850005745887756,97,-0.01242922991514206,0.0003,90,-1.5640947729349137,0.011890105,0.6315048933029175,-0.010202938788340058,0.011925038007999926,0.14714558919270834,0.2
11,61.1,4906,540672,0.5530833601951599,110,0.007479275111109018,0.0003,100,-1.4485947674140334,0.011888654,0.6550055742263794,-0.010635627671945258,0.01364027142941874,0.14512532552083332,0.2
12,58.02,4903,589824,0.6356666684150696,120,0.0011700969189405441,0.0003,110,-1.3362051051110029,0.010596435,0.6537820100784302,-0.009398532416920109,0.014969317715925474,0.12865193684895834,0.2
13,52.07,4896,638976,0.6089999675750732,130,-0.009098888374865055,0.0003,120,-1.210257959800462,0.009359304,0.6584504842758179,-0.007461117078370686,0.01445150784178016,0.11288248697916667,0.2
14,48.88,4886,688128,0.6848055124282837,140,-0.005854766815900803,0.0003,130,-1.0851686283325155,0.0085351365,0.6218079328536987,-0.006559642747197359,0.014022798288594155,0.1062255859375,0.2
15,44.75,4878,737280,0.6500833034515381,151,-0.005684539210051298,0.0003,140,-0.9633358297869563,0.0075076954,0.585486888885498,-0.005661058943163274,0.014832673281004342,0.09385782877604167,0.2
16,45.19,4881,786432,0.7019167542457581,161,0.004971854388713837,0.0003,150,-0.8790807724930346,0.0055836826,0.5674111843109131,-0.004639658969123653,0.01500225558799381,0.077325439453125,0.2
17,47.34,4875,835584,0.7200276851654053,171,-0.0023470851592719555,0.0003,160,-0.7838475634343922,0.005327081,0.5711479187011719,-0.003682882488828909,0.013652443005412351,0.06802164713541667,0.2
18,44.94,4874,884736,0.7063056230545044,181,-0.003000588621944189,0.0003,170,-0.7210090673218171,0.004348135,0.5326688289642334,-0.0028875380174213207,0.013910436328539314,0.054795328776041666,0.2
19,44.09,4870,933888,0.7353055477142334,191,-0.0011310381814837456,0.0003,180,-0.6472524135373533,0.0046009314,0.539600133895874,-0.0026901291810039157,0.013716306467540563,0.053542073567708334,0.2
20,44.05,4800,983040,0.7534722685813904,204,0.0073510766960680485,0.0003,190,-0.600989190582186,0.004247964,0.5564721822738647,-0.0023863321975416815,0.012649003551147567,0.05266520182291667,0.2
21,42.43,4736,1032192,0.8061109781265259,217,0.008542457595467567,0.0003,200,-0.5640095778430502,0.0040542274,0.5282654762268066,-0.0019701566655082087,0.013221325153911797,0.04652099609375,0.2
22,40.56,4736,1081344,0.7818333506584167,228,0.003223731182515621,0.0003,210,-0.5094704562642922,0.0036827363,0.5162064433097839,-0.002184101252654121,0.01415532209017935,0.04388631184895833,0.2
23,39.88,4737,1130496,0.7369999885559082,238,0.0068471385166049,0.0003,220,-0.4735794570452223,0.003830996,0.5122491121292114,-0.0023322465821668933,0.01300013373620459,0.04379069010416667,0.2
24,42.94,4738,1179648,0.8134444355964661,248,0.002329035196453333,0.0003,230,-0.45058056033837296,0.003892703,0.5093632936477661,-0.001975569907820803,0.013790167883659403,0.04200439453125,0.2
25,41.11,4739,1228800,0.7615001201629639,259,-0.003104996867477894,0.0003,240,-0.43344569924908377,0.0030776903,0.5137215256690979,-0.0016144286568912018,0.013255939388424546,0.037176513671875,0.2
26,40.96,4737,1277952,0.7236388921737671,269,0.026057081297039986,0.0003,250,-0.3981057143925379,0.0028893196,0.507257342338562,-0.0016262603085730612,0.013668490186682902,0.034344482421875,0.2
27,41.66,4743,1327104,0.7698610424995422,279,0.003703724592924118,0.0003,260,-0.3746761171768109,0.0026606724,0.5346322059631348,-0.001401552205970802,0.012050907716426688,0.03451334635416667,0.2
28,38.06,4748,1376256,0.6546111106872559,289,0.005777154117822647,0.0003,270,-0.35718612420993545,0.004389553,0.500328779220581,-0.0012697806081632735,0.01339471114333719,0.029836018880208332,0.2
29,41.95,4753,1425408,0.7604444026947021,299,0.004168024752289057,0.0003,280,-0.33997725054311256,0.002516452,0.49993014335632324,-0.001117719702415343,0.013844688121753278,0.028302001953125,0.2
30,37.74,4760,1474560,0.7318055629730225,309,0.003615475259721279,0.0003,290,-0.3220322052172075,0.002668756,0.513407826423645,-0.0013324835997385283,0.012176574173402817,0.03031005859375,0.2
31,41.22,4766,1523712,0.7697221636772156,319,0.002909617032855749,0.0003,300,-0.3097354792368909,0.0022186374,0.5102087259292603,-0.0008624234642411466,0.013426521251676603,0.024656168619791665,0.2
32,42.25,4772,1572864,0.7771944403648376,329,0.007510071620345116,0.0003,310,-0.30720980959013106,0.00302527,0.5162171125411987,-0.001079794894879645,0.012730808455429118,0.026102701822916668,0.2
33,39.16,4777,1622016,0.7172222137451172,339,0.0035536717623472214,0.0003,320,-0.29683926749664047,0.0025465575,0.5152813196182251,-0.00104336460056705,0.01270885770378906,0.027998860677083334,0.2
34,40.33,4782,1671168,0.7837499976158142,349,-0.005051659420132637,0.0003,330,-0.2806797473070522,0.002887714,0.49432867765426636,-0.001485378684689446,0.013718011062883307,0.027309163411458334,0.2
35,39.43,4787,1720320,0.7197499871253967,359,0.001026622485369444,0.0003,340,-0.2610914217075333,0.0022984769,0.5084255933761597,-0.0009755795993138842,0.01286487819282532,0.023185221354166667,0.2
36,41.23,4791,1769472,0.7620000243186951,369,0.0009039724245667458,0.0003,350,-0.25645296841394155,0.001867113,0.5203273892402649,-0.0010383555692897062,0.012112800035780916,0.021995035807291667,0.2
37,38.63,4795,1818624,0.7397499680519104,379,0.0015706978738307953,0.0003,360,-0.24046833568718284,0.002680721,0.5026236772537231,-0.0013628445001813815,0.012233210764437293,0.024127197265625,0.2
38,38.54,4795,1867776,0.7580277323722839,389,0.003908163867890835,0.0003,370,-0.2380903038972368,0.002539219,0.49287933111190796,-0.0011243778419763354,0.012553864067255442,0.025368245442708333,0.2
39,39.75,4794,1916928,0.8135278224945068,399,0.00045046815648674965,0.0003,380,-0.22985708395329615,0.0021593107,0.5081132054328918,-0.001219520930711345,0.012160563983343309,0.021482340494791665,0.2
40,39.22,4793,1966080,0.73797208070755,410,-0.0005413442850112915,0.0003,390,-0.23010031445883214,0.003856521,0.5127890110015869,-0.0015263066910847557,0.012174298125804247,0.025498453776041666,0.2
41,39.04,4761,2015232,0.6997500061988831,423,0.007757794577628374,0.0003,400,-0.22566373579514523,0.0024676216,0.5121277570724487,-0.0009306965491911493,0.012722042674916641,0.0238525390625,0.2
42,39.3,4764,2064384,0.736833393573761,433,-0.000205199234187603,0.0003,410,-0.22355922333275277,0.002069844,0.500811755657196,-0.0010590269496181766,0.014432574872625992,0.024147542317708333,0.2
43,36.15,4766,2113536,0.7450000047683716,443,0.0034380173310637474,0.0003,420,-0.20655667124471316,0.003076408,0.5023467540740967,-0.001457462507217618,0.01289778214195394,0.021024576822916665,0.2
