time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/learning_rate,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range
1,78.48,8294,49152,0.003642857074737549,5,,,,,,,,,,
2,95.57,6401,98304,0.027071427553892136,15,-0.0011235211277380586,0.0003,10,-1.939190008987983,0.010733875,-0.2871739864349365,-0.003553289883469309,0.0002876016888611351,0.068267822265625,0.2
3,136.57,5964,147456,0.04285714030265808,24,-0.018975824117660522,0.0003,20,-1.9285918002327282,0.00885982,0.09875690937042236,-0.0046851286035841135,0.0010177170236147504,0.102423095703125,0.2
4,128.48,5753,196608,0.20917858183383942,34,-0.009308935143053532,0.0003,30,-1.908051404543221,0.009723716,0.2949090600013733,-0.00767645373052801,0.0014786859167012759,0.11489461263020834,0.2
5,118.92,5625,245760,0.30596426129341125,43,-0.011513295583426952,0.0003,40,-1.8744633859023452,0.010566655,0.3199249505996704,-0.009408538146271895,0.004042032238733857,0.14828694661458333,0.2
6,88.08,5547,294912,0.5217499732971191,53,-0.007074171211570501,0.0003,50,-1.8143866145983338,0.011597495,0.4403327703475952,-0.012880957521823196,0.007590257359212652,0.16734415690104168,0.2
7,63.9,5502,344064,0.6276785135269165,62,-0.010066015645861626,0.0003,60,-1.7278722870474061,0.0134462835,0.5488812923431396,-0.017156798331901275,0.011393253785839382,0.198675537109375,0.2
8,51.23,5449,393216,0.7282857298851013,72,-0.014189809560775757,0.0003,70,-1.612056516793867,0.014417261,0.6424888372421265,-0.01974207418570586,0.013391504581765428,0.221435546875,0.2
9,42.91,5394,442368,0.7576786875724792,81,-0.023838378489017487,0.0003,80,-1.454706144022445,0.017421857,0.6638509035110474,-0.022457598962258393,0.013088895201023357,0.25208943684895835,0.2
10,34.99,5348,491520,0.8666073083877563,91,-0.023196492344141006,0.0003,90,-1.2656022485345602,0.019050162,0.6171817779541016,-0.020263152161836235,0.011827831745904405,0.26836751302083334,0.2
11,31.28,5198,540672,0.8137500286102295,103,-0.022678880020976067,0.0003,100,-1.0712089753399292,0.014175345,0.5801684856414795,-0.014212792073036933,0.00924882083660729,0.19825642903645832,0.2
12,26.83,5189,589824,0.8574641942977905,113,-0.02372664026916027,0.0003,110,-0.9009531166404485,0.013180505,0.4766552448272705,-0.010927004584906778,0.008850523205425512,0.16656290690104167,0.2
13,27.53,5181,638976,0.8450000286102295,123,-0.006384788081049919,0.0003,120,-0.7687400906657179,0.007643789,0.4699029326438904,-0.007794193646259373,0.007267526549064011,0.12295735677083333,0.2
14,25.57,5173,688128,0.8796071410179138,133,-0.00622572423890233,0.0003,130,-0.6581811810222765,0.0063166567,0.44690370559692383,-0.005387260191006741,0.0071278708812315015,0.09838053385416666,0.2
15,23.86,5166,737280,0.8274999856948853,142,0.0067100427113473415,0.0003,140,-0.5646841349701087,0.0052905157,0.39882946014404297,-0.004611126643915971,0.007331869839011536,0.08368937174479167,0.2
16,24.99,5159,786432,0.8831427693367004,152,0.005318919196724892,0.0003,150,-0.49086955836974083,0.0041811294,0.376437246799469,-0.003017033260342335,0.007405321009294615,0.063690185546875,0.2
17,23.45,5147,835584,0.9064285755157471,162,-0.003599635325372219,0.0003,160,-0.4283127917908132,0.00392428,0.39573609828948975,-0.003083404041111256,0.0064378825743915515,0.054917399088541666,0.2
18,22.57,5137,884736,0.8530000448226929,172,0.0007623909041285515,0.0003,170,-0.3967321384542932,0.013555661,0.39269018173217773,-0.0035905397203047566,0.006584767982227883,0.06879679361979167,0.2
19,21.05,5134,933888,0.895607054233551,181,-0.005231190472841263,0.0003,180,-0.3679397553826372,0.0050197938,0.2822198271751404,-0.0035437548305405167,0.011545713033168188,0.05984700520833333,0.2
