time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
11179,1342.344827586207,49152,1,4,0.0,,,,,,,,,,
6748,1350.7540983606557,98304,2,14,0.008595901541411877,-0.005241141156390464,1.089876551093975e-05,0.2,0.075433349609375,0.010594077,-5.6125383377075195,10,0.0003,-1.9368271105612318,-0.010690989904105663
5948,1390.3854166666667,147456,3,24,0.01055468712002039,-0.005308213645851841,5.746354269445438e-05,0.2,0.08499552408854166,0.009718163,-0.11476373672485352,20,0.0003,-1.923355743661523,-0.005446199327707291
5613,1462.84,196608,4,35,0.02472899854183197,-0.004443113269674844,2.611633084654841e-05,0.2,0.0689697265625,0.009015123,-0.14677608013153076,30,0.0003,-1.9185322164868315,-0.0066491770558059216
5428,1448.21,245760,5,45,0.027857499197125435,-0.002992399903147695,0.0001463630112348587,0.2,0.07838948567708333,0.008270771,-0.014126300811767578,40,0.0003,-1.9048529598861932,-0.0038718641735613346
5310,1429.52,294912,6,55,0.03872149810194969,-0.006118989582379678,8.192040939422421e-05,0.2,0.16415608723958333,0.017160306,-0.043297410011291504,50,0.0003,-1.886731013531486,0.020802248269319534
5241,1412.15,344064,7,65,0.024124998599290848,-0.004588058663466654,0.0001694115244706751,0.2,0.08848876953125,0.0088322,-0.010631799697875977,60,0.0003,-1.8890419443448385,0.00382708921097219
5187,1400.51,393216,8,75,0.037704501301050186,-0.008102257273640135,1.889678664331503e-06,0.2,0.12454020182291667,0.01582556,-3.131368637084961,70,0.0003,-1.8851288679987193,-0.029911654070019722
5160,1379.44,442368,9,85,0.031115498393774033,-0.003784562867076602,0.000195250334657023,0.2,0.11119791666666666,0.009699502,-0.0018483400344848633,80,0.0003,-1.8826745453601081,-0.00472607696428895
5127,1336.09,491520,10,95,0.04136499762535095,-0.00606126282831004,7.856193804265388e-05,0.2,0.108038330078125,0.011367407,0.0392916202545166,90,0.0003,-1.8780852833762764,-0.01449156180024147
5101,1309.56,540672,11,105,0.018221000209450722,-0.005724030211725525,6.78105025694246e-05,0.2,0.11587727864583333,0.00994192,0.11063641309738159,100,0.0003,-1.8542538415640593,-0.007531620096415281
5076,1282.05,589824,12,116,0.02132599987089634,-0.008033683847619008,9.622444154189224e-06,0.2,0.11071980794270833,0.009978955,-0.49038565158843994,110,0.0003,-1.8337441163758437,-0.0017538166139274836
5055,1350.95,638976,13,126,0.02250950038433075,-0.005677889821284528,0.00010740648711985065,0.2,0.11227823893229166,0.010188591,0.04419732093811035,120,0.0003,-1.827953943423927,-0.0012379763647913933
5037,1318.0,688128,14,136,0.02769550308585167,-0.007390699477279365,0.00010079600197438291,0.2,0.134100341796875,0.011395807,0.11474740505218506,130,0.0003,-1.816007074775795,-0.0060676285065710545
5019,1190.03,737280,15,146,0.025209501385688782,-0.007846283974746864,2.9479610566459276e-05,0.2,0.11447347005208333,0.011106603,-0.30667245388031006,140,0.0003,-1.8015185424437126,-0.02855266071856022
5002,1062.78,786432,16,157,0.01256600022315979,-0.007289470623557766,0.00014246284270787632,0.2,0.13232421875,0.01205523,0.09228682518005371,150,0.0003,-1.7701489973192415,-0.010787341743707657
4991,987.15,835584,17,167,0.010486999526619911,-0.008778174219878565,7.601250417958264e-06,0.2,0.15134480794270833,0.014814201,-1.4708125591278076,160,0.0003,-1.7358422537644704,-0.026062091812491417
4981,1059.47,884736,18,177,0.010486999526619911,-0.005865244957385584,9.30241351126663e-05,0.2,0.13848673502604167,0.011659862,0.18373948335647583,170,0.0003,-1.7280358700081706,-0.00037431687815114856
4972,1026.59,933888,19,187,0.010486999526619911,-0.010759945294497204,2.9927355059911066e-06,0.2,0.15723063151041666,0.013886596,-3.7890915870666504,180,0.0003,-1.7155199232821663,-0.0175546333193779
4965,1153.62,983040,20,197,0.0,-0.011306895474748065,1.3959570197563664e-06,0.2,0.15479329427083333,0.021110425,-2.2799623012542725,190,0.0003,-1.676033901485304,-0.024062680080533028
