time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
10969,28.01,49152,1,4,0.0,,,,,,,,,,
6551,17.15,98304,2,15,0.0,-0.009783317507935863,0.0003126252202264368,0.2,0.16118570963541667,0.016442189,-0.20757520198822021,10,0.0003,-1.9335223306591311,-0.01352517306804657
5753,10.57,147456,3,25,0.0,-0.00954251625547234,0.0005703313889578491,0.2,0.19476114908854167,0.015125915,0.0613136887550354,20,0.0003,-1.899688989855349,-0.034800443798303604
5382,7.34,196608,4,36,0.0,-0.006864659044913424,0.00026578702192144493,0.2,0.20677693684895834,0.026628213,0.15040487051010132,30,0.0003,-1.8378023294111092,0.0012860100250691175
5194,10.29,245760,5,47,0.0,-0.004689968371394571,0.0006473070820770014,0.2,0.092608642578125,0.009384544,0.36133646965026855,40,0.0003,-1.842567255658408,0.001459325896576047
5111,13.44,294912,6,57,0.0,-0.008104831432683568,0.0009134906861125576,0.2,0.14671834309895834,0.012072988,0.49433696269989014,50,0.0003,-1.8674438424408435,-0.004764589015394449
5079,28.25,344064,7,67,0.04575781524181366,-0.010867819207305729,0.0033351190865081055,0.2,0.15176595052083333,0.019815981,0.5443040728569031,60,0.0003,-1.8509851765508454,-0.01646175980567932
5052,30.16,393216,8,77,0.12703905999660492,-0.01566327563668892,0.007755282450913606,0.2,0.190362548828125,0.018353065,0.624176025390625,70,0.0003,-1.7879473570734263,-0.02874200977385044
5038,26.35,442368,9,87,0.26436328887939453,-0.01986681812995812,0.011478867073553072,0.2,0.21908976236979166,0.015497436,0.6493748426437378,80,0.0003,-1.7124864884962638,-0.005119437351822853
5027,31.02,491520,10,97,0.38566020131111145,-0.02128726587507117,0.016957544948672874,0.2,0.221533203125,0.015410762,0.6774435639381409,90,0.0003,-1.5927857588976622,-0.006996328942477703
5020,26.4,540672,11,107,0.557242214679718,-0.0220339353235128,0.018688644319869732,0.2,0.24341837565104166,0.015944017,0.6664301156997681,100,0.0003,-1.4496611020838222,-0.022172454744577408
