#{"t_start": 1771515789.820693, "env_id": "None"}
r,l,t
0.0,38,0.183186
0.0,200,0.523137
0.0,200,0.523149
0.0,200,0.523154
0.0,200,0.523157
0.0,200,0.52316
0.0,200,0.523163
0.0,200,0.523165
0.0,200,0.523168
0.0,200,0.523171
0.0,200,0.523174
0.0,200,0.523177
0.0,200,0.523179
0.0,200,0.523181
0.0,200,0.523184
0.0,200,0.523187
0.0,200,0.52319
0.0,200,0.523192
0.0,200,0.523195
0.0,200,0.523198
0.0,200,0.523201
0.0,200,0.523203
0.0,200,0.523206
0.0,200,0.523209
0.0,200,0.603845
0.0,200,0.936538
0.0,200,0.93655
0.0,200,0.936554
0.0,200,0.936557
0.0,200,0.93656
0.0,200,0.936563
0.0,200,0.936565
0.0,200,0.936568
0.0,200,0.936571
0.0,200,0.936573
0.0,200,0.936576
0.0,200,0.936578
0.0,200,0.936581
0.0,200,0.936584
0.0,200,0.936586
0.0,200,0.936589
0.0,200,0.936592
0.0,200,0.936594
0.0,200,0.936597
0.0,200,0.936599
0.0,200,0.936602
0.0,200,0.936604
0.0,200,0.936607
0.0,200,1.01777
0.0,42,1.1057
0.0,52,1.212767
0.0,170,1.291489
0.0,200,1.356039
0.0,200,1.356051
0.0,200,1.356055
0.0,200,1.356059
0.0,200,1.356061
0.0,200,1.356064
0.0,200,1.356067
0.0,200,1.356069
0.0,200,1.356072
0.0,200,1.356075
0.0,200,1.356078
0.0,200,1.35608
0.0,200,1.356083
0.0,200,1.356086
0.0,200,1.356088
0.0,200,1.356091
0.0,200,1.356093
0.0,200,1.356096
0.0,200,1.356099
0.0,200,1.356101
0.0,200,1.356104
0.0,200,1.356107
0.0,45,1.453111
0.0,200,1.633968
0.0,169,1.709939
0.0,200,1.712168
0.0,200,1.776413
0.0,200,1.776425
0.0,200,1.77643
0.0,200,1.776433
0.0,200,1.776436
0.0,200,1.776439
0.0,200,1.776441
0.0,200,1.776444
0.0,200,1.776446
0.0,200,1.776449
0.0,200,1.776452
0.0,200,1.776454
0.0,200,1.776457
