time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
11387,190.54,49152,1,4,0.0,,,,,,,,,,
6829,190.49,98304,2,14,0.0,-0.005181903622784981,2.124504797696621e-05,0.2,0.101129150390625,0.0136617115,-3.9203710556030273,10,0.0003,-1.9366828681901098,-0.01359008252620697
6020,196.27,147456,3,24,0.0,-0.005789036893596252,7.918992496769306e-06,0.2,0.10739339192708333,0.011766712,-3.097836971282959,20,0.0003,-1.9185877963900566,0.0017168832710012794
5677,182.8,196608,4,34,0.0,-0.0031189041316489843,4.455318480841205e-06,0.2,0.053076171875,0.00751208,-3.528909206390381,30,0.0003,-1.8971027662977575,-0.00927218422293663
5496,188.62,245760,5,44,0.0,-0.0034743639214866564,2.904874343527079e-06,0.2,0.046942138671875,0.0063359574,-2.8866682052612305,40,0.0003,-1.8735317770391702,-0.004718262702226639
5375,188.06,294912,6,54,0.0,-0.004798432229714915,1.9214578325765784e-06,0.2,0.06009521484375,0.008077495,-3.711714267730713,50,0.0003,-1.8581489411493142,-0.016018791124224663
5291,188.83,344064,7,65,0.0,-0.004898982653746013,1.3050072383909614e-06,0.2,0.06847737630208334,0.008757305,-4.418540000915527,60,0.0003,-1.8495875465373197,-0.027223272249102592
5229,190.88,393216,8,75,0.0,-0.006370020287189012,1.5806019611079118e-06,0.2,0.078399658203125,0.008934934,-4.152436256408691,70,0.0003,-1.8373987454300125,-0.02569805644452572
5185,192.21,442368,9,85,0.0,-0.006675831218065771,1.3409681713779283e-06,0.2,0.08520100911458334,0.009226558,-3.603144645690918,80,0.0003,-1.823237152894338,0.009168705902993679
5148,194.65,491520,10,95,0.0,-0.007000290740628164,2.664937026647015e-05,0.2,0.08219807942708333,0.008850758,-0.03560173511505127,90,0.0003,-1.7991835604111353,-0.010768448933959007
