#{"t_start": 1771516827.9583254, "env_id": "None"}
r,l,t
0.0,200,0.478869
0.0,200,0.478887
0.0,200,0.478891
0.0,200,0.478895
0.0,200,0.478898
0.0,200,0.478901
0.0,200,0.478904
0.0,200,0.478906
0.0,200,0.478909
0.0,200,0.478912
0.0,200,0.478914
0.0,200,0.478917
0.0,200,0.47892
0.0,200,0.478923
0.0,200,0.478925
0.0,200,0.478928
0.0,200,0.47893
0.0,200,0.478933
0.0,200,0.478936
0.0,200,0.478939
0.0,200,0.478941
0.0,200,0.478944
0.0,200,0.478946
0.0,200,0.478949
0.0,200,0.886149
0.0,200,0.886161
0.0,200,0.886166
0.0,200,0.886169
0.0,200,0.886172
0.0,200,0.886174
0.0,200,0.886177
0.0,200,0.88618
0.0,200,0.886183
0.0,200,0.886185
0.0,200,0.886188
0.0,200,0.88619
0.0,200,0.886193
0.0,200,0.886196
0.0,200,0.886198
0.0,200,0.886201
0.0,200,0.886204
0.0,200,0.886206
0.0,200,0.886209
0.0,200,0.886211
0.0,200,0.886214
0.0,200,0.886217
0.0,200,0.88622
0.0,200,0.886223
0.0,61,1.012765
0.0,78,1.047382
0.0,200,1.296115
0.0,200,1.296127
0.0,200,1.296131
0.0,200,1.296135
0.0,200,1.296138
0.0,200,1.29614
0.0,200,1.296143
0.0,200,1.296146
0.0,200,1.296149
0.0,200,1.296151
0.0,200,1.296154
0.0,200,1.296157
0.0,200,1.29616
0.0,200,1.296162
0.0,200,1.296165
0.0,200,1.296168
0.0,200,1.29617
0.0,200,1.296172
0.0,200,1.296175
0.0,200,1.296178
0.0,200,1.29618
0.0,200,1.296183
0.0,200,1.422273
0.0,200,1.456821
0.0,200,1.70399
0.0,200,1.704001
0.0,200,1.704006
0.0,200,1.704009
0.0,200,1.704012
0.0,200,1.704015
0.0,200,1.704018
0.0,200,1.70402
0.0,200,1.704023
0.0,200,1.704026
0.0,200,1.704028
0.0,200,1.704031
0.0,200,1.704033
0.0,200,1.704036
0.0,200,1.704039
0.0,200,1.704041
0.0,200,1.704044
0.0,200,1.704046
0.0,200,1.704049
0.0,200,1.704051
0.0,200,1.704054
0.0,200,1.704057
0.0,200,1.829668
0.0,200,1.864667
0.0,200,2.112477
0.0,200,2.112489
0.0,200,2.112494
0.0,200,2.112497
0.0,200,2.1125
0.0,200,2.112503
0.0,200,2.112506
0.0,200,2.112508
0.0,200,2.112511
0.0,200,2.112513
0.0,200,2.112516
0.0,200,2.112519
0.0,200,2.112522
0.0,200,2.112524
0.0,200,2.112527
0.0,200,2.112529
0.0,200,2.112532
0.0,200,2.112535
0.0,200,2.112537
0.0,200,2.11254
0.0,200,2.112542
0.0,200,2.112545
0.0,200,2.237397
0.0,200,2.271822
0.0,200,2.521557
0.0,200,2.521569
0.0,200,2.521574
0.0,200,2.521577
0.0,200,2.521579
0.0,200,2.521582
0.0,200,2.521585
0.0,200,2.521588
0.0,200,2.52159
0.0,200,2.521593
0.0,200,2.521595
0.0,200,2.521598
0.0,200,2.5216
0.0,200,2.521603
0.0,200,2.521606
0.0,200,2.521608
0.0,200,2.521611
0.0,200,2.521613
0.0,200,2.521616
0.0,200,2.521619
0.0,200,2.521621
0.0,200,2.521623
0.0,200,2.648659
0.0,200,2.683901
0.0,172,2.87344
0.0,134,2.920181
0.0,200,2.933485
0.0,200,2.933496
0.0,200,2.933501
0.0,200,2.933504
0.0,200,2.933507
0.0,200,2.933509
0.0,200,2.933512
0.0,200,2.933515
0.0,200,2.933517
0.0,200,2.933519
0.0,200,2.933522
0.0,200,2.933525
0.0,200,2.933527
0.0,200,2.93353
0.0,200,2.933532
0.0,200,2.933535
0.0,200,2.933537
0.0,200,2.93354
0.0,200,2.933542
0.0,200,2.933545
0.0,200,2.933547
0.0,200,3.092054
0.0,114,3.154254
0.0,200,3.280719
0.0,200,3.339452
0.0,200,3.339464
0.0,200,3.339468
0.0,200,3.339472
0.0,200,3.339474
0.0,200,3.339477
0.0,200,3.339479
0.0,200,3.339482
0.0,200,3.339484
0.0,200,3.339487
0.0,200,3.33949
0.0,200,3.339493
0.0,200,3.339495
0.0,200,3.339498
0.0,200,3.3395
0.0,200,3.339503
0.0,200,3.339505
0.0,200,3.339508
0.0,200,3.33951
0.0,200,3.339513
0.0,200,3.339515
0.0,200,3.497933
0.0,200,3.559798
0.0,200,3.686847
0.0,200,3.746989
0.0,200,3.747
0.0,200,3.747005
0.0,200,3.747008
0.0,200,3.747011
0.0,200,3.747014
0.0,200,3.747017
0.0,200,3.747019
0.0,200,3.747022
0.0,200,3.747024
0.0,200,3.747027
0.0,200,3.747029
0.0,200,3.747032
0.0,200,3.747035
0.0,200,3.747037
0.0,200,3.74704
0.0,200,3.747042
0.0,200,3.747045
0.0,200,3.747047
0.0,200,3.74705
0.0,200,3.747052
0.0,136,3.841786
0.0,200,3.908522
0.0,200,4.098065
0.0,200,4.157319
0.0,200,4.15733
0.0,200,4.157335
0.0,200,4.157338
0.0,200,4.157341
0.0,200,4.157343
0.0,200,4.157346
0.0,200,4.157356
0.0,200,4.157358
0.0,200,4.157361
0.0,200,4.157363
0.0,200,4.157366
0.0,200,4.157368
0.0,200,4.157371
0.0,200,4.157373
0.0,200,4.157376
0.0,200,4.157378
0.0,200,4.157381
0.0,200,4.157383
0.0,200,4.157386
0.0,200,4.157388
0.0,200,4.250292
0.0,200,10.023826
0.0,52,10.06266
0.0,157,10.126878
0.0,200,10.273643
0.0,200,10.273655
0.0,200,10.27366
0.0,200,10.273664
0.0,200,10.273668
0.0,200,10.273672
0.0,200,10.273675
0.0,200,10.273678
0.0,200,10.273682
0.0,200,10.273685
0.0,200,10.273689
0.0,200,10.273692
0.0,200,10.273695
0.0,200,10.273699
0.0,200,10.273703
0.0,200,10.273706
0.0,200,10.27371
0.0,200,10.273713
0.0,200,10.273717
0.0,200,10.27372
0.0,200,10.273723
0.0,200,10.436311
0.0,200,10.475062
0.0,200,10.539011
0.0,200,10.685817
0.0,200,10.68583
0.0,200,10.685835
0.0,200,10.685839
0.0,200,10.685843
0.0,200,10.685846
0.0,200,10.685849
0.0,200,10.685853
0.0,200,10.685856
0.0,200,10.685859
0.0,200,10.685863
0.0,200,10.685866
0.0,200,10.685869
0.0,200,10.685872
0.0,200,10.685875
