time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/entropy_loss,train/loss
11722,197.56,49152,1,4,0.0,,,,,,,,,,
6965,196.02,98304,2,14,0.0,-0.0038893743648562426,1.2645163047153573e-05,0.2,0.094964599609375,0.017547712,-5.639945983886719,10,0.0003,-1.9355175332476695,0.006277835927903652
6134,198.43,147456,3,24,0.0,-0.004424126356328392,8.015287858142982e-06,0.2,0.08295491536458334,0.01279701,-3.9732894897460938,20,0.0003,-1.9085779713466764,-0.0020440383814275265
5791,199.2,196608,4,33,0.0,-0.004360216418839021,6.4188030564812e-06,0.2,0.08642985026041666,0.010327748,-4.092443466186523,30,0.0003,-1.8971994280194242,-0.003256932133808732
5602,199.92,245760,5,43,0.0,-0.0057470577908437315,3.062554605678021e-06,0.2,0.10528361002604167,0.013708075,-4.641994953155518,40,0.0003,-1.876511239198347,-0.013656754978001118
5483,200.0,294912,6,53,0.0,-0.0070680793612761285,2.5385513240235485e-06,0.2,0.111328125,0.014839294,-4.829735279083252,50,0.0003,-1.8653381609047452,-0.000570755684748292
5406,195.32,344064,7,63,0.0,-0.006444634888248401,1.731528725083346e-06,0.2,0.12082112630208333,0.014366274,-3.090365409851074,60,0.0003,-1.838996127496163,-0.004516396671533585
5349,194.7,393216,8,73,0.0,-0.006861368196223338,1.3778313266321617e-06,0.2,0.14491373697916668,0.01643254,-2.4626824855804443,70,0.0003,-1.8102751710762581,-0.0017175825778394938
5302,198.42,442368,9,83,0.0,-0.005105504552890731,1.2102585796647246e-06,0.2,0.0909423828125,0.009442325,-3.123493194580078,80,0.0003,-1.786125988389055,-0.008111754432320595
5265,198.76,491520,10,93,0.0,-0.006367596538439102,6.234721531273024e-07,0.2,0.12335205078125,0.012473713,-2.890570878982544,90,0.0003,-1.782498411089182,-0.014195783995091915
5232,196.12,540672,11,103,0.0,-0.006707505685274858,8.054907237801482e-07,0.2,0.100286865234375,0.009947294,-3.1899352073669434,100,0.0003,-1.7391935342301925,-0.02067117765545845
5206,198.87,589824,12,113,0.0,-0.004082420364435772,5.135239936757685e-05,0.2,0.086761474609375,0.010005393,-0.014864444732666016,110,0.0003,-1.7194881894315281,-0.012815437279641628
5184,197.24,638976,13,123,0.0,-0.008884626109829697,1.9354299792162523e-06,0.2,0.17249552408854166,0.01817182,-3.685915470123291,120,0.0003,-1.7005619613453746,-0.006542500574141741
5167,197.47,688128,14,133,0.0,-0.006640571500126194,4.791528943629923e-06,0.2,0.12301025390625,0.011448783,-0.17501306533813477,130,0.0003,-1.6765086269627014,0.004203720483928919
5154,194.99,737280,15,143,0.0,-0.008315763140975227,7.536383845874184e-07,0.2,0.11288045247395834,0.013110631,-3.5347232818603516,140,0.0003,-1.7050441446403661,-0.011987746693193913
5145,193.51,786432,16,152,0.0,-0.005729564945492409,2.77029203244498e-05,0.2,0.10499674479166667,0.011170615,-0.014732956886291504,150,0.0003,-1.6683332721392314,-0.00035812309943139553
5137,197.54,835584,17,162,0.0,-0.008332491283969528,7.291016662266022e-07,0.2,0.13869222005208334,0.014898356,-3.908771514892578,160,0.0003,-1.6165735920891167,-0.01060932595282793
5131,197.14,884736,18,172,0.0,-0.00981797549162972,5.428125130787127e-07,0.2,0.13956298828125,0.026035696,-4.187596797943115,170,0.0003,-1.6104586706807216,-0.0252769086509943
5125,196.91,933888,19,182,0.0,-0.0061690625833459006,1.6400058845622567e-05,0.2,0.09078572591145834,0.00978166,-0.021197915077209473,180,0.0003,-1.61160292023172,-0.0015747493598610163
5116,197.37,983040,20,192,0.0,-0.008667961952293505,9.612577025179074e-07,0.2,0.08842976888020833,0.010329379,-4.293453693389893,190,0.0003,-1.598106588733693,-0.01779191754758358
5110,193.14,1032192,21,201,0.0,-0.007003129083993069,8.765265916939786e-07,0.2,0.10224609375,0.010172426,-2.714714765548706,200,0.0003,-1.5917588607718547,-0.006148605141788721
5103,194.26,1081344,22,211,0.0,-0.007384930096486641,5.997321359455891e-07,0.2,0.09512532552083333,0.009803165,-2.619868040084839,210,0.0003,-1.5999352175121506,-0.004267744719982147
5099,195.13,1130496,23,221,0.0,-0.009059868397404596,6.141000756132442e-07,0.2,0.121160888671875,0.011260405,-1.5773568153381348,220,0.0003,-1.577255918458104,-0.022430621087551117
5096,195.87,1179648,24,231,0.0,-0.010062687864289425,5.321508328437474e-07,0.2,0.1252685546875,0.01620713,-3.216740608215332,230,0.0003,-1.5447963328411183,-0.005057898350059986
5094,196.91,1228800,25,241,0.0,-0.00959555721504633,5.339009762591236e-07,0.2,0.12822672526041667,0.013350084,-2.7991654872894287,240,0.0003,-1.533906270749867,-0.018887490034103394
5094,196.0,1277952,26,250,0.0,-0.009874005338679126,4.1718646112502235e-07,0.2,0.14353230794270833,0.014646848,-4.416782855987549,250,0.0003,-1.5115475293869773,-0.006897617597132921
5095,200.0,1327104,27,260,0.0,-0.009890638406371484,3.2298706059326795e-07,0.2,0.16176350911458334,0.015241895,-2.438481092453003,260,0.0003,-1.4837585814918082,-0.02408480830490589
