#{"t_start": 1772723351.8076093, "env_id": "None"}
r,l,t
0.0,12,0.595719
0.0,21,0.619995
0.8361111,59,0.715693
0.8277778,62,0.723784
0.82222223,64,0.729003
0.6944444,110,0.844076
0.71944445,101,0.851673
0.0,52,0.859604
0.65555555,124,0.879741
0.6527778,125,0.882304
0.65,126,0.884817
0.7888889,76,0.90782
0.0,3,0.91598
0.58055556,151,0.948505
0.5777778,152,0.951202
0.62777776,134,0.959269
0.5388889,166,0.986256
0.53333336,168,0.991606
0.0,32,0.997056
0.51944447,173,1.00488
0.45833334,195,1.060234
0.80277777,71,1.065545
0.43611112,203,1.081152
0.43611112,203,1.081164
0.40833333,213,1.272057
0.40555555,214,1.284685
0.0,11,1.402896
0.64444447,128,1.566519
0.31111112,248,1.68327
0.6472222,127,1.718364
0.0,84,1.730577
0.7027778,107,1.801225
0.0,35,1.813235
0.0,12,1.82536
0.425,207,1.93103
0.25,270,1.942743
0.90555555,34,1.966391
0.0,24,2.104384
0.6166667,138,2.173428
0.48055556,187,2.291244
0.13611111,311,2.4241
0.0,65,2.495353
0.0,9,2.530373
0.575,153,2.565407
0.0,324,2.577411
0.0,324,2.577432
0.475,189,2.806541
0.7583333,87,2.818105
0.0,83,2.899358
0.4611111,194,3.072149
0.73333335,96,3.083616
0.6527778,125,3.176285
0.50277776,179,3.176318
0.0,41,3.292755
0.44166666,201,3.500314
0.22222222,280,3.512002
0.0,67,4.300846
0.7361111,95,4.32181
0.29722223,253,4.321823
0.5555556,160,4.321828
0.7083333,105,4.348382
0.0,48,4.361869
0.108333334,321,4.36974
0.0,11,4.391146
0.6944444,110,4.43448
0.25833333,267,4.455545
0.0,153,4.455557
0.73055553,97,4.463137
0.65555555,124,4.532641
0.35833332,231,4.570312
0.0,324,4.580308
0.76944447,83,4.603283
0.0,324,4.628962
0.0,130,4.657044
0.62222224,136,4.672743
0.28333333,258,4.680135
0.5833333,150,4.708111
0.13333334,312,4.740648
0.5,180,4.763263
0.65555555,124,4.771279
0.0,18,4.809286
0.0,324,4.821785
0.4722222,190,4.83461
0.0,22,4.866037
0.45555556,196,4.871468
0.6638889,121,4.889155
0.0,324,4.899506
0.10555556,322,4.902193
0.18611111,293,4.938724
0.24722221,271,4.979183
0.65555555,124,4.987133
0.0,324,5.020677
0.0,53,5.033659
0.0,21,5.033671
0.0,6,5.049732
0.0,74,5.060285
0.56666666,156,5.078276
0.65833336,123,5.086366
0.0,77,5.086379
0.475,189,5.112179
0.0,324,5.114633
0.5361111,167,5.134933
0.0,62,5.148336
0.4611111,194,5.153671
0.22777778,278,5.166882
0.0,12,5.180192
0.0,121,5.2138
0.0,324,5.263671
0.55,162,5.281427
0.25555557,268,5.28914
0.0,324,5.291693
0.0,48,5.302284
0.3888889,220,5.304736
0.45,198,5.330044
0.0,324,5.359904
0.4027778,215,5.385564
0.0,324,5.398246
0.8333333,60,5.416413
0.58055556,151,5.436643
0.6166667,138,5.439459
0.5861111,149,5.442229
0.6611111,122,5.447413
0.64166665,129,5.496613
0.57222223,154,5.547269
0.41666666,210,5.559679
0.50555557,178,5.567188
0.69166666,111,5.574788
0.45555556,196,5.580106
0.69166666,111,5.585405
0.7972222,73,5.602989
0.56666666,156,5.610899
0.69166666,111,5.61368
0.0,19,5.616328
0.2638889,265,5.61889
0.6527778,125,5.624315
0.0,90,5.630029
0.71944445,101,5.645475
0.3472222,235,5.716278
0.68333334,114,5.731656
0.5861111,149,5.741684
0.275,261,5.754465
0.63611114,131,5.772267
0.7083333,105,5.827762
0.0,84,5.842626
0.74444443,92,5.845332
0.7416667,93,5.855513
0.0,324,5.862992
0.36944443,227,5.868218
0.7,108,5.898342
0.0,15,5.906485
0.31111112,248,5.913782
0.60833335,141,5.943429
0.59166664,147,5.953478
0.42222223,208,5.971322
0.6027778,143,5.979096
0.40833333,213,5.989316
0.62777776,134,6.090846
0.50555557,178,6.093566
0.73055553,97,6.156901
0.64166665,129,6.169892
0.0,8,6.177667
0.76944447,83,6.18028
0.66944444,119,6.198267
0.21944444,281,6.208244
0.7138889,103,6.213327
0.28055555,259,6.270203
0.0,119,6.280132
0.0,35,6.288356
0.39444444,218,6.293748
0.18333334,294,6.293761
0.5222222,172,6.299047
0.3638889,229,6.312012
0.5,180,6.312025
0.59444445,146,6.314964
0.46666667,192,6.314976
0.0,13,6.328627
0.0,94,6.333853
0.0,8,6.354627
0.14166667,309,6.362203
0.0,37,6.367874
0.0,68,6.391321
0.0,44,6.42684
0.0,324,6.429495
0.425,207,6.434855
0.0,4,6.445693
0.0,11,6.458536
0.2888889,256,6.497782
0.0,61,6.525053
0.0,44,6.540817
0.0,324,6.543458
0.16111112,302,6.54347
0.5138889,175,6.546159
0.39166668,219,6.551858
0.725,99,6.572472
0.0,25,6.607671
0.8333333,60,6.612838
0.6888889,112,6.652069
0.5833333,150,6.702229
0.41666666,210,6.71236
0.51944447,173,6.728204
0.5277778,170,6.733301
0.5888889,148,6.735931
0.0,81,6.75399
0.48333332,186,6.769001
0.8666667,48,6.835672
0.50277776,179,6.851253
0.65833336,123,6.856712
0.8611111,50,6.856724
0.73055553,97,6.856729
0.0,12,6.867235
0.65833336,123,6.867247
0.28611112,257,6.872572
0.0,30,6.93327
0.5277778,170,6.933283
0.0,4,6.943749
0.5833333,150,6.956627
0.75555557,88,6.995325
0.61388886,139,7.008365
0.0,324,7.014096
0.0,324,7.017235
0.69166666,111,7.039678
0.19444445,290,7.060983
0.6111111,140,7.096783
0.0,30,7.116697
0.0,324,7.134652
0.0,324,7.163246
0.4861111,185,7.178912
0.38055557,223,7.186489
0.71666664,102,7.206623
0.76944447,83,7.229872
0.0,324,7.277805
0.20277777,287,7.280603
0.67777777,116,7.293046
0.0,9,7.30315
0.0,56,7.305821
0.38055557,223,7.305831
0.71944445,101,7.319051
0.5083333,177,7.321812
0.6027778,143,7.324719
0.50277776,179,7.332457
0.0,324,7.358198
0.0,67,7.35821
0.0,15,7.363901
0.6666667,120,7.405124
0.0,36,7.412983
0.0,20,7.415558
0.525,171,7.45374
0.51111114,176,7.461672
0.63055557,133,7.476666
0.0,16,7.494707
0.30833334,249,7.49746
0.7138889,103,7.557903
0.0,54,7.597131
0.5972222,145,7.600006
0.58055556,151,7.663767
0.60555553,142,7.669012
0.119444445,317,7.669024
0.0,324,7.681909
0.0,324,7.6973
0.6111111,140,7.715945
0.5416667,165,7.725654
0.41944444,209,7.741196
0.0,324,7.765186
0.7138889,103,7.820243
0.41944444,209,7.841625
0.0,46,7.86001
0.49722221,181,7.867545
0.0,189,7.898749
0.7361111,95,7.914324
0.7277778,98,7.921682
0.0,324,7.947873
0.61388886,139,7.958715
0.8833333,42,7.977102
0.31666666,246,7.990282
0.0,67,7.995754
0.0,324,8.011369
0.0,65,8.01138
0.24166666,273,8.035327
0.0,33,8.03534
0.61388886,139,8.059142
0.5138889,175,8.134684
0.41111112,212,8.144702
0.0,324,8.155343
0.22222222,280,8.216251
0.0,64,8.221689
0.49444443,182,8.234286
0.78055555,79,8.23705
0.17222223,298,8.242545
0.0,324,8.245441
0.18611111,293,8.248022
0.60833335,141,8.26354
0.73888886,94,8.276414
0.85,54,8.284058
0.0,22,8.304004
0.65,126,8.314162
0.51111114,176,8.314174
0.0,35,8.327346
0.55833334,159,8.33257
0.0,12,8.335429
0.0,10,8.340793
0.0,24,8.345955
0.62222224,136,8.345966
0.71666664,102,8.397292
0.0,24,8.407629
0.18333334,294,8.422517
0.7583333,87,8.45894
0.19444445,290,8.474284
0.175,297,8.482406
0.3888889,220,8.482418
0.725,99,14.389018
0.79444444,74,14.394279
0.62777776,134,14.397176
0.3611111,230,14.411104
0.6944444,110,14.439155
0.6166667,138,14.442005
0.46666667,192,14.461789
0.6111111,140,14.489769
0.0,43,14.518853
0.57222223,154,14.557455
0.0,53,14.560173
0.15555556,304,14.563085
0.475,189,14.571463
0.55277777,161,14.571476
0.42222223,208,14.574123
0.0,324,14.637615
0.12222222,316,14.651858
0.0,10,14.680083
0.34166667,237,14.682845
0.53333336,168,14.685906
0.75277776,89,14.691832
0.5388889,166,14.719597
0.68333334,114,14.757555
0.51944447,173,14.763284
0.7916667,75,14.772044
0.0,5,14.777602
0.71666664,102,14.802242
0.19444445,290,14.807978
0.74444443,92,14.829681
0.43333334,204,14.848953
0.60833335,141,14.881634
0.6861111,113,14.884668
0.65,126,14.920785
0.4722222,190,14.923717
0.7416667,93,14.937387
0.325,243,14.949105
0.7777778,80,14.97899
0.40833333,213,14.981809
0.18333334,294,15.017236
0.0,89,15.017249
0.0,324,15.020128
0.80277777,71,15.045157
0.4027778,215,15.059341
0.55,162,15.087076
0.5861111,149,15.095827
0.73055553,97,15.098814
0.8333333,60,15.183522
