time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,shield/stage,shield/delta,shield/transition_timestep
49152,238.85,7,6918,1,0.0709642842411995,,,,,,,,,,,,,
98304,228.05,17,5507,2,0.11253571510314941,-0.06461679935455322,0.0003,0.014134990982711315,0.2,0.011771433,0.0007435881933531618,0.05832722981770833,-1.9372415794059634,10,-0.0027577088607358747,,,
147456,192.61,28,5207,3,0.2435714155435562,0.3174007534980774,0.0003,-0.023081541061401367,0.2,0.010900758,0.0018742620888739718,0.12450154622395833,-1.9150200258319576,20,-0.007457063192972176,,,
196608,149.57,38,5078,4,0.4110356867313385,0.4303448796272278,0.0003,-0.009313447400927544,0.2,0.011480235,0.003891963678082296,0.14388834635416667,-1.8830840318774185,30,-0.010289833100008158,,,
245760,114.9,49,4990,5,0.5768214464187622,0.5215030312538147,0.0003,-0.008519952185451984,0.2,0.011853982,0.006898640644188466,0.16002197265625,-1.8443024391929308,40,-0.013014544115382403,,,
294912,83.79,59,4927,6,0.6810714602470398,0.5835963487625122,0.0003,-0.00685030547901988,0.2,0.0122749405,0.009150730344117619,0.175970458984375,-1.7807171339169146,50,-0.014980136365799505,,,
344064,66.74,70,4874,7,0.7517499327659607,0.6380465030670166,0.0003,-0.018014783039689064,0.2,0.014471081,0.011299111177261996,0.20098876953125,-1.7021374571447572,60,-0.017109293716809287,,,
393216,51.08,81,4813,8,0.7978571057319641,0.6720465421676636,0.0003,-0.006859632674604654,0.2,0.014634397,0.012182442738170115,0.23447469075520833,-1.5726130650068322,70,-0.020690929489137488,,,
442368,45.88,92,4759,9,0.8167857527732849,0.6575813293457031,0.0003,-0.011257056146860123,0.2,0.017013116,0.011015269758354406,0.23855387369791667,-1.4232303503900767,80,-0.018788204960340713,,,
491520,39.43,104,4711,10,0.8394285440444946,0.6369244456291199,0.0003,-0.007540492806583643,0.2,0.015759794,0.008781730044574942,0.21872762044270833,-1.272495000374814,90,-0.016285218200452315,,,
540672,35.79,118,4568,11,0.8638927936553955,0.6250686645507812,0.0003,-0.008173118345439434,0.2,0.013931992,0.0058834016616553225,0.17688802083333333,-1.1142152454704046,100,-0.012291407149192916,,,
589824,31.99,129,4541,12,0.8564643263816833,0.6122571229934692,0.0003,-0.009242083877325058,0.2,0.009008454,0.0046447634775783325,0.13448079427083334,-0.990828000040104,110,-0.009325148857412084,,,
638976,30.46,141,4517,13,0.8912143111228943,0.5968121886253357,0.0003,-0.0026164655573666096,0.2,0.0076546613,0.004012681350165318,0.11505533854166666,-0.8737037836263577,120,-0.008424499560775681,,,
688128,31.04,153,4495,14,0.8692858219146729,0.6319841146469116,0.0003,0.004493113607168198,0.2,0.005960332,0.0031517128925770523,0.09070638020833334,-0.7745243335763613,130,-0.006224202326848172,,,
737280,28.67,164,4476,15,0.867821455001831,0.5692087411880493,0.0003,-0.014017591252923012,0.2,0.0059753214,0.0035384750740680222,0.08277994791666667,-0.7028601206528644,140,-0.0053692274734809566,,,
786432,29.82,176,4459,16,0.8934999704360962,0.587496280670166,0.0003,-0.010896880179643631,0.2,0.0043392894,0.003053505499095384,0.055810546875,-0.6280062827902536,150,-0.0030601592940001864,,,
835584,28.75,188,4444,17,0.8973214626312256,0.5791661143302917,0.0003,-0.0020877537317574024,0.2,0.0042932364,0.0029319613365563174,0.05734456380208333,-0.5681518729620924,160,-0.0031670323448148943,,,
884736,28.26,199,4430,18,0.889214277267456,0.5909018516540527,0.0003,-0.005787555128335953,0.2,0.0035312483,0.0027207931267184903,0.0493408203125,-0.532705407962203,170,-0.002568866969765319,,,
933888,28.38,211,4416,19,0.8887143731117249,0.6038913130760193,0.0003,-0.007358270697295666,0.2,0.003531345,0.002555581958949915,0.041035970052083336,-0.49041104164595406,180,-0.0022327668501626857,,,
983040,27.6,225,4360,20,0.8816072344779968,0.5666916370391846,0.0003,-0.004921616520732641,0.2,0.0040215417,0.0027508971071559547,0.0415283203125,-0.4531397349511584,190,-0.002459057046750483,,,
1032192,27.71,239,4312,21,0.881178617477417,0.5871782898902893,0.0003,0.001588143641129136,0.2,0.0038600515,0.00253974897259468,0.035654703776041664,-0.4228047505797197,200,-0.0017253019759664312,0,0.8,1000008
1081344,27.74,250,4309,22,0.8812857866287231,0.5688668489456177,0.0003,0.0018851495115086436,0.2,0.004490799,0.0027928878565338286,0.047369384765625,-0.38806210608842473,210,-0.0024147527083187015,,,
1130496,28.0,262,4305,23,0.8901429772377014,0.5800361633300781,0.0003,0.002646674634888768,0.2,0.0034500689,0.0025926916071208933,0.03249715169270833,-0.36406326956736546,220,-0.0021389867762385013,,,
1179648,26.67,274,4303,24,0.9047499895095825,0.553429126739502,0.0003,-0.005142320413142443,0.2,0.0040568,0.0028391102604776583,0.032210286458333334,-0.3421553873922676,230,-0.0023259796612668045,,,
1228800,27.0,285,4304,25,0.8840000033378601,0.5695264339447021,0.0003,-0.0009425150346942246,0.2,0.0033853378,0.002540267669307165,0.027262369791666668,-0.3078324000351131,240,-0.001235820028462816,,,
1277952,27.5,296,4306,26,0.901785671710968,0.5102638006210327,0.0003,-0.0017108684405684471,0.2,0.0023487154,0.003280489571625367,0.02510986328125,-0.2821138745406643,250,-0.0015128683879083837,,,
1327104,27.31,308,4308,27,0.8826428055763245,0.5395703315734863,0.0003,-0.008324543945491314,0.2,0.0022208577,0.0028663521100194583,0.023099772135416665,-0.2831144161755219,260,-0.001172562712660389,,,
