time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,shield/stage,shield/delta,shield/transition_timestep
49152,60.56,7,6751,1,0.586746096611023,,,,,,,,,,,,,
98304,53.98,18,5354,2,0.6260467767715454,-0.002836942672729492,0.0003,0.0035876724869012833,0.2,0.015565269,0.01215706378983062,0.128179931640625,-1.9313159421086312,10,-0.009382304008734839,,,
147456,41.67,29,4989,3,0.6607812643051147,0.693985104560852,0.0003,0.0010146568529307842,0.2,0.016436547,0.013583700554833437,0.18822021484375,-1.8937523614615202,20,-0.018357544452616517,,,
196608,36.97,40,4802,4,0.6793438196182251,0.6846555471420288,0.0003,-0.018561922013759613,0.2,0.014702265,0.01444582906648672,0.196722412109375,-1.8343827755500872,30,-0.020001083247613374,,,
245760,30.79,52,4683,5,0.7531249523162842,0.6076080799102783,0.0003,-0.013785740360617638,0.2,0.013881456,0.014390590951855605,0.1874267578125,-1.754682026679317,40,-0.01639515154674882,,,
294912,26.5,64,4599,6,0.7405624985694885,0.5660647749900818,0.0003,-0.006692000199109316,0.2,0.012870945,0.012888164555139763,0.17684529622395834,-1.663864895949761,50,-0.013163119305803168,,,
344064,26.3,75,4535,7,0.7992616295814514,0.5036686658859253,0.0003,0.0042879777029156685,0.2,0.010814403,0.01359007715533759,0.15301106770833334,-1.5794761973743638,60,-0.009405334740282949,,,
393216,21.2,87,4482,8,0.6990898847579956,0.44439053535461426,0.0003,-0.016170067712664604,0.2,0.011338002,0.012197061347857622,0.1524658203125,-1.5001892864704132,70,-0.0076616621801197955,,,
442368,21.39,99,4441,9,0.728527307510376,0.4010711908340454,0.0003,-0.002181638963520527,0.2,0.010236227,0.013766232094349106,0.134375,-1.4059788066272934,80,-0.005401828538803481,,,
491520,21.62,111,4404,10,0.8153632879257202,0.36689430475234985,0.0003,0.01086190715432167,0.2,0.010465589,0.014068203722854378,0.11690877278645834,-1.3355481043457984,90,-0.004428500728984848,,,
540672,18.97,126,4286,11,0.746015727519989,0.3263040781021118,0.0003,-0.0007384978234767914,0.2,0.008146344,0.015432268941610042,0.08806966145833334,-1.2778752423201998,100,-0.0031105161981031413,,,
589824,19.75,138,4256,12,0.7839766144752502,0.32028698921203613,0.0003,-0.003857742063701153,0.2,0.008177699,0.015331285667586295,0.08459269205729167,-1.2272429744402567,110,-0.002407758781434192,,,
638976,18.89,151,4230,13,0.7074570655822754,0.29974550008773804,0.0003,0.0017372705042362213,0.2,0.007823841,0.017492489320769286,0.080889892578125,-1.1906705581893524,120,-0.0025972150815202137,,,
688128,18.35,163,4205,14,0.7570351958274841,0.3132619261741638,0.0003,-0.0006383974105119705,0.2,0.008431631,0.01681134417206825,0.08076578776041667,-1.1461153104280433,130,-0.002705391870100963,,,
737280,20.54,175,4194,15,0.7905313372612,0.308871865272522,0.0003,0.00234400387853384,0.2,0.0074824025,0.01578749157876397,0.06401163736979167,-1.10647137388587,140,-0.0019298282835734427,,,
786432,18.22,187,4185,16,0.7774921655654907,0.30457913875579834,0.0003,0.006500608287751675,0.2,0.0072359294,0.01648236475775775,0.06812947591145833,-1.0779210709656277,150,-0.0019268631007435034,,,
835584,17.16,200,4176,17,0.7325195074081421,0.2853606343269348,0.0003,0.017657369375228882,0.2,0.006814799,0.017858866970588375,0.0625244140625,-1.0605342882374922,160,-0.001737639954808401,,,
884736,17.76,212,4169,18,0.7498828172683716,0.30147260427474976,0.0003,0.006312157027423382,0.2,0.0071715787,0.01645294192591488,0.060662841796875,-1.0298843041683237,170,-0.0021567610263446115,,,
933888,19.29,224,4164,19,0.8338358998298645,0.2910793423652649,0.0003,0.014384370297193527,0.2,0.0060315016,0.017042554974614176,0.05069173177083333,-0.9996418851738175,180,-0.0011039263585795804,,,
