time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
6180,49152,0.43186110258102417,1,167.63,7,,,,,,,,,,,,,
5068,98304,0.4789167046546936,2,131.95,19,10,-0.005188945953038152,0.2,0.014401791,0.0003,-1.9330221323296428,0.006641955489612883,-0.0011987388134002686,-0.03228592872619629,0.076361083984375,,,
4757,147456,0.5102499723434448,3,99.36,30,20,-0.006134068464780285,0.2,0.014585316,0.0003,-1.890348760659496,0.008796511424103906,0.0036366432905197144,0.5072981119155884,0.07398478190104167,,,
4617,196608,0.5698055624961853,4,109.81,42,30,-0.0078075625468045475,0.2,0.011475481,0.0003,-1.8445954245204728,0.010679502006920909,-0.014138509519398212,0.6224746704101562,0.10295003255208333,,,
4519,245760,0.6422777771949768,5,86.28,54,40,-0.010052671060596671,0.2,0.013071421,0.0003,-1.7783120749518275,0.011363566910101023,0.0003669513389468193,0.6517143249511719,0.12681477864583332,,,
4449,294912,0.681222140789032,6,70.46,66,50,-0.007909418891358655,0.2,0.0107716,0.0003,-1.7053612299263476,0.01280554418626707,-0.006458311341702938,0.6656055450439453,0.10721638997395834,,,
4393,344064,0.680972158908844,7,66.96,78,60,-0.008596436308107514,0.2,0.0106360605,0.0003,-1.61702819801867,0.012736417063085053,0.0036138780415058136,0.6693482398986816,0.11372884114583333,,,
4349,393216,0.6873056888580322,8,58.35,90,70,-0.007337335047062273,0.2,0.010499771,0.0003,-1.5314322343096136,0.012734026379863888,0.0024616308510303497,0.6357609033584595,0.10549519856770834,,,
4303,442368,0.7097500562667847,9,56.12,102,80,-0.006988735930675224,0.2,0.010713771,0.0003,-1.4524997542922695,0.011413291583206349,0.0014729262329638004,0.6416406035423279,0.10546671549479167,,,
4257,491520,0.7232221961021423,10,54.63,115,90,-0.005467922691968852,0.2,0.009697021,0.0003,-1.3514239344745875,0.011682831948564853,-0.004313142504543066,0.6299560070037842,0.094512939453125,,,
