#{"t_start": 1772728466.5908911, "env_id": "None"}
r,l,t
0.42142856,162,0.374996
0.0,176,0.406636
0.11071429,249,0.879671
0.0,252,0.910751
0.0,252,0.910772
0.0,252,0.910778
0.0,252,0.910782
0.0,252,0.910785
0.0,252,0.910788
0.0,252,0.910791
0.0,252,0.910794
0.0,252,0.910798
0.0,252,0.910801
0.0,252,0.910804
0.0,252,0.910807
0.0,252,0.91081
0.0,252,0.910813
0.0,252,0.910817
0.0,252,0.91082
0.0,252,0.910823
0.0,252,0.910825
0.0,252,0.910828
0.0,252,0.910831
0.0,252,0.910834
0.0,7,0.981468
0.4892857,143,1.576505
0.0,252,3.100636
0.0,252,3.294708
0.0,252,3.302601
0.0,252,3.302613
0.0,252,3.302618
0.0,252,3.302622
0.0,252,3.302625
0.0,252,3.302628
0.0,252,3.302631
0.0,252,3.302634
0.0,252,3.302636
0.0,252,3.302639
0.0,252,3.302642
0.0,252,3.302644
0.0,252,3.302647
0.0,252,3.302649
0.0,252,3.302652
0.0,252,3.302655
0.0,252,3.302657
0.0,252,3.30266
0.0,252,3.302663
0.0,252,3.302665
0.0,252,3.320694
0.0,252,3.45558
0.525,133,3.604471
0.0,252,3.670828
0.40357143,167,3.682904
0.35,182,3.716364
0.18214285,229,3.837183
0.0,252,3.866672
0.10714286,250,3.86895
0.0,252,3.874401
0.0,252,3.874413
0.0,252,3.874417
0.0,252,3.87442
0.0,252,3.874423
0.0,252,3.874426
0.0,252,3.874429
0.0,252,3.874432
0.0,252,3.874434
0.0,252,3.874437
0.0,252,3.87444
0.0,252,3.874443
0.0,252,3.874445
0.0,252,3.874448
0.0,252,3.874451
0.0,252,3.874453
0.0,252,4.02862
0.40714285,166,4.060752
0.0,252,4.178017
0.5107143,137,4.187931
0.14285715,240,4.217194
0.44642857,155,4.228535
0.0,252,4.289407
0.0,252,4.408056
0.0,252,4.438102
0.0,252,4.440476
0.0,252,4.445799
0.0,252,4.44581
0.0,252,4.445815
0.0,252,4.445818
0.0,252,4.445821
0.0,252,4.445824
0.0,252,4.445827
0.0,252,4.445829
0.0,252,4.445832
0.0,252,4.445834
0.0,252,4.445837
0.0,252,4.445839
0.0,252,4.445842
0.0,252,4.445845
0.0,25,4.504039
0.38214287,173,4.57898
0.0,252,4.598934
0.0,252,4.631069
0.0,252,4.746105
0.0,252,4.783829
0.0,252,4.795168
0.0,252,4.855219
0.3392857,185,4.857793
0.0,252,4.975464
0.0,252,5.004789
0.0,252,5.012645
0.0,252,5.013352
0.0,252,5.013364
0.0,252,5.01337
0.0,252,5.013374
0.0,252,5.013378
0.0,252,5.013382
0.0,252,5.013386
0.0,252,5.013388
0.0,252,5.013391
0.0,252,5.013394
0.0,252,5.013396
0.0,252,5.013399
0.0,252,5.071157
0.47142857,148,5.118536
0.0,252,5.145176
0.0,252,5.165336
0.0,252,5.197055
0.0,252,5.313188
0.44642857,155,5.361875
0.0,252,5.361888
0.3892857,171,5.398112
0.0,252,5.423482
0.0,252,5.425878
0.31785715,191,5.437806
0.31785715,191,5.444841
0.17142858,232,5.536589
0.0,252,5.545833
0.0,252,5.58214
0.0,252,5.582153
0.0,252,5.582158
0.0,252,5.582162
0.0,252,5.582166
0.0,252,5.582169
0.0,252,5.582173
0.0,252,5.582176
0.0,252,5.582179
0.0,252,5.639046
0.18571429,228,5.659101
0.5928571,114,5.683738
0.0,252,5.685996
0.0,252,5.733118
0.0,252,5.764413
0.325,189,5.850371
0.0,252,5.881455
0.5,140,5.89745
0.0,252,5.931181
