time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
7222,49152,0.06514285504817963,1,236.53,6,,,,,,,,,,,,,
5699,98304,0.08882143348455429,2,226.09,17,10,-0.00186868672650841,0.2,0.010922652,0.0003,-1.9383059995869796,0.0004896487024344272,-0.0011035832576453686,-0.04295635223388672,0.03252766927083333,,,
5267,147456,0.2889285683631897,3,184.94,27,20,-0.005428673677912835,0.2,0.010508782,0.0003,-1.9214337976028522,0.0013838746277845834,-0.01730046607553959,0.28854477405548096,0.08598225911458333,,,
5109,196608,0.415964275598526,4,159.61,38,30,-0.009277907763438028,0.2,0.009811953,0.0003,-1.8919081029792626,0.0038453940314866486,-0.023260151967406273,0.40542781352996826,0.11095377604166666,,,
4995,245760,0.5695714354515076,5,109.73,49,40,-0.010907491597875681,0.2,0.011658162,0.0003,-1.8430324975401162,0.005819756064374815,-0.02043304219841957,0.49455636739730835,0.13782145182291666,,,
4945,294912,0.6678571105003357,6,90.3,59,50,-0.014887369293379986,0.2,0.012877454,0.0003,-1.7828904534379642,0.009627389860058125,-0.015989841893315315,0.5627963542938232,0.16953531901041666,,,
4893,344064,0.7368928790092468,7,68.83,70,60,-0.017393074697611154,0.2,0.01498263,0.0003,-1.7074906897420685,0.011748303050020089,-0.023899242281913757,0.6162731647491455,0.20774332682291666,,,
4845,393216,0.7960000038146973,8,54.34,81,70,-0.01799367720838442,0.2,0.014470894,0.0003,-1.5868351247782508,0.012774268887975873,-0.013158433139324188,0.6363556385040283,0.21130167643229167,,,
4801,442368,0.7996785640716553,9,42.61,92,80,-0.018690299652613856,0.2,0.01832419,0.0003,-1.4316098626703024,0.010724251387243082,-0.010335465893149376,0.6264514923095703,0.23160400390625,,,
4761,491520,0.8504286408424377,10,39.61,103,90,-0.016656500204529343,0.2,0.015205746,0.0003,-1.2724478798607985,0.008516039035506158,-0.01879003643989563,0.6250616312026978,0.21710611979166666,,,
4629,540672,0.8602856993675232,11,36.4,116,100,-0.012906841661606449,0.2,0.012882496,0.0003,-1.1223989882816872,0.005751527060419903,-0.01643858291208744,0.6362200975418091,0.17445271809895832,,,
4595,589824,0.8747499585151672,12,32.33,128,110,-0.009116421627853317,0.2,0.01045896,0.0003,-0.9893978469384214,0.004968242676113732,-0.0018408454488962889,0.5815224647521973,0.137139892578125,,,
4568,638976,0.8869286179542542,13,31.66,139,120,-0.007023231927450979,0.2,0.009583651,0.0003,-0.8825335011507074,0.004046126291965871,-0.016678031533956528,0.5752943754196167,0.12047322591145833,,,
4554,688128,0.8472857475280762,14,31.69,151,130,-0.0054735351709193,0.2,0.006829724,0.0003,-0.7800713976845145,0.004077957697275755,4.870584234595299e-05,0.5450130701065063,0.08949381510416667,,,
4539,737280,0.8942143321037292,15,29.62,162,140,-0.004542351637792308,0.2,0.005309626,0.0003,-0.7092457006064554,0.003906613208528142,0.0019209260353818536,0.546636700630188,0.07330525716145833,,,
4527,786432,0.8644999861717224,16,29.68,173,150,-0.003967029568533083,0.2,0.0053408206,0.0003,-0.6402607754804194,0.0030030220271025127,-0.0008081807754933834,0.5944811105728149,0.065667724609375,,,
4516,835584,0.8603571057319641,17,28.12,185,160,-0.002766831806729897,0.2,0.004419288,0.0003,-0.5860594934783876,0.0035151606035166575,-0.011444028466939926,0.5557135343551636,0.05550537109375,,,
4503,884736,0.8796427249908447,18,28.15,196,170,-0.002449272249759815,0.2,0.004402441,0.0003,-0.5303661131610473,0.003326644867047435,-0.011941971257328987,0.5506008863449097,0.049790445963541666,,,
4491,933888,0.8910000324249268,19,27.74,207,180,-0.002522887266786711,0.2,0.003940418,0.0003,-0.49629028141498566,0.0034496625995113087,0.005001910030841827,0.5229067206382751,0.04253336588541667,,,
4433,983040,0.8632856607437134,20,27.27,221,190,-0.0017765322293295564,0.2,0.003773351,0.0003,-0.4530474562353144,0.0030605367966927586,-0.0032269740477204323,0.5357754826545715,0.037322998046875,,,
4382,1032192,0.8955358266830444,21,26.47,235,200,-0.0021145776146113348,0.2,0.0027764153,0.0003,-0.4214723896080007,0.0028593009813145426,-0.0031742514111101627,0.566247820854187,0.034515380859375,1000008,0.2,0
4376,1081344,0.9004642367362976,22,27.87,247,210,-0.0011445705545459835,0.2,0.0023736155,0.0003,-0.3908567185513675,0.002828839064325924,0.0007717186817899346,0.5549676418304443,0.028365071614583334,,,
4374,1130496,0.8932499885559082,23,27.13,258,220,-0.001174461435827349,0.2,0.0027068127,0.0003,-0.37071301930894457,0.0028180213522621973,-0.0004356474382802844,0.5641915798187256,0.027866617838541666,,,
4365,1179648,0.8739643096923828,24,27.1,270,230,-0.0011757392571174327,0.2,0.0033463053,0.0003,-0.34232296895546216,0.0030149976983617913,-0.004469605162739754,0.5490782260894775,0.025990804036458332,,,
4358,1228800,0.8837141990661621,25,27.0,281,240,-0.0012061939405612065,0.2,0.0027653892,0.0003,-0.32759116613306105,0.0027456772041963024,-0.0012472254456952214,0.5506037473678589,0.024031575520833334,,,
4351,1277952,0.8838214874267578,26,27.03,293,250,-0.0014421749344971128,0.2,0.0025984787,0.0003,-0.30825026067905126,0.002378787872172931,0.0028654823545366526,0.5878348350524902,0.02725830078125,,,
4344,1327104,0.9075000286102295,27,25.9,305,260,-0.0008271994828040382,0.2,0.0021848327,0.0003,-0.3017570192615191,0.002522204340493772,-0.0033866395242512226,0.5725400447845459,0.020660400390625,,,
4339,1376256,0.846714198589325,28,26.29,317,270,-0.0012828654143352955,0.2,0.0024794608,0.0003,-0.2984306497809788,0.002642273629680858,0.003063355339691043,0.5508863925933838,0.02445068359375,,,
4333,1425408,0.865428626537323,29,26.92,328,280,-0.001472854292175422,0.2,0.002967365,0.0003,-0.2883348295154671,0.0027401576369205333,-0.0067387111485004425,0.5558325052261353,0.023063151041666667,,,
4328,1474560,0.8924999833106995,30,27.32,340,290,-0.0009074490647738761,0.2,0.0027730055,0.0003,-0.2805724832462147,0.0028500863313335382,-0.00026677746791392565,0.5435217618942261,0.018707275390625,,,
4324,1523712,0.8824642896652222,31,27.36,352,300,-0.0009556286665125905,0.2,0.006573886,0.0003,-0.27718403305237493,0.003041113467043033,-0.0003571547567844391,0.5368372797966003,0.01943359375,,,
4321,1572864,0.8834642171859741,32,27.32,364,310,-0.001734184267904008,0.2,0.0029769621,0.0003,-0.2646458526762823,0.002856057168901316,0.0019074630690738559,0.5480421185493469,0.024434407552083332,,,
4320,1622016,0.8795357346534729,33,28.19,375,320,-0.0007859418658275293,0.2,0.0024729224,0.0003,-0.26379585239725806,0.003607067601054344,-0.002925241133198142,0.5010830760002136,0.020517985026041668,,,
4319,1671168,0.8897500038146973,34,28.09,386,330,-0.001380850508091195,0.2,0.0038402008,0.0003,-0.26728366179546964,0.00276659056465481,0.00539368623867631,0.5554456114768982,0.01787109375,,,
4319,1720320,0.8837857842445374,35,27.28,398,340,-0.001113662165638137,0.2,0.0032763353,0.0003,-0.2679281639788921,0.0029820531247120624,-0.002096563344821334,0.5435900092124939,0.019907633463541668,,,
4318,1769472,0.8691785335540771,36,25.83,409,350,-0.0015577291917603967,0.2,0.0028670758,0.0003,-0.2681169058429077,0.0029673309320666402,-0.011018128134310246,0.5216591358184814,0.0215576171875,,,
4318,1818624,0.9041785597801208,37,26.83,421,360,-0.001144285130794742,0.2,0.0024789323,0.0003,-0.2507788169508179,0.002683939206629778,-0.0009606032399460673,0.5607544779777527,0.017413330078125,,,
4318,1867776,0.8765000700950623,38,26.36,432,370,-0.0016888569730023543,0.2,0.0029073774,0.0003,-0.23142311887349934,0.0031300791625956965,0.010254055261611938,0.5291144847869873,0.023439534505208335,,,
4317,1916928,0.887321412563324,39,28.82,443,380,-0.0010407651501130506,0.2,0.0018230799,0.0003,-0.22467237018669645,0.003143101628302247,0.0009646160760894418,0.5178700089454651,0.016961669921875,,,
4317,1966080,0.9056070446968079,40,26.43,455,390,-0.0007663822777127886,0.2,0.006213712,0.0003,-0.21976288553172102,0.0029083430234095433,-0.0003875354304909706,0.5313979983329773,0.014485677083333334,,,
4293,2015232,0.8946784734725952,41,27.02,469,400,-0.0012949197789566824,0.2,0.0021595303,0.0003,-0.21175931118583927,0.002495265765537624,-0.004392461385577917,0.5821139812469482,0.018125406901041665,2000016,0.4,1
4289,2064384,0.9004284739494324,42,27.88,481,410,-0.0013488314285496016,0.2,0.0023993996,0.0003,-0.21705905250273644,0.002916996961236388,-0.005562721751630306,0.5425459146499634,0.016782633463541665,,,
4289,2113536,0.9025357961654663,43,27.29,492,420,-0.0010347533732177302,0.2,0.004037489,0.0003,-0.20489312820136546,0.0026621614043809434,0.00473738694563508,0.5655139684677124,0.01666259765625,,,
4289,2162688,0.8847857117652893,44,26.71,504,430,-0.0011012412672850283,0.2,0.0054399553,0.0003,-0.21042863603215664,0.003066849467662299,0.001870285952463746,0.5160003900527954,0.014593505859375,,,
4290,2211840,0.8771428465843201,45,26.4,515,440,-0.0012690882397995058,0.2,0.002997048,0.0003,-0.2293718408793211,0.00315927259119538,-0.009182540699839592,0.5180175304412842,0.019716389973958335,,,
4291,2260992,0.8641430139541626,46,26.97,526,450,-0.0012187336823747804,0.2,0.0033870589,0.0003,-0.2286298419814557,0.0033914305432820886,0.0018070669611915946,0.4917345643043518,0.0193603515625,,,
4291,2310144,0.8925356864929199,47,27.32,538,460,-0.0016223154755910703,0.2,0.002577251,0.0003,-0.22703099786303937,0.0029543284845203743,-0.008864263072609901,0.5273438096046448,0.020383707682291665,,,
4292,2359296,0.8797500729560852,48,28.16,549,470,-0.001575178009989031,0.2,0.0028571223,0.0003,-0.24692687607215097,0.0028762629157427,-0.002320305909961462,0.5413733720779419,0.021394856770833335,,,
4293,2408448,0.8973928689956665,49,28.73,561,480,-0.001767733192718879,0.2,0.0033824856,0.0003,-0.24587351640996832,0.0025645561994679157,0.0031540680211037397,0.5811121463775635,0.025439453125,,,
4293,2457600,0.8833571672439575,50,27.1,572,490,-0.0023402120096458626,0.2,0.002492916,0.0003,-0.23833272038027645,0.0030032942670004557,-0.008384470827877522,0.5337013602256775,0.027766927083333334,,,
4293,2506752,0.8806785345077515,51,27.88,583,500,-0.0008524279791648344,0.2,0.0015075952,0.0003,-0.22530803875997663,0.0027877080260926353,-0.0019062790088355541,0.5609850883483887,0.015346272786458334,,,
4294,2555904,0.8921785950660706,52,27.45,595,510,-0.00177121390170214,0.2,0.0030900885,0.0003,-0.22667363823081058,0.0029666339127288666,-0.010411886498332024,0.5456615686416626,0.025250244140625,,,
4294,2605056,0.8916429281234741,53,27.94,606,520,-0.0027858861791173694,0.2,0.0023942702,0.0003,-0.2288100914719204,0.002631399655607917,0.0002518871333450079,0.5565841197967529,0.028574625651041668,,,
4294,2654208,0.8663213849067688,54,29.12,618,530,-0.0027813660189470587,0.2,0.038073137,0.0003,-0.21912446495456,0.0027868755409751127,0.009465742856264114,0.5548898577690125,0.02264404296875,,,
4294,2703360,0.8819999694824219,55,27.5,629,540,-0.0028161110922762115,0.2,0.0030566826,0.0003,-0.27499069259501996,0.0026514658599505006,0.012234664522111416,0.5631407499313354,0.03306884765625,,,
4295,2752512,0.898642897605896,56,28.38,640,550,-0.0023957744942284384,0.2,0.0037505084,0.0003,-0.2604823073449855,0.0028422316207676584,-0.0003356652450747788,0.5547934770584106,0.03390299479166667,,,
4296,2801664,0.8729642629623413,57,27.37,652,560,-0.0020601193557013174,0.2,0.002903187,0.0003,-0.24917450142869105,0.00276245548799731,-0.0060148718766868114,0.5481246709823608,0.0236572265625,,,
4294,2850816,0.8936070799827576,58,27.01,663,570,-0.0022348710187846637,0.2,0.004096584,0.0003,-0.2452265338273719,0.003341966426887666,-0.005621618125587702,0.4963451623916626,0.029294840494791665,,,
4292,2899968,0.8978214859962463,59,28.61,675,580,-0.0015551740309698895,0.2,0.0025241736,0.0003,-0.2380778593942523,0.00246297955254704,0.0005456842482089996,0.5819963216781616,0.019620768229166665,,,
