time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,shield/transition_timestep,shield/ignore_prob,shield/stage
6926,49152,0.5987109541893005,1,62.06,7,,,,,,,,,,,,,
5419,98304,0.6328281164169312,2,57.0,18,10,-0.009033899279529578,0.2,0.014773947,0.0003,-1.931565797763566,0.01183337241091067,0.0009850263595581055,0.018146216869354248,0.10225423177083333,,,
5017,147456,0.6871211528778076,3,47.78,29,20,-0.020873269588507052,0.2,0.016780518,0.0003,-1.890564601061245,0.01507345920302517,-0.01639140024781227,0.6835381984710693,0.21862386067708334,,,
4819,196608,0.6998201608657837,4,32.32,40,30,-0.019177225780125203,0.2,0.014166574,0.0003,-1.8345729737853012,0.014673200008595207,-0.007191827055066824,0.6946976780891418,0.18949381510416666,,,
4692,245760,0.7144101858139038,5,28.74,52,40,-0.018921991111650036,0.2,0.015319052,0.0003,-1.755632554491361,0.014012093084844916,-0.01008148305118084,0.6091958284378052,0.22163492838541668,,,
4606,294912,0.7592265605926514,6,26.5,64,50,-0.014552979671013115,0.2,0.014259383,0.0003,-1.6656845344230533,0.01210261339826199,-0.0121120885014534,0.5742865800857544,0.20808919270833334,,,
4536,344064,0.7475234270095825,7,25.05,75,60,-0.010311380297450039,0.2,0.011907805,0.0003,-1.5678567588950196,0.012039285020364332,0.003826622851192951,0.47322309017181396,0.16345621744791666,,,
4482,393216,0.7986485362052917,8,23.46,87,70,-0.007933654422231484,0.2,0.01119176,0.0003,-1.47176749377201,0.014047775253614721,0.013148393481969833,0.4048451781272888,0.15297648111979167,,,
4422,442368,0.8307226300239563,9,23.08,100,80,-0.006104402247365215,0.2,0.010233105,0.0003,-1.4059352294852336,0.014198436227403969,0.0002065226435661316,0.3928212523460388,0.12767333984375,,,
4369,491520,0.7319726347923279,10,20.77,112,90,-0.004769503382522089,0.2,0.009052984,0.0003,-1.3328683868671456,0.013536858762866663,0.0006958791054785252,0.37431055307388306,0.11494344075520833,,,
4248,540672,0.7620429396629333,11,20.06,127,100,-0.0031294534271485946,0.2,0.007918277,0.0003,-1.2653712526584664,0.01649649879327626,0.008671876043081284,0.31871527433395386,0.09761149088541667,,,
4218,589824,0.7985626459121704,12,20.71,139,110,-0.002348796627484262,0.2,0.007868593,0.0003,-1.197726810661455,0.016008758365933316,-0.0019714832305908203,0.305372416973114,0.08647257486979167,,,
4197,638976,0.7569296956062317,13,18.88,152,120,-0.0017010507387264322,0.2,0.0073328973,0.0003,-1.1595551810537776,0.01445939848490525,0.012043370865285397,0.31585806608200073,0.07685139973958334,,,
