time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/policy_gradient_loss,shield_cutoff_timestep
7239,0.036249998956918716,49152,244.93,1,6,,,,,,,,,,,
5632,0.06475000083446503,98304,231.29,2,17,0.0003,0.2,-0.08313262462615967,-1.936413636493186,-0.008041175082325935,0.010392669,10,0.07811482747395833,0.00031998563079156385,-0.002965964648562173,
5215,0.16764286160469055,147456,207.15,3,28,0.0003,0.2,0.08956843614578247,-1.920999873119096,0.0008445307612419128,0.010005827,20,0.090277099609375,0.0010856773705540945,-0.004523475711721403,
5079,0.3836785852909088,196608,167.56,4,38,0.0003,0.2,0.28496575355529785,-1.8949907953540484,-0.0015331387985497713,0.009832438,30,0.120867919921875,0.0022049732098518384,-0.007394381734290315,
5001,0.5576428771018982,245760,120.89,5,49,0.0003,0.2,0.4429246783256531,-1.8596068555489182,-0.013708236627280712,0.009841436,40,0.137213134765625,0.004909484214173669,-0.009892857398396397,
4947,0.6588214039802551,294912,85.87,6,59,0.0003,0.2,0.5134795904159546,-1.7939900709937016,-0.0036175684072077274,0.012349359,50,0.15685017903645834,0.008412276810850017,-0.012720188876846806,
4905,0.6980000138282776,344064,66.03,7,70,0.0003,0.2,0.6245925426483154,-1.7027080749471983,-0.032160818576812744,0.0137909325,60,0.19894205729166667,0.011640703898350088,-0.016440154798328877,
4845,0.7696070671081543,393216,53.58,8,81,0.0003,0.2,0.6919170618057251,-1.5894976968566576,-0.0009558587335050106,0.014516175,70,0.23479817708333334,0.0115322143654339,-0.020953681344872167,
4789,0.8407142162322998,442368,44.6,9,92,0.0003,0.2,0.6838288307189941,-1.4411642231668036,-0.0344298779964447,0.016690776,80,0.27418416341145835,0.010273963439006668,-0.021343171875196278,
4740,0.8628928661346436,491520,38.39,10,103,0.0003,0.2,0.6643603444099426,-1.2637537062789004,-0.01694670505821705,0.02068208,90,0.25003662109375,0.007618481108996396,-0.01982700738844869,
4617,0.8593929409980774,540672,31.09,11,117,0.0003,0.2,0.6335229277610779,-1.095163580402732,0.00042936718091368675,0.017722702,100,0.211676025390625,0.005601567646711676,-0.014915513023879612,
4602,0.8626071214675903,589824,30.17,12,128,0.0003,0.2,0.6275760531425476,-0.955683906407406,-0.023889925330877304,0.011963735,110,0.17733561197916667,0.00427770984970266,-0.012118956594107052,
4581,0.8862500190734863,638976,29.07,13,139,0.0003,0.2,0.5638264417648315,-0.8370292326435447,-0.015237490646541119,0.008717717,120,0.1253662109375,0.004492041711576651,-0.008508464532496873,
4562,0.8773571252822876,688128,26.27,14,150,0.0003,0.2,0.5723391175270081,-0.7227716587483883,-0.01745346188545227,0.007089243,130,0.11927897135416667,0.003975791586769143,-0.00779506336269454,
4541,0.8754643201828003,737280,26.67,15,162,0.0003,0.2,0.5402872562408447,-0.6318031639792026,-0.007006165571510792,0.0056539862,140,0.08486124674479166,0.003813962893157926,-0.005139490305524911,
4520,0.8889999985694885,786432,25.93,16,173,0.0003,0.2,0.5644086599349976,-0.55392807405442,-0.01078204344958067,0.0054568094,150,0.07787068684895833,0.003329061648582865,-0.005047402007585333,
4503,0.9005714654922485,835584,25.06,17,185,0.0003,0.2,0.5407252311706543,-0.48621331732720136,-0.007448977790772915,0.0038474686,160,0.0587158203125,0.003268314592302583,-0.0036589609981698837,
4486,0.8837500214576721,884736,24.74,18,197,0.0003,0.2,0.48769789934158325,-0.4309753097128123,-0.012416061013936996,0.003451299,170,0.048170979817708334,0.0038369082438293846,-0.0025680450555834494,
4476,0.8635714054107666,933888,24.61,19,208,0.0003,0.2,0.4937838912010193,-0.38605400229183334,0.0054904865100979805,0.0033276554,180,0.043229166666666666,0.003863948280377372,-0.0024381093789391647,
4418,0.9012856483459473,983040,24.87,20,222,0.0003,0.2,0.5085170865058899,-0.3560736930929124,-0.00609038257971406,0.0030559332,190,0.04324137369791667,0.0039902516684984825,-0.0021580818913813954,
4366,0.8963571786880493,1032192,23.72,21,236,0.0003,0.2,0.5097718238830566,-0.32031675106845797,0.0005796807818114758,0.0031601593,200,0.029343668619791666,0.0036431546660120754,-0.0013432071937131695,
4357,0.8943571448326111,1081344,24.25,22,248,0.0003,0.2,0.4943247437477112,-0.30687783285975456,-0.002260014647617936,0.0029733088,210,0.028125,0.0038401236465991436,-0.0018869482528013275,
4347,0.8704286217689514,1130496,25.43,23,260,0.0003,0.2,0.48449957370758057,-0.28950180574320256,0.0019743761513382196,0.0033064112,220,0.026765950520833335,0.0037885127234403627,-0.001537917397460357,
4339,0.8917856812477112,1179648,24.76,24,271,0.0003,0.2,0.48800498247146606,-0.28308455049215503,-0.0012400367995724082,0.020202363,230,0.027520751953125,0.003687695515751936,-0.0016649238546960986,
4331,0.8780714273452759,1228800,26.1,25,283,0.0003,0.2,0.4507570266723633,-0.31582271597969036,-0.008716526441276073,0.005748061,240,0.04063720703125,0.004437936601849894,-0.003088701791299779,
4324,0.9049286842346191,1277952,24.05,26,295,0.0003,0.2,0.49132800102233887,-0.303705310743923,-0.010664625093340874,0.0042017642,250,0.036488850911458336,0.003885584554639839,-0.002331444772911103,
4317,0.9056786298751831,1327104,23.77,27,307,0.0003,0.2,0.525476336479187,-0.27823775657452643,0.003424764610826969,0.0054107527,260,0.033188883463541666,0.0033982269966751724,-0.0022608338712113134,
4311,0.886142909526825,1376256,23.76,28,319,0.0003,0.2,0.5301364064216614,-0.27421018448658285,0.0007165377028286457,0.0030520149,270,0.032552083333333336,0.003232617045250663,-0.002046630765410858,
4307,0.8843927979469299,1425408,24.32,29,330,0.0003,0.2,0.4695395827293396,-0.2529365281108767,0.003665299853309989,0.0025899338,280,0.027638753255208332,0.004254480564971648,-0.0015243281795240668,
4308,0.8863571286201477,1474560,24.09,30,342,0.0003,0.2,0.4787571430206299,-0.24131496310389292,0.003409943077713251,0.0033766124,290,0.024814860026041666,0.004043032253381777,-0.0015769064618628666,
4309,0.884107232093811,1523712,24.34,31,353,0.0003,0.2,0.5256856679916382,-0.22824030100212742,-0.0008119856938719749,0.005678239,300,0.025931803385416667,0.0034398263594387873,-0.0016066898412342805,
4310,0.8798571825027466,1572864,22.65,32,364,0.0003,0.2,0.5109769701957703,-0.20691911781517167,-0.0011401763185858727,0.0027385175,310,0.022393798828125,0.003439163062588098,-0.0013322458918385868,
4312,0.8863214254379272,1622016,23.58,33,376,0.0003,0.2,0.4954538345336914,-0.21492081518129755,-0.006560380570590496,0.003628296,320,0.022320556640625,0.003513095848757075,-0.0012817700208567354,
4313,0.8697856664657593,1671168,22.66,34,387,0.0003,0.2,0.5335261225700378,-0.21887748065249374,-0.0020800502970814705,0.002262576,330,0.023982747395833334,0.002971610304120986,-0.0013417737958661747,
4314,0.8687142729759216,1720320,23.11,35,398,0.0003,0.2,0.5081681609153748,-0.21999654524649184,-0.002074854914098978,0.0030406236,340,0.020001220703125,0.0033713037488875366,-0.001515789518392315,
4311,0.9046428203582764,1769472,24.15,36,410,0.0003,0.2,0.44384604692459106,-0.21320005890447646,0.005008443258702755,0.006089696,350,0.019167073567708335,0.004414697828057494,-0.0013706177928421918,
4307,0.8962142467498779,1818624,23.7,37,422,0.0003,0.2,0.47775930166244507,-0.20670643584647527,-0.002496258821338415,0.0030537162,360,0.016457112630208333,0.0037306958403254004,-0.0012042516640273484,
4302,0.8763214349746704,1867776,23.67,38,434,0.0003,0.2,0.4946851134300232,-0.20764053522919615,-0.013431509956717491,0.0030914464,370,0.020924886067708332,0.00363234294297096,-0.0014553817176420126,
4297,0.8723571300506592,1916928,24.78,39,446,0.0003,0.2,0.47997093200683594,-0.210700557854337,-0.006327677518129349,0.0022115225,380,0.021099853515625,0.003614552618576757,-0.001271014311411515,
4294,0.8539286255836487,1966080,22.04,40,457,0.0003,0.2,0.4183046817779541,-0.19967344008230914,0.004653993062674999,0.0025982673,390,0.019313557942708334,0.005172103023081339,-0.0014521356105130204,
4269,0.8903214931488037,2015232,25.43,41,472,0.0003,0.2,0.4839036464691162,-0.23091632373010118,-0.012967033311724663,0.012159313,400,0.028053792317708333,0.003914884816670868,-0.0011907587960801418,
