time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
7,6880,49152,1,82.61,0.024611109867691994,,,,,,,,,,
17,5667,98304,2,68.85,0.0029444443061947823,-0.0040606544353067875,-1.9379414514948925,10,0.0007086991403137214,0.0003,0.04105224609375,0.008688159,0.2,-0.041323065757751465,-0.0019019279743133666
27,5349,147456,3,70.35,0.003222222439944744,0.006582865957170725,-1.9225228980804483,20,0.000945489601904607,0.0003,0.058603922526041664,0.008919072,0.2,0.14652025699615479,-0.0026600573853102103
37,5233,196608,4,62.08,0.030166668817400932,0.009302884340286255,-1.8939508322005472,30,0.0009948156008249497,0.0003,0.07384033203125,0.010998194,0.2,0.21516680717468262,-0.002860122945276089
47,5183,245760,5,52.86,0.031694445759058,0.007561218924820423,-1.880448671368261,40,0.002043387912628229,0.0003,0.081280517578125,0.009656406,0.2,0.24383491277694702,-0.00377830723276323
57,5144,294912,6,49.67,0.029722223058342934,-0.010469331406056881,-1.851188618565599,50,0.0020692229745691293,0.0003,0.088848876953125,0.010309954,0.2,0.3327822685241699,-0.005482542889997906
67,5092,344064,7,76.18,0.09594444185495377,-0.006040469743311405,-1.8145208574831486,60,0.0037549105462555115,0.0003,0.110546875,0.011200022,0.2,0.42785704135894775,-0.00666538513693619
77,5066,393216,8,59.3,0.18000002205371857,0.010512324050068855,-1.7637147777403395,70,0.004910335562271939,0.0003,0.11579996744791667,0.010954082,0.2,0.48219943046569824,-0.007560954597041322
87,5045,442368,9,77.22,0.2531944215297699,-0.015668660402297974,-1.6728500377386808,80,0.008462168955399344,0.0003,0.143780517578125,0.011633903,0.2,0.515004575252533,-0.009393638570084779
97,5032,491520,10,48.96,0.27202779054641724,-0.0036322292871773243,-1.6051354971403877,90,0.00971018941757696,0.0003,0.14790242513020832,0.0136234565,0.2,0.5823391675949097,-0.010103476865090973
110,4902,540672,11,60.47,0.47691667079925537,-0.004874538164585829,-1.4777168984835347,100,0.013602631121466402,0.0003,0.17258504231770833,0.01446759,0.2,0.6046921014785767,-0.011404706761944302
120,4901,589824,12,51.51,0.4943888485431671,0.0027147531509399414,-1.3358444614956777,110,0.016126573303578577,0.0003,0.145849609375,0.011495758,0.2,0.6188294887542725,-0.010306472779605731
130,4901,638976,13,54.13,0.5547777414321899,-0.005175011232495308,-1.2027365317568184,120,0.01668725702232526,0.0003,0.12486979166666666,0.0094602695,0.2,0.6343604326248169,-0.008706625582271954
140,4901,688128,14,46.98,0.5923055410385132,-0.0013216892257332802,-1.1017576722428202,130,0.01734263392475744,0.0003,0.10258992513020833,0.007901177,0.2,0.6014444828033447,-0.006751123454129508
150,4903,737280,15,55.06,0.6608333587646484,-0.0020642317831516266,-0.9933639273978769,140,0.016681431566151636,0.0003,0.09662679036458334,0.0077750734,0.2,0.6044256687164307,-0.006746787031079293
160,4906,786432,16,45.19,0.6401944756507874,-0.003975057974457741,-0.8828233600594103,150,0.016535104181093628,0.0003,0.07913004557291667,0.005936937,0.2,0.5701358318328857,-0.005194686434757993
170,4906,835584,17,44.21,0.659944474697113,0.015965530648827553,-0.8144838206159571,160,0.015376549170953997,0.0003,0.07884318033854167,0.0060700625,0.2,0.5677841901779175,-0.004676517062580388
180,4906,884736,18,42.59,0.6937222480773926,0.0038906140252947807,-0.7425772383809089,170,0.014971332351948755,0.0003,0.07473958333333333,0.00551611,0.2,0.5632357001304626,-0.004663186813195353
190,4906,933888,19,44.59,0.6958332657814026,0.003736245445907116,-0.6755048987766107,180,0.01434444813009274,0.0003,0.058760579427083334,0.004656665,0.2,0.5593198537826538,-0.003211531655991469
