time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
6,7578,49152,1,28.97,0.0,,,,,,,,,,
16,5889,98304,2,43.49,0.0,-0.010669504292309284,-1.9379091816643874,10,0.00017273943677622582,0.0003,0.057657877604166664,0.015766134,0.2,-0.17743921279907227,-0.004078359269578868
26,5491,147456,3,58.1,0.0,-0.008349072188138962,-1.9260970655828715,20,0.00019631679276391385,0.0003,0.130194091796875,0.017015055,0.2,-0.0020738840103149414,-0.007224585662455259
37,5311,196608,4,71.37,0.012210938148200512,-0.00035014707827940583,-1.9089146451403698,30,0.00039875710419134215,0.0003,0.12443033854166667,0.013063938,0.2,0.028940021991729736,-0.005080149576254674
47,5207,245760,5,82.73,0.07051172107458115,-0.011504791676998138,-1.8786482855677604,40,0.0014420875275466946,0.0003,0.13792724609375,0.011019585,0.2,0.08471733331680298,-0.005986360268737675
57,5132,294912,6,81.01,0.15399999916553497,-0.016971779987215996,-1.848780120598773,50,0.0028779591584376855,0.0003,0.12965087890625,0.011580127,0.2,0.22457098960876465,-0.008757228171574146
67,5083,344064,7,90.1,0.321226567029953,0.0013376693241298199,-1.8148380738993486,60,0.0062229000084092455,0.0003,0.13967692057291667,0.011062752,0.2,0.3840680718421936,-0.011386498752290208
77,5045,393216,8,57.41,0.34641796350479126,-0.003199324943125248,-1.775524007404844,70,0.008761234768220069,0.0003,0.15294392903645834,0.011847913,0.2,0.5631553530693054,-0.015131814270353061
87,5029,442368,9,45.07,0.5167031288146973,-0.014180582016706467,-1.6918136745070418,80,0.012463091645622626,0.0003,0.18353474934895833,0.01406856,0.2,0.6188938021659851,-0.01817331689647593
98,5001,491520,10,40.01,0.5226132869720459,-0.0031966110691428185,-1.5700989734381436,90,0.014761980760764952,0.0003,0.20945027669270833,0.014183159,0.2,0.675909161567688,-0.021115803822613088
110,4888,540672,11,34.7,0.6275351047515869,-0.008125286549329758,-1.4391399398446083,100,0.015702547330389886,0.0003,0.231878662109375,0.014805778,0.2,0.6663030385971069,-0.02103579397771682
120,4894,589824,12,28.51,0.6552890539169312,0.004126945976167917,-1.2960285597791275,110,0.016540578952117357,0.0003,0.20081583658854166,0.013559493,0.2,0.6029945611953735,-0.016512735353656657
130,4896,638976,13,26.0,0.654113233089447,-0.014726554043591022,-1.1462247075513006,120,0.01669623725368486,0.0003,0.18449503580729168,0.011984666,0.2,0.5274696946144104,-0.013127048517587052
140,4897,688128,14,20.33,0.6623592972755432,0.0125101488083601,-0.9959684539896746,130,0.01874268135385743,0.0003,0.15528971354166668,0.011072769,0.2,0.46012139320373535,-0.009197692386199682
150,4898,737280,15,24.27,0.768191397190094,0.0048318593762815,-0.8824658735034366,140,0.017936364530275264,0.0003,0.14064534505208334,0.009225328,0.2,0.41694074869155884,-0.006842112442852036
160,4897,786432,16,21.94,0.7655039429664612,-0.006100033409893513,-0.7701165614960094,150,0.016772563096310478,0.0003,0.113519287109375,0.008086369,0.2,0.3921232223510742,-0.0053764483886576874
170,4897,835584,17,19.21,0.7351719737052917,0.003810407593846321,-0.6732450336528321,160,0.0190141041794656,0.0003,0.09734903971354167,0.007817008,0.2,0.3549690842628479,-0.004087806290711645
180,4898,884736,18,21.86,0.7666641473770142,0.004722293466329575,-0.5877761912842592,170,0.01798536777399325,0.0003,0.06173299153645833,0.004544852,0.2,0.3424152135848999,-0.0022724489027192854
