time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,shield/transition_timestep,shield/delta,shield/stage
8,153.73,49152,0.413277804851532,1,5994,,,,,,,,,,,,,
21,143.1,98304,0.5231388807296753,2,4675,-0.005232624335743215,0.006110526958097277,0.0003,0.2,10,-0.023216843605041504,0.014612692,-0.016149189323186874,0.068896484375,-1.9330107089132071,,,
36,130.04,147456,0.3992500305175781,3,4039,-0.0066542947827353295,0.008393277277597614,0.0003,0.2,20,0.5226197242736816,0.015256014,-0.005184633657336235,0.090716552734375,-1.8873919888089101,100008,0.8,0
48,119.23,196608,0.3806111216545105,4,4034,-0.007735915201434788,0.007076237853834755,0.0003,0.2,30,0.6028754711151123,0.011057928,0.0003328013699501753,0.09885050455729166,-1.8452043194323777,,,
65,110.98,245760,0.2129722386598587,5,3764,-0.009612007434831564,0.008009483027854003,0.0003,0.2,40,0.6266016960144043,0.011106539,-0.0024387207813560963,0.108050537109375,-1.7960228314623237,200016,0.6,1
77,93.96,294912,0.3141111135482788,6,3812,-0.00974797409241243,0.00666778829327086,0.0003,0.2,50,0.6333894729614258,0.010227234,0.0061667244881391525,0.11340128580729167,-1.752768618116776,,,
94,87.73,344064,0.15488888323307037,7,3624,-0.010058611524194324,0.007632758694914325,0.0003,0.2,60,0.6553149223327637,0.01140329,0.0042448993772268295,0.12917887369791667,-1.6933490980416537,300000,0.4,2
106,86.49,393216,0.3056389093399048,8,3680,-0.011263895493781699,0.0077704128925688565,0.0003,0.2,70,0.48325490951538086,0.012510409,0.005556934047490358,0.1597900390625,-1.6418571709344785,,,
124,74.22,442368,0.34902775287628174,9,3556,-0.011165626076399348,0.009235175431967946,0.0003,0.2,80,0.46480298042297363,0.012955683,-0.0024216112215071917,0.153857421875,-1.5507789654657245,400008,0.2,3
136,65.26,491520,0.3896944522857666,10,3597,-0.0107189074591588,0.011448076498345472,0.0003,0.2,90,0.48399412631988525,0.012084149,-0.006762206554412842,0.14553629557291667,-1.4638873659695189,,,
151,65.04,540672,0.5616111159324646,11,3567,-0.01015830267764007,0.015950761088364136,0.0003,0.2,100,0.500649094581604,0.010132958,0.014989004470407963,0.12850545247395834,-1.352429087087512,,,
