#{"t_start": 1773065846.6133947, "env_id": "None"}
r,l,t
0.0,18,0.049735
0.4892857,143,1.336845
0.3607143,179,1.715839
0.3392857,185,1.779745
0.32142857,190,1.83279
0.31785715,191,1.843765
0.30714285,194,1.87509
0.30357143,195,1.885935
0.0,3,1.90725
0.16428572,234,2.801954
0.0,252,2.843317
0.0,252,2.843329
0.0,252,2.843334
0.0,252,2.843338
0.0,252,2.84334
0.0,252,2.843343
0.0,252,2.843346
0.0,252,2.843349
0.0,252,2.843352
0.0,252,2.843354
0.0,252,2.843357
0.0,252,2.84336
0.0,252,2.843363
0.0,252,2.843366
0.0,252,2.843368
0.0,252,2.886005
0.0,252,3.164952
0.42142856,162,3.207473
0.0,252,3.245407
0.0,252,3.259222
0.0,252,3.270741
0.0,252,3.273351
0.12142857,246,3.273362
0.0,252,3.282373
0.23571429,214,3.284973
0.23571429,214,3.325904
0.0,252,3.410556
0.0,252,3.410568
0.0,252,3.410573
0.0,252,3.410576
0.0,252,3.410579
0.0,252,3.410582
0.0,252,3.410584
0.0,252,3.410588
0.0,252,3.410591
0.0,252,3.410594
0.0,252,3.410597
0.0,252,3.4106
0.0,252,3.410603
0.0,5,3.423252
0.0,252,3.451363
0.63928574,101,3.500574
0.0,3,3.507119
0.60714287,110,3.655548
0.57857144,118,3.673589
0.0,252,3.729554
0.0,252,3.772414
0.0,252,3.810367
0.0,252,3.823403
0.0,252,3.834786
0.0,252,3.837251
0.0,252,3.846621
0.3,196,3.84918
0.0,252,3.84919
0.25,210,3.880782
0.0,252,3.890121
0.15714286,236,3.938349
0.15,238,3.943148
0.0,252,3.975292
0.0,252,3.975304
0.0,252,3.975308
0.0,252,3.975312
0.0,252,3.975315
0.0,252,3.975318
0.0,252,3.987112
0.0,252,4.016467
0.0,252,4.0714
0.64285713,100,4.071411
0.35357141,181,4.137387
0.0,252,4.222204
0.3642857,178,4.236102
0.0,252,4.24016
0.45714286,152,4.315439
0.0,252,4.337333
0.0,252,4.374641
0.0,252,4.388518
0.0,252,4.402007
0.0,252,4.413439
0.0,252,4.413451
0.0,252,4.444408
0.0,252,4.45342
0.0,252,4.501941
0.0,252,4.506663
0.0,252,4.5377
0.0,252,4.537712
0.0,252,4.537716
0.0,252,4.537719
0.0,252,4.537722
0.0,252,4.549419
0.0,252,4.578296
0.0,252,4.633681
0.0,252,4.633694
0.40357143,167,4.687006
0.0,252,4.69837
0.0,252,4.783941
0.0,252,4.797121
0.0,252,4.80191
0.0,252,4.898357
0.0,252,4.936143
0.0,252,4.949239
0.0,252,4.962548
0.0,252,4.974023
0.0,252,4.974036
0.6571429,96,4.996361
0.0,252,5.0052
0.0,252,5.014275
0.5857143,116,5.059527
0.0,252,5.063787
0.0,252,5.068575
0.375,175,5.088689
0.0,252,5.100273
0.0,252,5.100285
0.0,252,5.10029
0.0,252,5.100294
0.0,252,5.100297
0.0,252,5.11184
0.0,4,5.120913
0.0,252,5.140947
0.0,252,5.196459
0.0,252,5.196471
0.0,252,5.249484
0.6464286,99,5.310091
0.0,252,5.358439
0.29642856,197,5.402483
0.4107143,165,5.435539
0.43214285,159,5.453058
0.0,252,5.459682
0.0,252,5.497667
0.0,252,5.511771
0.0,252,5.536526
0.0,252,5.536539
0.0,252,5.559753
0.0,252,5.569037
0.19285715,226,5.56905
0.0,4,5.578394
0.0,252,5.578406
0.18571429,228,5.609327
0.0,252,5.62273
0.0,252,5.663771
0.0,252,5.663783
0.0,252,5.663789
0.0,252,5.684389
0.0,252,5.704811
0.0,252,5.760396
0.0,252,5.760408
0.0,252,5.813095
0.4642857,150,5.873312
0.0,252,5.873325
0.0,252,5.922705
0.40357143,167,5.943815
0.18928571,227,5.946253
0.0,252,5.96876
0.475,147,6.013087
0.0,252,6.019946
0.0,252,6.026836
0.0,252,6.064867
0.0,252,6.078817
0.0,252,6.10392
0.0,252,6.126533
0.0,252,6.144871
0.0,252,6.144883
0.0,252,6.176726
0.17857143,230,6.181581
0.0,252,6.190853
0.0,3,6.197792
0.0,252,6.231023
0.0,252,6.231036
0.0,252,6.271065
0.0,252,6.328199
0.0,252,6.328211
0.0,252,6.382797
0.5964286,113,6.400546
0.14642857,239,6.41384
0.0,252,6.442923
0.0,252,6.492341
0.4,168,6.506401
0.0,252,6.513238
0.1,252,6.515643
0.5964286,113,6.526674
0.0,252,6.537635
0.0,252,6.582427
0.0,252,6.589613
0.0,252,6.596341
0.20357142,223,6.607744
0.0,252,6.63412
0.0,252,6.648171
