time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/clip_fraction,train/entropy_loss,shield/transition_timestep,shield/delta,shield/stage
7,58.96,49152,0.5993281006813049,1,6473,,,,,,,,,,,,,
20,51.95,98304,0.6653087139129639,2,4893,-0.008728656873002668,0.012198329013578283,0.0003,0.2,10,-0.017777323722839355,0.01447269,-0.01738652214407921,0.11153971354166667,-1.9323198409130176,,,
34,61.17,147456,0.5516679883003235,3,4246,-0.021079353997750634,0.01414246392766169,0.0003,0.2,20,0.6863492727279663,0.016759897,-0.011527389287948608,0.226678466796875,-1.8894470628971856,100008,0.8,0
46,48.53,196608,0.6110585927963257,4,4195,-0.018448412461414893,0.012710144830634817,0.0003,0.2,30,0.6897962093353271,0.014312807,-0.013483555987477303,0.19623006184895833,-1.8339687110235294,,,
62,42.79,245760,0.6001836657524109,5,3955,-0.02185023540102217,0.013432680456996119,0.0003,0.2,40,0.6992424726486206,0.015530322,-0.02308736741542816,0.21841023763020834,-1.758721389186879,200016,0.6,1
73,37.69,294912,0.6184648871421814,6,4013,-0.017679870824758838,0.014160147645452526,0.0003,0.2,50,0.5948298573493958,0.013581619,-0.0023256302811205387,0.19894002278645834,-1.6818459274247288,,,
89,39.36,344064,0.4736328125,7,3827,-0.015805463141562844,0.014488034305880622,0.0003,0.2,60,0.5545961856842041,0.012743626,-0.0033545559272170067,0.18670857747395833,-1.5807931062454978,300000,0.4,2
101,31.31,393216,0.6397695541381836,8,3856,-0.01609791633527493,0.021680275429874503,0.0003,0.2,70,0.5115411877632141,0.012845561,-0.01727701723575592,0.191119384765625,-1.5101230182374517,,,
118,25.28,442368,0.14858202636241913,9,3733,-0.018444205037576468,0.0227687223101384,0.0003,0.2,80,0.5290372371673584,0.014033272,-0.015118002891540527,0.21085001627604166,-1.3971716300273935,400008,0.2,3
130,28.71,491520,0.2487187534570694,10,3771,-0.016166580987919586,0.023595837086516743,0.0003,0.2,90,0.35573869943618774,0.01610291,-0.0024218056350946426,0.19364420572916666,-1.3743968745693564,,,
144,29.39,540672,0.40968361496925354,11,3742,-0.019724206517154622,0.01670991349722802,0.0003,0.2,100,0.4818894863128662,0.014330859,-0.019470825791358948,0.21034342447916668,-1.3012292582541705,,,
