#{"t_start": 1773066173.0503619, "env_id": "None"}
r,l,t
0.0,16,0.606503
0.0,18,0.612298
0.0,18,0.612312
0.0,24,0.786289
0.0,28,0.83317
0.0,41,0.982427
0.0,57,1.16809
0.84166664,57,1.168125
0.7861111,77,1.399404
0.76944447,83,1.468913
0.775,81,1.62968
0.69722223,109,1.766308
0.7083333,105,1.926173
0.7111111,104,2.031416
0.62222224,136,2.078115
0.68333334,114,2.101517
0.6,144,2.172744
0.625,135,2.277654
0.5472222,163,2.393485
0.5472222,163,2.393518
0.6527778,125,2.428023
0.51944447,173,2.507781
0.51666665,174,2.51929
0.725,99,2.54232
0.4861111,185,2.645547
0.7111111,104,2.827914
0.81666666,66,2.862901
0.4027778,215,2.991749
0.0,47,3.050239
0.0,76,3.050271
0.3888889,220,3.050276
0.74444443,92,3.826608
0.325,243,3.867463
0.28055555,259,3.911122
0.0,18,3.916768
0.275,261,3.916781
0.6111111,140,3.94602
0.6888889,112,3.983119
0.17222223,298,4.01562
0.6111111,140,4.029371
0.7638889,85,4.034831
0.6666667,120,4.077058
0.33055556,241,4.085118
0.25555557,268,4.088163
0.54444444,164,4.093606
0.7138889,103,4.104481
0.625,135,4.12623
0.0,44,4.204621
0.7777778,80,4.231379
0.0,324,4.239296
0.5388889,166,4.252589
0.51666665,174,4.260776
0.7111111,104,4.263635
0.0,84,4.30408
0.0,31,4.314584
0.33333334,240,4.333583
0.17777778,296,4.3417
0.74722224,91,4.34956
0.5472222,163,4.355282
0.0,324,4.378844
0.0,164,4.38729
0.0,179,4.398616
0.8138889,67,4.434291
0.8055556,70,4.450832
0.33055556,241,4.456593
0.13055556,313,4.470835
0.16666667,300,4.470849
0.69722223,109,4.500626
0.575,153,4.503434
0.0,65,4.518802
0.16388889,301,4.524162
0.4888889,184,4.527311
0.70555556,106,4.527324
0.0,14,4.565781
0.0,35,4.594784
0.39722222,217,4.620883
0.0,24,4.629302
0.43888888,202,4.639925
0.81666666,66,4.695698
0.7583333,87,4.704167
0.675,117,4.715023
0.7027778,107,4.757601
0.32777777,242,4.779405
0.0,9,4.782305
0.0,324,4.785123
0.5611111,158,4.815011
0.625,135,4.815024
0.55277777,161,4.81503
0.0,14,4.817974
0.49166667,183,4.828962
0.45555556,196,4.845489
0.48055556,187,4.861588
0.5861111,149,4.904791
0.7027778,107,4.918164
0.5888889,148,4.923518
0.0,8,4.926344
0.37777779,224,4.955197
0.0,56,4.96578
0.31388888,247,4.970992
0.51944447,173,4.992492
0.7777778,80,5.000828
0.0,13,5.006419
0.5638889,157,5.023067
0.5888889,148,5.025919
0.0,24,5.025932
0.5638889,157,5.066853
0.61944443,137,5.069538
0.725,99,5.085367
0.7222222,100,5.100947
0.80833334,69,5.106505
0.30833334,249,5.109154
0.5777778,152,5.127105
0.0,324,5.140579
0.0,23,5.146126
0.0,40,5.172679
0.5138889,175,5.178355
0.0,58,5.178367
0.58055556,151,5.248272
0.16111112,302,5.266524
0.46944445,191,5.293008
0.5388889,166,5.303589
0.45277777,197,5.339223
0.61388886,139,5.385342
0.65833336,123,5.444152
0.61944443,137,5.492032
0.46666667,192,5.502822
0.51944447,173,5.549953
0.33055556,241,5.555042
0.5,180,5.562485
0.0,126,5.570308
0.725,99,5.591133
0.50555557,178,5.601274
0.5222222,172,5.611553
0.30555555,250,5.61689
0.8666667,48,5.625054
0.43055555,205,5.635259
0.12222222,316,5.645324
0.76111114,86,5.663126
0.45,198,5.683717
0.5694444,155,5.69936
0.275,261,5.740714
0.50277776,179,5.751124
0.19722222,289,5.75685
0.46944445,191,5.756863
0.37222221,226,5.756869
0.7027778,107,5.767273
0.0,324,5.767286
0.0,6,5.772949
0.0,33,5.826085
0.0,324,5.834149
0.69722223,109,5.837145
0.0,324,5.857924
0.46388888,193,5.881413
0.64444447,128,5.901924
0.73055553,97,5.935748
0.60555553,142,5.958155
0.775,81,5.960917
0.6611111,122,5.960929
0.0,80,5.963646
0.0,21,5.990113
0.9,36,5.995433
0.0,59,6.034363
0.78333336,78,6.037388
0.71666664,102,6.0374
0.46666667,192,6.060589
0.4722222,190,6.093889
0.69722223,109,6.111951
0.0,19,6.160104
0.53333336,168,6.193324
0.8277778,62,6.196107
0.36944443,227,6.201361
0.0,54,6.234661
0.3,252,6.316285
0.24444444,272,6.321685
0.5861111,149,6.348699
0.6027778,143,6.364034
0.34166667,237,6.379717
0.0,324,6.387481
0.2611111,266,6.387493
0.60555553,142,6.402951
0.50555557,178,6.421203
0.0,25,6.42939
0.7416667,93,6.439233
0.58055556,151,6.449379
0.35,234,6.462563
0.0,324,6.462575
0.0,324,6.473228
0.6805556,115,6.489078
0.21944444,281,6.494182
0.0,81,6.524496
0.7111111,104,6.587958
0.16666667,300,6.610655
0.6638889,121,6.659705
0.29444444,254,6.690054
0.73333335,96,6.695345
0.19166666,291,6.708316
0.6527778,125,6.708328
0.65,126,6.710951
0.43611112,203,6.716366
0.46944445,191,6.725091
0.15833333,303,6.743405
0.0,324,6.822249
0.59444445,146,6.835454
0.87222224,46,6.840748
0.47777778,188,6.860657
0.75555557,88,6.914129
0.725,99,6.95938
0.71944445,101,6.964453
0.125,315,6.964465
0.44722223,199,6.995224
0.6722222,118,6.995237
0.71944445,101,6.998017
0.66944444,119,7.018693
0.39444444,218,7.018705
0.36666667,228,7.02152
0.39166668,219,7.032412
0.0,18,7.042547
0.8361111,59,7.066015
0.5388889,166,7.084626
0.0,48,7.084638
0.43888888,202,7.105299
0.30833334,249,7.129549
0.41944444,209,7.14448
0.15,306,7.201805
0.10277778,323,7.227347
0.76666665,84,7.232977
0.8055556,70,7.243428
0.10555556,322,7.251425
0.75,90,7.251437
0.45833334,195,7.319407
0.68333334,114,7.322089
0.33055556,241,7.324578
0.46388888,193,7.332817
0.4861111,185,7.332829
0.6333333,132,7.335851
0.0,324,7.351682
0.5555556,160,7.375307
0.5472222,163,7.414008
0.6333333,132,7.421898
0.0,45,7.437273
0.50277776,179,7.478746
0.55833334,159,7.49205
0.0,142,7.494859
0.7111111,104,7.497341
0.57222223,154,7.540503
0.43333334,204,7.565717
0.65555555,124,7.571115
0.4861111,185,7.579024
0.59166664,147,7.582145
0.725,99,7.582157
0.119444445,317,7.648233
0.64444447,128,7.663373
0.53333336,168,7.676579
0.53333336,168,7.684209
0.6,144,7.705548
0.6111111,140,7.735063
0.65,126,7.737953
0.65833336,123,7.753254
0.7888889,76,7.776017
0.0,324,7.796048
0.75555557,88,7.806103
0.7222222,100,7.821546
0.6,144,7.847502
0.6722222,118,7.881341
0.85555553,52,7.886565
0.7583333,87,7.899567
0.7583333,87,7.957454
0.61944443,137,8.012549
0.34166667,237,8.027227
0.6027778,143,8.048001
0.69166666,111,8.058463
0.0,70,8.058475
0.55,162,8.061413
0.7111111,104,8.061425
0.0,324,8.064068
0.19166666,291,8.097608
0.60833335,141,8.09762
0.325,243,8.113199
0.0,22,8.1211
0.0,94,8.12693
0.0,44,8.126941
0.6888889,112,8.134988
0.30277777,251,8.137528
0.0,324,8.15589
0.7861111,77,8.155901
0.0,324,8.169132
0.0,46,8.182246
0.0,14,8.206212
0.8277778,62,8.224673
0.0,38,8.234869
0.0,132,8.239974
0.18055555,295,8.254462
