time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,shield/constant_delta,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,shield/ignore_prob,shield/transition_timestep,shield/stage
6127,49152,1,8,0.42888888716697693,151.46,0.9,,,,,,,,,,,,,
4797,98304,2,20,0.43005552887916565,135.19,,0.0003,10,-0.004578896661951148,0.2,-0.014832139015197754,0.014424893,-1.9329287889103095,0.014546111226081848,0.006697314543271204,0.059454345703125,,,
4084,147456,3,36,0.557888925075531,104.96,,0.0003,20,-0.008400138921630666,0.2,0.5270609855651855,0.017180398,-1.8860463961958884,-0.013048595748841763,0.008226144888612907,0.100726318359375,0.2,100008,0
4032,196608,4,48,0.5717222094535828,97.4,,0.0003,30,-0.008030371888708032,0.2,0.6326860785484314,0.011793586,-1.8292302317917346,0.006806367076933384,0.009803192941762972,0.09859822591145834,,,
3754,245760,5,65,0.6299444437026978,75.5,,0.0003,40,-0.009070206140192265,0.2,0.6512078642845154,0.011758971,-1.7804254208380976,-0.00782687310129404,0.011443390470473484,0.11098836263020834,0.4,200016,1
3809,294912,6,77,0.7149723172187805,75.84,,0.0003,50,-0.009644364366613445,0.2,0.6404990553855896,0.011988781,-1.7037793412183722,-0.0019530141726136208,0.013075391923484858,0.118316650390625,,,
3611,344064,7,95,0.6550832986831665,64.6,,0.0003,60,-0.008266625035109125,0.2,0.6245979070663452,0.010405279,-1.6192410064861178,0.0007790559902787209,0.012718709002850421,0.11900227864583333,0.6,300000,2
3661,393216,8,107,0.694611132144928,58.32,,0.0003,70,-0.007297290065071138,0.2,0.6341254711151123,0.01046735,-1.5364536638682087,0.0015114261768758297,0.012851644449983723,0.110076904296875,,,
3535,442368,9,125,0.7068055868148804,53.34,,0.0003,80,-0.007202699895848734,0.2,0.6404354572296143,0.011009869,-1.4416623870531717,0.004175693728029728,0.011303497144641976,0.10864054361979167,0.8,400008,3
3578,491520,10,137,0.7170276641845703,49.44,,0.0003,90,-0.005928312375484287,0.2,0.6107488870620728,0.009452672,-1.3511890553558865,-0.005030718166381121,0.011213006824497522,0.09772135416666666,,,
3547,540672,11,152,0.7325277924537659,48.39,,0.0003,100,-0.004239363252600015,0.2,0.5885053873062134,0.008328342,-1.280644764440755,0.0013924920931458473,0.011373660542206683,0.08756306966145834,,,
