time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,shield/constant_delta,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,shield/ignore_prob,shield/transition_timestep,shield/stage
6997,49152,1,7,0.051071424037218094,237.65,0.9,,,,,,,,,,,,,
5227,98304,2,18,0.11532142758369446,226.0,,0.0003,10,-0.002698623874130135,0.2,-0.036031365394592285,0.008456297,-1.939962579247852,-0.005682710092514753,0.0005683806108692125,0.050628662109375,,,
4507,147456,3,32,0.2589285969734192,197.42,,0.0003,20,-0.006114747151696065,0.2,0.3464859127998352,0.0068113306,-1.9262716524923842,0.014830583706498146,0.0014590192759290706,0.07756551106770833,0.2,100008,0
4469,196608,4,43,0.458392858505249,149.13,,0.0003,30,-0.009457972882713269,0.2,0.4488186836242676,0.010868851,-1.9008232871691386,-0.007829216308891773,0.0034387766659468373,0.11358642578125,,,
4210,245760,5,58,0.5817142724990845,116.56,,0.0003,40,-0.011997165420082941,0.2,0.5433845520019531,0.012622553,-1.8591069915642342,-0.010994519107043743,0.005815467916545458,0.14401041666666667,0.4,200016,1
4282,294912,6,68,0.6727499961853027,89.11,,0.0003,50,-0.014478995496392599,0.2,0.6066285371780396,0.011689165,-1.8011898280431826,-0.009252956137061119,0.008953126525011613,0.16630452473958332,,,
4091,344064,7,84,0.7433928847312927,69.07,,0.0003,60,-0.016112080335005885,0.2,0.6656670570373535,0.0134167755,-1.7243856753533084,-0.02391774393618107,0.01047451508178104,0.190655517578125,0.6,300000,2
4148,393216,8,94,0.7772143483161926,59.63,,0.0003,70,-0.018045165979068165,0.2,0.687301754951477,0.014416519,-1.6180777822310726,-0.023309897631406784,0.010832293459922463,0.21890462239583333,,,
4014,442368,9,110,0.8391070365905762,45.05,,0.0003,80,-0.01980433866435002,0.2,0.6773178577423096,0.015923234,-1.4735184668873746,-0.01569874957203865,0.009771735484779736,0.24619344075520833,0.8,400008,3
4057,491520,10,121,0.8428928852081299,43.99,,0.0003,90,-0.017930256307833285,0.2,0.662818193435669,0.016990019,-1.3063476331532002,-0.020395778119564056,0.007668926615830666,0.23781941731770834,,,
4016,540672,11,134,0.8650713562965393,35.01,,0.0003,100,-0.012761465941002826,0.2,0.6408546566963196,0.013516746,-1.147317780740559,-0.002293130848556757,0.005915798228306813,0.18395589192708334,,,
