time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,shield/constant_delta,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,shield/ignore_prob,shield/transition_timestep,shield/stage
6802,49152,1,7,0.5839648246765137,64.35,0.9,,,,,,,,,,,,,
5018,98304,2,19,0.5393203496932983,46.56,,0.0003,10,-0.009256029147763911,0.2,0.0016408562660217285,0.014505629,-1.9321190847083927,0.0015344549901783466,0.011362914298175989,0.1450927734375,,,
4319,147456,3,34,0.7653633952140808,47.96,,0.0003,20,-0.018590313870542257,0.2,0.6898032426834106,0.01598084,-1.891929588963588,-0.028087884187698364,0.014073515267227776,0.192315673828125,0.2,100008,0
4234,196608,4,46,0.7478671073913574,35.61,,0.0003,30,-0.02110939930595729,0.2,0.6821242570877075,0.014270532,-1.8312847390770912,-0.030950408428907394,0.015151428797495706,0.210772705078125,,,
3985,245760,5,61,0.7315429449081421,32.44,,0.0003,40,-0.017432244497467764,0.2,0.6133884191513062,0.014708263,-1.7509485519801578,-0.026097740978002548,0.013480695608692864,0.20004069010416667,0.4,200016,1
4025,294912,6,73,0.7428476810455322,25.79,,0.0003,50,-0.013030970849771013,0.2,0.5330768823623657,0.012586751,-1.6706341692556939,0.006527204066514969,0.013458552062365925,0.17640787760416668,,,
3845,344064,7,89,0.7102657556533813,24.24,,0.0003,60,-0.009095802884197231,0.2,0.4572710394859314,0.010431036,-1.576933024947842,-0.011214231140911579,0.014213433400194238,0.14307047526041666,0.6,300000,2
3877,393216,8,101,0.7248711585998535,22.75,,0.0003,70,-0.008502060652244837,0.2,0.42916929721832275,0.011090572,-1.4867637768387794,-0.021380187943577766,0.013650213316092655,0.150067138671875,,,
3748,442368,9,118,0.7234140634536743,19.37,,0.0003,80,-0.0061535462407846355,0.2,0.3533276319503784,0.010100432,-1.4098432867477337,-0.007408333010971546,0.014848641075271491,0.132562255859375,0.8,400008,3
3770,491520,10,130,0.7611991763114929,20.89,,0.0003,90,-0.004767854172920731,0.2,0.33586907386779785,0.009254358,-1.3353851618866126,0.013673930428922176,0.014761108567230015,0.10188191731770833,,,
3726,540672,11,145,0.7909531593322754,20.45,,0.0003,100,-0.003362931864648999,0.2,0.32348763942718506,0.008188431,-1.2739232654993733,0.01765868440270424,0.014729699811626536,0.09559529622395833,,,
