time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss,train/explained_variance,shield_cutoff_timestep
49152,7,1,232.4,0.05610714107751846,6931,,,,,,,,,,,
98304,17,2,228.15,0.10603571683168411,5522,10,0.2,0.03662312825520833,0.0003,-1.9412182660152515,0.007002314,-0.0018338873394744344,0.021486036479473114,0.0007824283957404532,-0.03795504570007324,
147456,28,3,197.7,0.2558571398258209,5201,20,0.2,0.104095458984375,0.0003,-1.9196287800247471,0.009730629,-0.007183063500694213,-0.010466293431818485,0.0015215565182719122,0.3420746922492981,
196608,38,4,143.49,0.4599285423755646,5065,30,0.2,0.13512776692708334,0.0003,-1.8770879603301485,0.011841862,-0.009963217591878978,-0.00835469737648964,0.003831485687866613,0.4566492438316345,
245760,49,5,113.38,0.5874285697937012,4955,40,0.2,0.14719441731770833,0.0003,-1.8387913065031172,0.013199414,-0.012223765344363832,-0.011961705982685089,0.006970510539637568,0.5594892501831055,
294912,63,6,50.91,0.1287499964237213,4634,50,0.2,0.18318888346354167,0.0003,-1.7665181985124945,0.014275487,-0.015290634330934456,-0.007588526699692011,0.008962475739341851,0.622391939163208,250008
344064,73,7,59.46,0.3575000464916229,4708,60,0.2,0.20823771158854168,0.0003,-1.7190005018686254,0.015128538,-0.015949105115729858,-0.034748177975416183,0.0111716652221124,0.4184691905975342,
393216,82,8,56.13,0.5241071581840515,4743,70,0.2,0.21363728841145832,0.0003,-1.6232806491975984,0.014470021,-0.019202617969737427,-0.030435048043727875,0.016144148620272365,0.48972076177597046,
442368,92,9,46.29,0.6780000329017639,4789,80,0.2,0.22608642578125,0.0003,-1.4944376550614833,0.01609298,-0.02021246307704132,-0.012026810087263584,0.0179696866068601,0.5135432481765747,
491520,102,10,42.53,0.7557141780853271,4810,90,0.2,0.23766276041666667,0.0003,-1.3111111856376132,0.017300868,-0.0209551562264096,-0.023333901539444923,0.018501318076353832,0.5288640260696411,
540672,114,11,35.85,0.8231785297393799,4737,100,0.2,0.19726359049479167,0.0003,-1.1211119689047337,0.014359858,-0.01625135446920467,0.0003627408295869827,0.014051375900938487,0.556938648223877,
