#{"t_start": 1773065529.269455, "env_id": "None"}
r,l,t
0.0,1,0.01405
0.0,4,0.022375
0.0,6,0.030325
0.0,10,0.038538
0.0,15,0.051496
0.0,18,0.059681
0.0,17,0.096657
0.0,48,0.334444
0.8101562,54,0.393738
0.0,59,0.443106
0.7855469,61,0.462805
0.7609375,68,0.532565
0.746875,72,0.572137
0.0,2,0.592418
0.746875,72,0.612284
0.0,78,0.63245
0.7011719,85,0.700727
0.7609375,68,0.7111
0.6765625,92,0.772144
0.65898436,97,0.822839
0.0,24,0.833334
0.0,53,0.992482
0.5746094,121,1.062342
0.5957031,115,1.152428
0.85234374,42,1.251132
0.0,142,1.27123
0.6484375,100,1.388499
0.4515625,156,1.408695
0.0,4,1.428783
0.44453126,158,1.428807
0.0,2,1.448607
0.7046875,84,1.468814
0.43046874,162,1.468837
0.0,1,1.478855
0.7222656,79,1.498891
0.0,5,1.519274
0.6273438,106,1.589029
0.5359375,132,1.754968
0.8136719,53,1.774485
0.30742186,197,1.814046
0.3214844,193,1.87239
0.36015624,182,1.901807
0.44101563,159,1.911586
0.82773435,49,1.96029
0.24414062,215,1.989587
0.83125,48,1.989616
0.5640625,124,2.000053
0.0,10,2.626519
0.0,67,2.635182
0.0,6,2.643378
0.0,65,2.648608
0.75742185,69,2.681012
0.0,31,2.691265
0.47265625,150,2.691277
0.38125,176,2.703578
0.0,256,2.713921
0.5992187,114,2.713933
0.0,256,2.713939
0.75742185,69,2.724607
0.0,63,2.750597
0.34609374,186,2.753146
0.0,46,2.753157
0.0,4,2.763546
0.7046875,84,2.769081
0.0,160,2.779701
0.7222656,79,2.79026
0.38828126,174,2.798348
0.0,37,2.801216
0.6273438,106,2.837473
0.0,63,2.845302
0.7152344,81,2.85775
0.0,27,2.860607
0.0,39,2.881541
0.0,18,2.891822
0.0,55,2.89433
0.0,3,2.899704
0.0,69,2.905069
0.0,41,2.907743
0.7046875,84,2.91041
0.38125,176,2.912969
0.70820314,83,2.931229
0.7679688,66,2.941783
0.803125,56,2.944547
0.21601562,223,2.967091
0.5078125,140,2.972327
0.4621094,153,2.975094
0.0,12,2.998052
0.6625,96,3.003351
0.47617188,149,3.028604
0.53945315,131,3.031317
0.0,44,3.044645
0.40585938,169,3.047387
0.53945315,131,3.055479
0.184375,232,3.068469
0.5078125,140,3.078673
0.7328125,76,3.078685
0.7679688,66,3.081431
0.6660156,95,3.084358
0.0,1,3.084368
0.0,3,3.092448
0.82773435,49,3.131912
0.6519531,99,3.170783
0.79960936,57,3.194678
0.61328125,110,3.19469
0.7644531,67,3.207357
0.8101562,54,3.220079
0.0,2,3.225339
0.37070313,179,3.230767
0.775,64,3.235883
0.50078124,142,3.275149
0.7363281,75,3.280747
0.4796875,148,3.286273
0.6484375,100,3.308756
0.49726564,143,3.316632
0.77851564,63,3.335013
0.5042969,141,3.34062
0.7046875,84,3.351129
0.3671875,180,3.364658
0.53945315,131,3.37245
0.79609376,58,3.37783
0.28984374,202,3.385655
0.7609375,68,3.385668
0.4375,160,3.393478
0.56757814,123,3.40125
0.0,4,3.403744
0.68359375,90,3.429688
0.0,18,3.432368
0.325,192,3.442721
0.78203124,62,3.447853
0.5113281,139,3.455877
0.0,91,3.4692
0.3390625,188,3.490353
0.40585938,169,3.498692
0.7890625,60,3.522972
0.0,256,3.530629
0.7609375,68,3.530641
0.0,104,3.549926
0.8066406,55,3.578825
0.0,54,3.599421
0.0,81,3.617702
0.0,55,3.635302
0.4128906,167,3.674177
0.68007815,91,3.706573
0.0,37,3.729552
0.60976565,111,3.732098
0.78203124,62,3.737783
0.8066406,55,3.740428
0.0,10,3.756098
0.0,33,3.758921
0.39882812,171,3.764296
0.50078124,142,3.772254
0.4234375,164,3.800653
0.49023438,145,3.808538
0.0,41,3.813857
0.6308594,105,3.821506
0.5816406,119,3.839844
0.0,256,3.863497
0.26875,208,3.879435
0.4128906,167,3.884562
0.0,30,3.887308
0.30390626,198,3.903116
0.46914062,151,3.916088
0.5816406,119,3.926731
0.44453126,158,3.941856
0.0,256,3.949846
0.13867188,245,3.949858
0.23007813,219,3.949863
0.70820314,83,3.95548
0.38125,176,3.958523
0.79609376,58,3.966813
0.7152344,81,3.977729
0.0,256,4.011924
0.0,104,4.014882
0.5640625,124,4.059073
0.0,91,4.061829
0.0,114,4.100424
0.0,19,4.110666
0.0,9,4.123607
0.6695312,94,4.134023
0.65546876,98,4.141658
0.7398437,74,4.14432
0.71171874,82,4.165131
0.71171874,82,4.165144
0.0,1,4.168056
0.6765625,92,4.168068
0.44804686,157,4.168074
0.5957031,115,4.180932
0.60976565,111,4.206278
0.6695312,94,4.211844
