time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss,train/explained_variance,shield_cutoff_timestep
49152,7,1,109.12,0.5110430121421814,6631,,,,,,,,,,,
98304,18,2,76.7,0.5142578482627869,5240,10,0.2,0.06889241536458333,0.0003,-1.934812552233537,0.01138557,-0.006140319153018936,0.02194773219525814,0.006906568260092172,0.004609942436218262,
147456,30,3,61.36,0.6605585217475891,4879,20,0.2,0.19857584635416667,0.0003,-1.9033427826439342,0.013988721,-0.016189787631083162,-0.015534607693552971,0.010147449030531183,0.6546750664710999,
196608,41,4,39.83,0.6318203210830688,4697,30,0.2,0.23343912760416666,0.0003,-1.8430747122814257,0.014583382,-0.021385718620270684,-0.03135048970580101,0.01404815156274708,0.7231954336166382,
245760,53,5,38.53,0.7090429067611694,4562,40,0.2,0.22909138997395834,0.0003,-1.7572254297013084,0.016321663,-0.021881502049412423,-0.014942155219614506,0.015123878812786037,0.6983004808425903,
294912,68,6,10.22,0.0,4296,50,0.2,0.21977335611979168,0.0003,-1.6574763492370646,0.014314082,-0.018319107595683212,-0.0123328547924757,0.014090814166896356,0.6481978893280029,250008
344064,78,7,15.8,0.008382813073694706,4361,60,0.2,0.31002400716145834,0.0003,-1.6842663741360109,0.01610134,-0.029327958109691583,-0.01631876826286316,0.020498346727981696,0.41148680448532104,
393216,88,8,26.13,0.0481874980032444,4426,70,0.2,0.3495869954427083,0.0003,-1.6607273769875368,0.029271835,-0.03129193473699464,-0.01481793075799942,0.010136391916603316,0.36765897274017334,
442368,98,9,47.29,0.2991015911102295,4478,80,0.2,0.25860188802083334,0.0003,-1.5896863040824731,0.026067464,-0.02576949212877177,-0.030181264504790306,0.011217317314246127,0.5372510552406311,
491520,108,10,39.06,0.46185940504074097,4520,90,0.2,0.22783610026041667,0.0003,-1.487405366078019,0.015303385,-0.02348888572269061,-0.016243988648056984,0.016492119438771623,0.5527654886245728,
540672,120,11,31.36,0.4832344055175781,4473,100,0.2,0.24259847005208332,0.0003,-1.339743807290991,0.01616702,-0.024880944044222513,-0.030171535909175873,0.019961228821193798,0.5789852738380432,
