time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/clip_range,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss
49152,7,1,92.67,6869,0.010249999351799488,,,,,,,,,,
98304,17,2,89.6,5651,0.02222222276031971,-1.9397375773638488,0.0003,0.009149563,0.000453594260976331,0.2,10,0.040818277994791666,-0.004639048129320145,-0.06004989147186279,-0.0019780478529961933
147456,27,3,71.09,5343,0.013166666030883789,-1.9165127265577515,0.0003,0.013863448,0.0006468085096685173,0.2,20,0.09815673828125,-0.008294548839330673,0.12603247165679932,-0.00382243017811561
196608,37,4,86.75,5209,0.013222222216427326,-1.8980524802580476,0.0003,0.011076276,0.0007602277548642178,0.2,30,0.065740966796875,-0.013018012046813965,0.23356115818023682,-0.0033135474641615777
245760,47,5,109.1,5130,0.04472222179174423,-1.8842314204201103,0.0003,0.008908972,0.0007660964484633345,0.2,40,0.08056844075520833,-0.007823023945093155,0.2857235074043274,-0.003809407017555107
294912,58,6,119.21,5082,0.0738055482506752,-1.8512935283283392,0.0003,0.008642797,0.0012214520957665323,0.2,50,0.07033487955729166,-0.00980264414101839,0.3342125415802002,-0.004461983574098364
344064,68,7,122.96,5055,0.06547222286462784,-1.7997503637025754,0.0003,0.008284028,0.001619199697120166,0.2,60,0.08003336588541667,-0.008414193987846375,0.4254002571105957,-0.005121207921486833
393216,77,8,111.18,5043,0.15258333086967468,-1.7979518194372455,0.0003,0.011790345,0.0018835536223681022,0.2,70,0.10741780598958334,-0.00527048297226429,0.4944177269935608,-0.005270299629713312
442368,87,9,110.17,5031,0.21619445085525513,-1.7828575696175297,0.0003,0.02324781,0.003820830033631258,0.2,80,0.14290974934895834,-0.004588266834616661,0.5633300542831421,-0.007084280753163815
491520,97,10,96.65,5022,0.31369444727897644,-1.7266274676968654,0.0003,0.013111438,0.0057125356899632605,0.2,90,0.16288859049479168,0.010284611023962498,0.5831897854804993,-0.009102209750168792
540672,110,11,101.84,4891,0.43469443917274475,-1.6445424360533556,0.0003,0.011299522,0.00782157571350884,0.2,100,0.133734130859375,0.019605766981840134,0.6289253830909729,-0.008135977576178751
