#{"t_start": 1773065012.0891163, "env_id": "None"}
r,l,t
0.0,3,0.014527
0.0,8,0.023515
0.0,12,0.031037
0.0,12,0.031049
0.0,10,0.032942
0.0,23,0.066532
0.0,24,0.076034
0.0,25,0.085418
0.0,26,0.094765
0.0,21,0.27403
0.0,50,0.321498
0.0,41,0.350017
0.0,53,0.350037
0.0,56,0.378236
0.0,13,0.396943
0.0,4,0.434512
0.0,65,0.462726
0.0,75,0.556024
0.0,23,0.593512
0.0,26,0.678316
0.0,37,0.697304
0.0,47,0.763169
0.0,18,0.763186
0.0,15,0.81905
0.0,29,0.82849
0.0,78,0.828506
0.0,18,0.866212
0.0,108,0.866231
0.0,118,0.960763
0.0,120,0.979779
0.0,17,1.027292
0.0,134,1.111852
0.0,136,1.130743
0.0,125,1.140253
0.0,122,1.214781
0.0,50,1.29892
0.0,32,1.326952
0.0,28,1.373744
0.0,179,1.533572
0.0,78,1.599533
0.0,90,1.609068
0.0,45,1.637501
0.0,55,1.646859
0.0,40,1.674646
0.0,182,1.683983
0.0,3,1.712136
0.0,19,1.712153
0.0,19,1.889788
0.0,57,1.908795
0.0,34,2.548309
0.0,51,2.568053
0.0,139,2.570163
0.0,179,2.572236
0.0,247,2.578196
0.0,252,2.588309
0.0,252,2.588322
0.0,252,2.588327
0.0,252,2.588331
0.0,100,2.598698
0.0,138,2.60073
0.0,18,2.604749
0.0,16,2.604761
0.0,252,2.604766
0.0,79,2.614811
0.0,25,2.620661
0.0,14,2.632222
0.0,58,2.634214
0.0,252,2.638002
0.0,26,2.640174
0.0,22,2.647884
0.0,25,2.663359
0.0,243,2.675092
0.0,64,2.675105
0.0,23,2.684799
0.0,29,2.688787
0.0,47,2.696655
0.0,39,2.714237
0.0,65,2.716258
0.0,5,2.72581
0.0,73,2.731751
0.0,19,2.733776
0.0,4,2.741757
0.0,73,2.743796
0.0,30,2.74777
0.0,23,2.759611
0.0,10,2.763697
0.0,154,2.769659
0.0,252,2.779384
0.0,69,2.78353
0.0,56,2.785554
0.0,53,2.789501
0.0,252,2.791547
0.0,224,2.803093
0.125,245,2.806944
0.0,24,2.806958
0.0,20,2.808957
0.0,78,2.816681
0.0,20,2.822635
0.0,38,2.859324
0.0,206,2.865208
0.0,29,2.878855
0.0,87,2.896365
0.0,47,2.898387
0.0,64,2.904293
0.0,5,2.913929
0.0,51,2.915897
0.0,91,2.91977
0.0,30,2.956926
0.0,46,2.968639
0.0,252,2.968651
0.0,97,2.998216
0.0,17,3.00212
0.0,50,3.011742
0.0,30,3.015583
0.0,252,3.017659
0.0,25,3.017671
0.0,12,3.025615
0.0,63,3.038991
0.0,131,3.058561
0.0,252,3.072073
0.0,91,3.074303
0.0,252,3.082069
0.0,34,3.082081
0.0,2,3.086198
0.0,252,3.092004
0.0,5,3.096146
0.0,180,3.100194
0.0,2,3.100206
0.0,54,3.104197
0.0,252,3.114029
0.0,252,3.127696
0.0,29,3.129925
0.0,19,3.141417
0.0,14,3.14143
0.0,3,3.147389
0.0,38,3.15688
0.0,32,3.162515
0.0,75,3.164481
0.0,252,3.168439
0.0,48,3.168451
0.0,4,3.172505
0.0,24,3.176471
0.0,77,3.176483
0.0,11,3.189734
0.0,30,3.204839
0.0,252,3.224359
0.0,156,3.224372
0.0,19,3.226573
0.0,27,3.228585
0.0,3,3.230637
0.0,192,3.234576
0.0,51,3.240347
0.0,4,3.242432
0.0,12,3.248291
0.0,252,3.256055
0.0,7,3.256068
0.0,129,3.269788
0.0,252,3.281541
0.0,252,3.28381
0.0,10,3.290065
0.0,4,3.292145
