time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/clip_range,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss
49152,6,1,100.54,8050,0.003107142634689808,,,,,,,,,,
98304,16,2,46.25,6139,0.0,-1.9374181875338157,0.0003,0.011698543,0.00034330337598997097,0.2,10,0.06953938802083333,-0.0015510336961597204,-0.04232954978942871,-0.004529796908627759
147456,25,3,37.13,5699,0.006071428768336773,-1.9049952301507196,0.0003,0.012078675,0.00039897590348137634,0.2,20,0.1365966796875,0.002727712271735072,0.029809892177581787,-0.006372320341445932
196608,35,4,24.76,5502,0.02264285646378994,-1.8634282646079858,0.0003,0.010652006,0.0008898306702178616,0.2,30,0.12394612630208333,-0.006455795373767614,0.13832175731658936,-0.004452320332590413
245760,45,5,15.93,5395,0.018642857670783997,-1.8123417579879364,0.0003,0.010834959,0.002741080375471938,0.2,40,0.11055704752604166,-0.01381390355527401,0.29626554250717163,-0.007925181753368331
294912,55,6,32.7,5352,0.14367857575416565,-1.8091130131855606,0.0003,0.021167586,0.005872337952799474,0.2,50,0.17294514973958333,-0.020916083827614784,0.491696298122406,-0.013437017506172802
344064,64,7,40.55,5322,0.3171428442001343,-1.7537558395415545,0.0003,0.021391476,0.009666264373178517,0.2,60,0.21449381510416668,-0.014659344218671322,0.593963623046875,-0.016446306044902787
393216,74,8,34.27,5302,0.4251071512699127,-1.6660492963468034,0.0003,0.014800522,0.015063721041951795,0.2,70,0.248944091796875,-0.021277572959661484,0.6454507112503052,-0.022898614429990024
442368,83,9,33.22,5287,0.6328214406967163,-1.5310549369081854,0.0003,0.015547774,0.01676100316447749,0.2,80,0.26837361653645836,-0.02630622684955597,0.6671816110610962,-0.025369754913360035
491520,93,10,31.3,5278,0.6829643249511719,-1.3735113380476833,0.0003,0.018100558,0.016220151312397017,0.2,90,0.27982177734375,-0.025889068841934204,0.6292376518249512,-0.02458758916121345
540672,104,11,29.59,5149,0.8016071319580078,-1.1800726826613148,0.0003,0.018176258,0.015146343185430547,0.2,100,0.2509541829427083,-0.03179440647363663,0.580149233341217,-0.020776732069377128
