time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/clip_range,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss
49152,6,1,22.11,7660,0.0,,,,,,,,,,
98304,16,2,32.39,6053,0.004726562649011612,-1.9357755817472935,0.0003,0.013138699,8.048177752447335e-06,0.2,10,0.09487508138020834,5.7136490795528516e-05,-9.878110885620117,-0.005136944307135612
147456,26,3,60.12,5665,0.0,-1.9273531081775823,0.0003,0.01434375,0.00015453239991008633,0.2,20,0.15399169921875,-0.005977076943963766,-0.033797383308410645,-0.004819999960576146
196608,35,4,78.81,5488,0.024882815778255463,-1.9087228118131558,0.0003,0.01322595,8.716663439874613e-05,0.2,30,0.12398681640625,-0.03020625002682209,0.06913340091705322,-0.005305774854605261
245760,45,5,93.71,5383,0.016550781205296516,-1.8977679104233782,0.0003,0.012705609,0.0006793247680263903,0.2,40,0.1400634765625,-0.005548061802983284,0.08024030923843384,-0.0058416504027263725
294912,55,6,101.96,5322,0.12871482968330383,-1.8764272268861533,0.0003,0.010502055,0.001318410429295606,0.2,50,0.11888224283854167,-0.014536877162754536,0.22744357585906982,-0.006586151401006646
344064,65,7,83.18,5280,0.2637616991996765,-1.8317320181677739,0.0003,0.01196979,0.0041972598381714,0.2,60,0.152197265625,-0.020993804559111595,0.3696659207344055,-0.011185618874515057
393216,74,8,57.62,5256,0.3358749747276306,-1.79040043130517,0.0003,0.0123887025,0.006802902126219123,0.2,70,0.16292521158854167,-0.021804511547088623,0.5378774404525757,-0.014179698050429578
442368,84,9,47.6,5237,0.4389023184776306,-1.7181776821613313,0.0003,0.014976859,0.010442610889246378,0.2,80,0.22403767903645833,0.005195428617298603,0.6407153606414795,-0.02006779594970188
491520,94,10,41.87,5221,0.5561445355415344,-1.6187730158368747,0.0003,0.014907286,0.013071052799447595,0.2,90,0.2302734375,-0.006667145527899265,0.6992817521095276,-0.022518325482087674
540672,105,11,36.69,5105,0.6606445908546448,-1.4821684670945008,0.0003,0.015765237,0.013803114264252752,0.2,100,0.25274454752604164,-0.008396019227802753,0.7140935063362122,-0.02175456799911141
