time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,shield/stage,shield/transition_timestep,shield/delta
8,49152,159.02,5994,0.41749995946884155,1,,,,,,,,,,,,,
19,98304,134.41,5072,0.4910000264644623,2,0.013713092,0.053452555338541666,-1.9334941448643803,0.0003,0.008024334907531738,0.0069061708960362015,10,0.2,-0.004752909475791966,0.008769163861870766,,,
33,147456,135.05,4405,0.3397499918937683,3,0.012404665,0.07312418619791666,-1.8957558342566092,0.0003,0.516075849533081,0.008226365291435892,20,0.2,-0.00600643674491342,-0.0015447407495230436,0,100008,0.75
45,196608,123.11,4364,0.37949997186660767,4,0.011239376,0.110260009765625,-1.8582431161776185,0.0003,0.6130297183990479,0.006343868652281041,30,0.2,-0.008894469267337021,-0.016456982120871544,,,
59,245760,89.27,4106,0.13927778601646423,5,0.010687572,0.11695963541666667,-1.8103482091178498,0.0003,0.6377776861190796,0.007532339863973903,40,0.2,-0.009554669881193452,-0.016682976856827736,1,200016,0.5
72,294912,84.53,4095,0.2250000238418579,6,0.010681991,0.11924845377604167,-1.75733171167473,0.0003,0.5988579392433167,0.0058319768903553875,50,0.2,-0.008330073054154733,-0.012913230806589127,,,
87,344064,84.42,3953,0.1376388818025589,7,0.010659784,0.14124755859375,-1.7130798534800609,0.0003,0.6594170331954956,0.006387805637981122,60,0.2,-0.009583079637923219,-0.006115366239100695,2,300000,0.25
99,393216,73.72,3962,0.22244444489479065,8,0.012384494,0.15292561848958333,-1.6709308590119083,0.0003,0.5480324029922485,0.006898342393348382,70,0.2,-0.010687709503811978,-0.020576423034071922,,,
112,442368,77.59,3929,0.3535277843475342,9,0.011936463,0.151080322265625,-1.5838147602354486,0.0003,0.520342230796814,0.008892223103854728,80,0.2,-0.011542959543415538,-0.008825823664665222,3,400008,0.0
122,491520,84.69,3998,0.4863610565662384,10,0.013293724,0.16917521158854168,-1.4971509688844284,0.0003,0.49280309677124023,0.011619152062000164,90,0.2,-0.012589083004301452,-0.002756281290203333,,,
135,540672,62.17,3981,0.51711106300354,11,0.011801793,0.146087646484375,-1.3811518950387836,0.0003,0.5440027713775635,0.013929318271887798,100,0.2,-0.011269179341252312,-0.008648369461297989,,,
