time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,shield/stage,shield/transition_timestep,shield/delta
6,49152,233.8,7210,0.050285715609788895,1,,,,,,,,,,,,,
17,98304,211.07,5718,0.19417858123779297,2,0.012536372,0.070721435546875,-1.9386267010122538,0.0003,-0.12251222133636475,0.0007219562038547641,10,0.2,-0.00438678907812573,-0.025451742112636566,,,
29,147456,185.43,4925,0.29507145285606384,3,0.0110329315,0.11334025065104167,-1.915605110923449,0.0003,0.2600610852241516,0.002015932909307594,20,0.2,-0.008171399627099164,-0.021845804527401924,0,100008,0.75
40,196608,145.4,4847,0.46589288115501404,4,0.010373693,0.11604817708333333,-1.889047052214543,0.0003,0.4471926689147949,0.003594911344650124,30,0.2,-0.009254282678375603,-0.0008746118983253837,,,
53,245760,111.21,4605,0.538428544998169,5,0.013600116,0.163397216796875,-1.8453197185570995,0.0003,0.5215729475021362,0.006662112955382327,40,0.2,-0.012406285948357739,-0.005938583053648472,1,200016,0.5
63,294912,94.93,4611,0.6120713949203491,6,0.012798466,0.175262451171875,-1.7786980029816428,0.0003,0.5552601218223572,0.009285629999309701,50,0.2,-0.014102727983239067,-0.015371784567832947,,,
77,344064,71.18,4453,0.7074642777442932,7,0.013934325,0.19986979166666666,-1.6874065280581514,0.0003,0.6024899482727051,0.011197096901256979,60,0.2,-0.016511226194901005,-0.017032157629728317,2,300000,0.25
88,393216,56.51,4463,0.7321071624755859,8,0.014945407,0.229925537109375,-1.5663941324378052,0.0003,0.6446527242660522,0.01162910169417349,70,0.2,-0.01968719469162655,0.004342703148722649,,,
100,442368,33.36,4404,0.3189285397529602,9,0.017773807,0.2510274251302083,-1.3952909057959915,0.0003,0.6662102937698364,0.010414014615525958,80,0.2,-0.020447643416385594,-0.01558411493897438,3,400008,0.0
110,491520,35.59,4454,0.5157142877578735,10,0.02030354,0.21312255859375,-1.2527900697042544,0.0003,0.06521862745285034,0.027848966157762334,90,0.2,-0.01809811109742441,-0.013098461553454399,,,
122,540672,33.78,4416,0.6892499327659607,11,0.011690739,0.146087646484375,-1.1198434149846435,0.0003,0.2880343198776245,0.034107441477438744,100,0.2,-0.01670638474849208,0.00724261999130249,,,
