#{"t_start": 1773069862.458132, "env_id": "None"}
r,l,t
0.0,1,0.01307
0.0,2,0.015954
0.0,4,0.02142
0.0,4,0.021432
0.0,13,0.053778
0.9050781,27,0.121665
0.8734375,36,0.205512
0.859375,40,0.243199
0.8558594,41,0.252665
0.85234374,42,0.262306
0.85234374,42,0.262323
0.8347656,47,0.309857
0.83125,48,0.319478
0.82773435,49,0.329445
0.8136719,53,0.377035
0.78203124,62,0.451641
0.7714844,65,0.479714
0.0,66,0.489337
0.8628906,39,0.489353
0.7609375,68,0.508246
0.7714844,65,0.518019
0.75039065,71,0.536741
0.746875,72,0.546465
0.746875,72,0.565555
0.8628906,39,0.679013
0.690625,88,0.698656
0.690625,88,0.698672
0.8066406,55,0.841927
0.0,2,0.860926
0.803125,56,0.860944
0.6273438,106,0.87055
0.75742185,69,0.917876
0.7855469,61,0.95548
0.78203124,62,1.096073
0.5359375,132,1.114733
0.51835936,137,1.161665
0.7363281,75,1.190484
0.75742185,69,1.190501
0.7363281,75,1.199742
0.0,7,1.265983
0.7855469,61,1.27577
0.61328125,110,1.294523
0.60625,112,1.323573
0.5746094,121,1.389691
0.5605469,125,1.389709
0.0,1,1.399465
0.6308594,105,1.484531
0.7679688,66,1.494522
0.42695314,163,1.569469
0.0,40,1.569486
0.0,1,1.578749
0.61328125,110,1.587981
0.7609375,68,1.597514
0.5957031,115,1.651899
0.8558594,41,1.661687
0.6273438,106,1.68053
0.775,64,1.699074
0.51835936,137,1.746012
0.6625,96,1.764763
0.8347656,47,1.828712
0.79960936,57,1.857002
0.47265625,150,1.931588
0.9050781,27,1.950907
0.8839844,33,2.567027
0.65898436,97,2.586118
0.5042969,141,2.586131
0.5746094,121,2.594217
0.8875,32,2.596829
0.0,12,2.599606
0.7046875,84,2.60235
0.0,2,2.602363
0.7363281,75,2.633603
0.75390625,70,2.648809
0.82773435,49,2.658803
0.7679688,66,2.661319
0.0,1,2.664338
0.72578126,78,2.664348
0.65546876,98,2.666845
0.5992187,114,2.672094
0.0,6,2.679755
0.8628906,39,2.687981
0.71171874,82,2.698824
0.7398437,74,2.7018
0.8804687,34,2.722757
0.82773435,49,2.728114
0.49375,144,2.730992
0.803125,56,2.733617
0.8628906,39,2.769259
0.0,31,2.779136
0.5640625,124,2.782014
0.6730469,93,2.782027
0.84882814,43,2.79247
0.51484376,138,2.79524
0.68710935,89,2.797974
0.0,129,2.800976
0.0,2,2.800987
0.7328125,76,2.800992
0.0,2,2.806602
0.0,2,2.806614
0.78203124,62,2.812202
0.0,6,2.815054
0.0,3,2.820528
0.36015624,182,2.823441
0.86640626,38,2.834306
0.6308594,105,2.837033
0.8839844,33,2.857164
0.746875,72,2.862741
0.6484375,100,2.865508
0.7152344,81,2.873549
0.8171875,52,2.928754
0.0,256,2.931686
0.6695312,94,2.934379
0.7714844,65,2.95202
0.8136719,53,2.952033
0.68359375,90,2.95762
0.6695312,94,2.973232
0.58515626,118,2.973244
0.0,2,2.978408
0.61679685,109,2.986414
0.7890625,60,2.989191
0.7152344,81,2.994349
0.7609375,68,2.996815
0.6976563,86,3.004865
0.79609376,58,3.007695
0.7328125,76,3.020483
0.5957031,115,3.031085
0.0,45,3.049042
0.6625,96,3.051613
0.8558594,41,3.059405
0.0,99,3.064934
0.86992186,37,3.070451
0.6273438,106,3.082782
0.32851562,191,3.093274
0.8875,32,3.114116
0.6695312,94,3.116821
0.0,26,3.137978
0.8171875,52,3.143549
0.6238281,107,3.143562
0.57109374,122,3.15387
0.7609375,68,3.1565
0.6941406,87,3.15651
0.77851564,63,3.162106
0.71171874,82,3.167558
0.7433594,73,3.180751
0.8347656,47,3.188966
0.5324219,133,3.209435
0.7855469,61,3.212377
0.8382813,46,3.215403
0.0,11,3.218346
0.6660156,95,3.236809
0.0,18,3.257076
0.56757814,123,3.257088
0.0,36,3.275546
0.8382813,46,3.278355
0.0,1,3.278368
0.61679685,109,3.281169
0.8066406,55,3.289067
0.0,52,3.304509
0.6695312,94,3.307783
0.7433594,73,3.307796
0.0,12,3.310734
0.5816406,119,3.318964
0.0,24,3.321691
0.7855469,61,3.324512
0.7152344,81,3.332458
0.7609375,68,3.335209
0.83125,48,3.34272
